Add Text,Legg til navn
Apply Background,Endre bakgrunn
Choose Art,Legg til art
Add Title,Legg til tittel
Add,Legg
Background,Bakgrunn
Image,Bilde
Art,Art
Add Image,Legg til bilde
Choose Product,Velg Produkt
Edit,Rediger
Edit Panel,Rediger Panel
"Ungroup does one level layering, so to do further layering, ungroup again until you can select the element you want to change color for.","Dele opp gjør ett nivå lagdeling, så for å gjøre ytterligere lagdeling, UNGROUP igjen til du kan velge elementet du ønsker å endre farge for."
Select any layer to change color of complete layer.,Velg hvilket som helst lag for å endre fargen på komplett lag.
"You can add only one element (i.e. Smiley, Text, Image) at a time.","Du kan kun legge til et element (dvs. Smiley, tekst, bilde) ad gangen."
Please select the element to edit/delete it.,Velg elementet for å slette det.
You can change the designer product directly from here,Du kan endre designer produktet direkte herfra
Note: But the changes you made in the previous product wont be saved.,Merk: Men endringene du gjorde i forrige produktet ikke vil bli frelst.
Select any color from the dropdown to change color of the design area. ,Velg en farge fra nedtrekksmenyen for å endre fargen på design-området.
You can also change the font and the color of the font.,Du kan også endre font og farge på skriften.
You can add text from here,Du kan legge til tekst herfra
You can add title from here,Du kan legge til tittel herfra
Upload Images,Last opp bilde
Upload images from your local storage.,Last opp bilde fra din harddisk
Choose and click the image you want to use in design.,Velg og klikk på bildet du vil bruke i design.
You can resize and rotate the image further using editing controls.,Du kan endre størrelse og rotere bildet ytterligere ved hjelp av redigeringskontroller.
Images Gallery,bilder Galleri
ADD TO CART,Legg i handlekurven
APPLY BACKGROUND COLOR,Velg farge
Add Art,Velg ikon
ADD IMAGE,Legg til bilde
Apply Background Color,Velg farge
Change Text Color,Endre tekstfarge
Change Text Size,Endre tekststørrelse
Your Name,Ditt navn
Font Style,Skriftstil
Change Title Color,Endre tekstfarge
Change Title Size,Endre tekststørrelse
Your Title,Din tittel
Title Font Style,Endre font
Text Font Style,Endre font
QTY,Antall
Item number,Artikkelnummer
NAME TITLE,Navn Title - Tittel
Personilized,Tilpass ditt PenHygenic skilt
Product code,Artikkelnummer
Checkout method,Utsjekking
Your Text,Ditt navn
Add file,Legg til fil
Upload,Last opp
Choosing new product will scrap your existing design in design area. Do you want to proceed?,"Ved &aring;   velge et annet produkt, vil ditt eksisterende design fjernes. &Oslash;nsker du &aring;  fortsette?"
Emotions,Emoticon
Animals,Dyr
Family,Familie
Flowers,Blomster
"Ungroup does one level layering, so to do further layering, ungroup again until you select the final color you want to change.","Dele opp gjør ett nivå lagdeling, så for å gjøre ytterligere lagdeling, opp gruppe igjen før du velger den endelige fargen du ønsker å endre."
No files to upload,Ingen filer å laste opp
Title Font Style,Endre font
Change Scissor Colour,Endre farge på saksen
Add Scissor,Legg til saks
Availability:,Tilgjengelig:
Product Code:,artikkelnr:
Change Product,Endre produkt
Change Scissor Color,Endre Scissor Color
"Sorry, no quotes are available for this order at this time.",Leveringsmetoder vises etter at adresse er spesifisert.
text colour,Tekst Farge
Size,St﾿rrelse
Just Label,Kun Skilt
Purchase just the label,Bestill kun skilt
Extra Text,Ekstra tekstfelt
Add Extra,Legg til ekstra tekst
Choose FA icons,Legg til ikon
ADD IMAGE,Velg ikon
Change Scissor Color,Endre farge saks
Use PMS,Bruk PMS
Please enter the Pms code,Vennligst skriv inn PMS kode
Input Pms color is invalid,PMS fargekode er ikke gyldig
Continue,Fortsett
Change Fa Size,Endre FA Størrelse
Choose Scissor Patterns,Velg mønster
Pattern will not displayed in the preview,Mønster vises ikke i forhåndsvisning
Change Pen Color,Velg farge utstyr
Change Penlight Color,Endre farge pupillelykt
Change Tweezer Color,Endre farge pincett
Change Pen color,Endre farge pen
Equipment will not appear in the preview.,Utstyr vises ikke i forhåndsvisning. 
You can resize the image by dragging the frame.,Du kan endre størrelse på bilden ved å dra i rammen
Apply Border,Legg til ramme
Cancel Border,Fjern ramme
Apply Border Color,Velg farge ramme
Apply Border Color,Velg farge ramme
Additional Text,Ekstra tekst
