"Collected Files Count","Die gesammelten Dateien Graf"
"Compilation","Zusammenstellung"
"Compilation State","Compilation Staat"
"Compilation error","Compilation Fehler"
"Compiled","zusammengestellt"
"Compiled Scopes Count","Zusammengestellt Scopes Graf"
"Compiler Status","Compiler-Status"
"Compiler include path is disabled.","Compiler Include-Pfad ist deaktiviert."
"Compiler include path is enabled.","Compiler Include-Pfad aktiviert ist."
"Directory ""%s"" must be writeable","Verzeichnis ""%s"" muss beschreibbar sein"
"Disable","Deaktivieren"
"Disabled","behindert"
"Enable","ermöglichen"
"Enabled","Aktiviert"
"File ""%s"" must be writeable","Datei ""%s"" muss beschreibbar sein"
"Not Compiled","Nicht Zusammengestellt"
"Run Compilation Process","Führen Compilation-Prozess"
"Scopes Compilation Settings","Scopes Compilation Einstellungen"
"System","System"
"The compilation has completed.","Die Zusammenstellung ist abgeschlossen."
"Tools","Werkzeuge"
