"1.5.0.0 & later","1.5.0.0 und später"
"Action","Aktion"
"Add Author","hinzufügen Autor"
"Add Contents Path","Ahinzufügen Inhalt Weg"
"Add PHP Extension dependency","In PHP-Erweiterung Abhängigkeit"
"Add Package dependency","In Paketabhängigkeits"
"Add files","Dateien hinzufügen"
"Authors","Autoren"
"Channel","Kanal"
"Contents","Inhalt"
"Create Extension Package","Neues Erweiterungspaket"
"Dependencies","Abhängigkeiten"
"Description","Beschreibung"
"Edit Extension","Bearbeiten Neben"
"Email","Email"
"Extension","Erweiterung"
"Extensions","Erweiterungen"
"Failed to create the package.","Konnte das Paket zu erstellen."
"Failed to load the package data.","Versäumt, die Paket-Daten zu laden."
"Failed to save the package.","Konnte das Paket zu speichern."
"Files","Dateien"
"Folder","Mappe"
"Ignore","ignorieren"
"Include","umfassen"
"License","Lizenz"
"License URI","Lizenz URI"
"Load Local Package","Legen lokalen Pakets"
"Load local Package","Legen lokalen Pakets"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Name"
"New Extension","Neue Erweiterung"
"PHP Version","PHP Version"
"Package","Paket"
"Package Extensions","Paket-Erweiterungen"
"Package File Name","Package File Name"
"Package Info","Paket-Info"
"Packages","Packages"
"Path","Weg"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Release Info"
"Remove","entfernen"
"Save As...","speichern unter..."
"Save Data and Create Package","Speichern von Daten und zum Erstellen eines Pakets"
"Save package with custom package file name","Sparen Paket mit kundenspezifischen Paketdateiname"
"Summary","Zusammenfassung"
"Supported releases","Unterstützte Versionen"
"System","System"
"Target","Ziel"
"The package %s data has been loaded.","Das Paket %s Daten geladen."
"The package data has been saved.","Das Paket Daten gespeichert wurden."
"There was a problem saving package data","Es gab ein Problem beim Speichern Paketdaten"
"Type","Typ"
"User","Benutzer"
