" in rows: "," in Reihen: "
"-- Please Select --","- Bitte wählen -"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter muss eine Instanz von Mage_ImportExport_Model_Import_Adapter_Abstract sein"
"Adapter type must be a non empty string","Adapter Typ muss eine nicht leere Zeichenfolge sein"
"Can not determine attribute filter type","Attribut Filtertyp kann nicht bestimmt werden"
"Can not find required columns: ","Sie finden nicht erforderlich Spalten: "
"Can not get autoincrement value","Kann Autoincrement-Wert nicht bekommen"
"Check Data","Daten prüfen"
"Column names have duplicates","Spaltennamen Duplikate"
"Column names is empty or is not an array","Spaltennamen leer ist oder kein Array"
"Column names: ""%s"" are invalid","Spaltennamen: ""%s"" sind ungültig"
"Continue","fortsetzen"
"Data is invalid or file is not uploaded","Daten ist ungültig oder Datei nicht hochgeladen"
"Destination directory is not writable","Zielverzeichnis ist nicht beschreibbar"
"Destination file is not writable","Destination file is not writable"
"Destination file path must be a string","Zieldatei ist nicht beschreibbar"
"Entity Attributes","Entity-Attribute"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity-Adapter-Objekt muss eine Instanz von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Entity is unknown","Entity ist unbekannt"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entitätstyp Modell muss eine Instanz der Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract sein"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entitätstyp Modell muss eine Instanz der Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract sein"
"Error in data structure: behaviors are mixed","Fehler in der Datenstruktur: Verhaltensweisen werden gemischt"
"Error in data structure: entity codes are mixed","Fehler in der Datenstruktur: entity-Codes werden gemischt"
"Export","Export"
"Export FAQ","Export FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Datei enthält keine Daten. Bitte laden Sie eine andere"
"File format is unknown","Dateiformat ist unbekannt"
"File is partially valid, but import is not possible","Die Datei ist nur teilweise gültig, aber Import ist nicht möglich"
"File is totally invalid. Please fix errors and re-upload file","Die Datei ist völlig ungültig. Bitte korrigieren Sie Fehler und Re-Upload-Datei"
"File is valid! To start import process press ""Import"" button","Die Datei ist gültig! So starten Import Presse ""Import"" Taste"
"File is valid, but import is not possible","Die Datei ist gültig, aber Import ist nicht möglich"
"Header column names already set","Kopfspaltennamen bereits festgelegt"
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (häufig gestellte Fragen)"
"Import FAQ","Import FAQ"
"Import successfully done.","Import erfolgreich getan."
"Import/Export","Import/Export"
"In/Out","In/Out"
"Input entity code is not equal to entity adapter code","Eingabeeinheit Code ist nicht gleich Einheit Adaptercode"
"Invalid entity","Ungültige Einheit"
"Invalid file format","Ungültige Dateiformat"
"Invalid parameters","Ungültige Parameter"
"Invalid seek position","Ungültige Suchposition"
"Invalid value for '%s'","Ungültiger Wert für '%s'"
"No filter data provided","Keine vorgesehenen Filterdaten"
"No source specified","Keine Quelle angegeben"
"No valid data sent","Keine gültigen Daten gesendet"
"No writer specified","Kein Schriftsteller angegeben"
"Node does not has model token tag","Knoten nicht hat Modell-Token-Tag"
"Not implemented yet","Noch nicht implementiert"
"Please fix errors and re-upload file","Bitte korrigieren Sie Fehler und Re-Upload-Datei"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Bitte korrigieren Sie Fehler und Re-Upload-Datei oder drücken Sie einfach ""Import"" Taste, um Zeilen mit Fehlern überspringen"
"Some other FAQ","Einige andere FAQ"
"Source file moving failed","Quelldatei bewegen gescheitert"
"Source file path must be a string","Pfad der Quelldatei muss ein String sein"
"Source is not set","Quelle ist nicht gesetzt"
"Status","Status"
"System busy","System belegt"
"There are no product types available for export","Es sind keine Produkttypen für den Export"
"Total size of uploadable files must not exceed %s","Gesamtgröße der hochgeladene Dateien müssen nicht überschreiten %s"
"Uploaded file has no extension","Hochgeladene Datei hat keine Erweiterung"
"Validation Results","Validierungsergebnisse"
