"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' ist zu lang. Es muss eine Länge %min% Symbole."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' ist zu kurz. Es muss eine Länge %min% Symbole."
"* Required Fields","* Pflichtangaben"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> Anfragen auf Ihr Konto zugreifen"
"Admin","Admin"
"After authorization application will have access to you account.","Nach dem Zulassungsantrag haben Sie Zugang zu erklären."
"An error occurred on confirm authorize.","Ein Fehler ist aufgetreten auf Bestätigen genehmigen."
"An error occurred on delete action.","Ein Fehler ist aufgetreten Löschaktion auf."
"An error occurred on delete application.","Ein Fehler ist aufgetreten on delete-Anwendung."
"An error occurred on reject authorize.","Ein Fehler ist aufgetreten zu genehmigen abzulehnen."
"An error occurred on saving consumer data.","Ein Fehler ist aufgetreten auf Verbraucherdaten zu speichern."
"An error occurred on update revoke status.","Ein Fehler ist aufgetreten Update auf Widerruf Status."
"An error occurred while deleting the consumer.","Beim Löschen der Verbraucher ein Fehler aufgetreten."
"An error occurred.","Ein Fehler ist aufgetreten."
"An error occurred. Your authorization request is invalid.","Ein Fehler ist aufgetreten. Ihre Autorisierungsanfrage ist ungültig."
"App Name","App-Namen"
"Application ""%s"" has been deleted.","Anwendung ""%s"" wurde gelöscht."
"Application ""%s"" has been enabled.","Anwendung ""%s"" aktiviert wurde."
"Application ""%s"" has been revoked.","Anwendung ""%s"" wurde widerrufen."
"Application Name","Name der Anwendung"
"Application not found.","Anwendung nicht gefunden."
"Are you sure you want to delete this application?","Sind Sie sicher, dass Sie diese Anwendung löschen?"
"Are you sure you want to disable this application?","Sind Sie sicher, dass Sie diese Anwendung deaktivieren?"
"Are you sure you want to enable this application?","Sind Sie sicher, dass Sie diese Anwendung aktivieren?"
"Authorization confirmed","Autorisierung bestätigt"
"Authorization confirmed.","Autorisierung bestätigt."
"Authorize","ermächtigen"
"Authorize application","Autorisieren Anwendung"
"Authorized Tokens","Autorisierte Tokens"
"Callback URL","Callback-URL"
"Cleanup Probability","Cleanup Wahrscheinlichkeit"
"Cleanup Settings","Cleanup Einstellungen"
"Close","schließen"
