"""Remember Me"" Default Value","""Angemeldet bleiben"" Standardwert"
"(Not %s?)","(nicht %s?)"
"* Required Fields","* Pflichtangaben"
"Address","Adresse"
"Address Information","Adresse Information"
"Already registered?","Bereits registriert?"
"Back","zurück"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Durch Ihre Anmeldung in unserem Shop, werden Sie in der Lage, durch den Bestellvorgang geführt schneller zu bewegen, können mehrere Versandadressen speichern, anzeigen und verfolgen Sie Ihre Aufträge in Ihrem Konto und vieles mehr."
"Cannot load configuration from file %s.","Kann nicht Konfiguration aus Datei laden %s."
"Checkout as Guest","Kasse als Gast"
"Checkout as a Guest or Register","Kasse als Gast oder Registrieren"
"City","City"
"Clear Persistence on Log Out","Klar Persistenz auf Abmelden"
"Close","schließen"
"Company","Firma"
"Confirm Password","Passwort bestätigen"
"Continue","fortsetzen"
"Country","Land"
"Create an Account","Neues Konto"
"Easy access to your order history and status","Einfacher Zugang zu Ihren Bestellverlauf und Status"
"Email Address","E-Mail-Adresse"
"Enable ""Remember Me""","ermöglichen ""Angemeldet bleiben"""
"Enable Persistence","aktivieren der Persistenz"
"Fast and easy check out","Schnell und einfach überprüfen"
"Fax","Fax"
"Forgot Your Password?","Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"General Options","Allgemeine Optionen"
"If you have an account with us, please log in.","Wenn Sie ein Konto bei uns haben, bitte einloggen."
"Loading next step...","Nächste Schritt wird geladen..."
"Login","Anmelden"
"Login Information","Anmelden Angaben"
"Login or Create an Account","Einloggen oder Neues Konto"
"New Customers","Neue Kunden"
"Password","Passwort"
"Persist Shopping Cart","Persist Einkaufswagen"
"Persistence Lifetime (seconds)","Persistenz Lebensdauer (Sekunden)"
"Persistent Shopping Cart","Persistent Einkaufswagen"
"Personal Information","Persönliche Informationen"
"Please log in below:","Bitte melden Sie sich unter:"
"Please select region, state or province","Bitte wählen Sie Region, Staat oder Provinz"
"Register","registrieren"
"Register and save time!","Registrieren Sie sich und sparen Sie Zeit!"
"Register to Create an Account","Registrieren um ein Konto erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftige Komfort:"
"Registered Customers","Registrierte Kunden"
"Remember Me","Angemeldet bleiben"
"Save in address book","Im Adressbuch speichern"
"Select State/Province...","Wählen Sie Bundesland / Kanton..."
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder geben Sie eine neue Adresse."
"Ship to different address","Schiff in den verschiedenen Adress"
"Ship to this address","Schiff an diese Adresse"
"Shopping cart has been updated with appropriate prices","Einkaufswagen mit angemessenen Preisen aktualisiert"
"Sign Up for Newsletter","Anmeldung für Newsletter"
"State/Province","Staat / Provinz"
"Street Address","Strasse"
"Street Address %s","Strasse %s"
"Submit","einreichen"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Um zur Kasse wählen Sie bitte mit Ihrer E-Mail-Adresse anmelden."
"VAT Number","Umsatzsteuer-Identifikationsnummer"
"Welcome, %s!","willkommen, %s!"
"What\'s this?","Was ist das?"
"Zip/Postal Code","Zip/Postal Code"
