"%s","%s"
"-- Please Select --","- Bitte wählen -"
"Actions","Aktionen"
"Add Layout Update","In Layout-Update-"
"Add New Widget Instance","Neue Widget Instanz"
"All","Alle"
"All Pages","Alle Seiten"
"All Product Types","Alle Produkttypen"
"Anchor Categories","Anchor Kategorien"
"Apply","anwenden"
"Assign to Store Views","Weisen Sie Ansichten speichern"
"Big Image","großes Bild"
"Block Reference","Blockreferenz"
"CMS","CMS"
"Categories","Kategorien"
"Choose...","wählen..."
"Close","schließen"
"Continue","fortsetzen"
"Default Template","Standardvorlage"
"Delete","löschen"
"Design Package/Theme","Design-Paket / Themen"
"Export to:","exportieren nach:"
"Frontend Properties","Frontend Eigenschaften"
"Generic Pages","Generische Seiten"
"Images","Bilder"
"Insert Widget","Legen Widget"
"Insert Widget...","Legen Widget..."
"Layout Updates","Layout Updates"
"Manage Widget Instances","Widget-Instanzen verwalten"
"New Instance","Neue Instanz"
"New Widget Instance","Neues Widget Instanz"
"Next page","Nächste Seite"
"Non-Anchor Categories","Non-Anchor Kategorien"
"Not Selected","Nicht ausgewählt"
"Open Chooser","öffnen Sie Auswahl"
"Page","Seite"
"Please Select Block Reference First","Bitte wählen Blockreferenz Erste"
"Previous page","Vorherige Seite"
"Products","Produkte"
"Remove Layout Update","Entfernen Layout-Update"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Select All","Alle auswählen"
"Select Visible","Wählen Visible"
"Settings","Einstellungen"
"Sort Order","Sortierung"
"Sort Order of widget instances in the same block reference","Sortierung der Widget-Instanzen in der gleichen Blockreferenz"
"Specific %s","spezifisch %s"
"Specified Page","angegebene Seite"
"Template","Schablone"
"The information in this tab has been changed.","Die Informationen in dieser Registerkarte geändert wurde."
"The widget instance has been deleted.","Das Widget Instanz wurde gelöscht."
"The widget instance has been saved.","Das Widget Instanz wurde gespeichert."
"This tab contains invalid data. Please solve the problem before saving.","Diese Registerkarte enthält ungültige Daten. Bitte lösen Sie das Problem, vor dem Speichern."
"Thumbnail","Daumennagel"
"Total %d records found","gesamt %d Datensätze gefunden"
"Type","Typ"
"Unselect All","Alle abwählen"
"Unselect Visible","Sichtbare abwählen"
"View","anzeigen"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Einfügen"
"Widget Instance","Widget Beispiel"
"Widget Instance Title","Widget Instanz Titel"
"Widget Options","Widget Optionen"
"Widget Type","Widget Typ"
"Widget Type is not specified","Widget Typ nicht angegeben"
"Widget instance is not full complete to create.","Widget Instanz nicht voll abgeschlossen zu schaffen."
"Widgets","Widgets"
"Wrong widget instance specified.","Falsche Widget-Instanz angegeben."
"items selected","Elemente ausgewählt"
"of %s pages","von %s Seiten"
"per page","pro Seite"
