"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Alle Kreditkarten / Visa, Mastercard, AMEX, JCB, Diners (angetrieben durch Moneybookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (angetrieben durch Moneybookers) - Italien"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (angetrieben durch Moneybookers) - Frankreich"
"Customer ID","Kunden-ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort (angetrieben durch Moneybookers) - Dänemark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (angetrieben durch Moneybookers) - Österreich"
"Enabled","Aktiviert"
"Find out more about Online Bank Transfer","Erfahren Sie mehr über Online-Überweisung"
"Giropay (powered by Moneybookers) - Germany","Giropay (angetrieben durch Moneybookers) - Deutschland"
"Laser (powered by Moneybookers) - Ireland","Laser (angetrieben durch Moneybookers) - Irland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (angetrieben durch Moneybookers) - Deutschland"
"Loading secure payment page (SSL)","Lädt sichere Zahlungs Seite (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (angetrieben durch Moneybookers) - Großbritannien, Österreich, Spanien"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers Einstellungen"
"Moneybookers Transaction ID: %s","Moneybookers Transaktions-ID: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mehr Informationen über Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (angetrieben durch Moneybookers) - Finnland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (angetrieben durch Moneybookers) - Schweden"
"Online Bank Transfer (powered by Moneybookers)","Online-Überweisung (angetrieben durch Moneybookers)"
"Order ID","Bestell-ID"
"POLi (powered by Moneybookers) - Australia","POLi (angetrieben durch Moneybookers) - Australien"
"Payment failed.","Zahlung fehlgeschlagen."
"Payment from Applicable Countries","Zahlung von zutreffender Länder"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment has not been processed yet.","Die Zahlung wurde noch nicht bearbeitet worden."
"Payment was canceled.","Die Zahlung wurde abgebrochen."
"Pending bank transfer created.","Bis Überweisung erstellt."
"Please pay your order now","Bitte zahlen Sie jetzt Ihre Bestellung"
"Postepay (powered by Moneybookers) - Italy","Postepay (angetrieben durch Moneybookers) - Italien"
"Powered by Moneybookers","Mit Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (angetrieben durch Moneybookers) - Polen"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (angetrieben durch Moneybookers) - Deutschland"
"Sort Order","Sortierung"
"The amount has been authorized and captured by Moneybookers.","Der Betrag wurde von Moneybookers genehmigt und gefangen genommen."
"The customer was redirected to Moneybookers.","Der Kunde war zu Moneybookers weitergeleitet."
"The order has been canceled.","Der Auftrag wurde abgebrochen."
"Title","Titel"
"You will be redirected to our secure payment page when you place an order.","Sie werden auf unserer sicheren Zahlungsseite umgeleitet werden, wenn Sie eine Bestellung aufgeben."
"eNETS (powered by Moneybookers) - Singapore","eNETS (angetrieben durch Moneybookers) - Singapur"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (angetrieben durch Moneybookers) - Niederlande"
