Please Select Option,Bitte wählen Sie eine Option
%s is added to your cart for choosing this image.,%s befindet sich im Warenkorb für die Wahl Bild-Symbol hinzugefügt.
%s is added to your cart for choosing this icon.,%s befindet sich im Warenkorb für die Wahl dieses.
Minimum upload size of image is 500px * 200px.,Mindest Upload-Größe des Bildes ist 500px * 200px.
Choose FA icons,Wählen FA Symbole
Extra Text,Zusätzlicher Text
Just Label,nur Etiketten
Purchase just the label,Erwerben Sie einfach das Etikett
Change Fa Size,Ändern Lüftergrösse
Choose Scissor Patterns,Wählen Scissor Patterns
Pattern will not displayed in the preview,Muster nicht in der Vorschau angezeigt
