"Import Color Scheme","Import Color Scheme"
"Select Color Scheme File","Select Color Scheme File"
"Wunderadmin import color scheme.","Wunderadmin import color scheme."
"Get More Color Schemes","Get More Color Schemes"
"Wunder Admin Theme","Wunder Admin Theme"
"Select Theme","Select Theme"
"Overwrite Current Styles?","Overwrite Current Styles?"
"If selected yes current styles will be replaced with theme built in styles on theme change.","If selected yes current styles will be replaced with theme built in styles on theme change."
"Reset Custom CSS?","Reset Custom CSS?"
"If selected yes current Custom CSS styles will be removed on theme change.","If selected yes current Custom CSS styles will be removed on theme change."
"Custom Logo","Custom Logo"
"Admin Logo","Admin Logo"
Fonts,Fonts
"Main Font","Main Font"
"Navigation Font","Navigation Font"
"Heading Font","Heading Font"
"Button Font","Button Font"
"Layout Colors","Layout Colors"
"Body Background","Body Background"
"Heading Color","Heading Color"
"Heading Icon","Heading Icon"
"Column Border","Column Border"
"Separator Color","Separator Color"
"Global Elements Colors","Global Elements Colors"
"Text Color","Text Color"
"Link Color","Link Color"
"Input Text","Input Text"
"Input Background","Input Background"
"Input Border","Input Border"
"Checkbox Background","Checkbox Background"
"Checkbox Icon","Checkbox Icon"
"Checkbox Border","Checkbox Border"
"Checkbox Disabled","Checkbox Disabled"
"Page Header Colors","Page Header Colors"
"Header Background","Header Background"
"Header Logo Background","Header Logo Background"
"Header Search Text","Header Search Text"
"Header Search Icon","Header Search Icon"
"Header Links Color","Header Links Color"
"Header Text Color","Header Text Color"
"Header Go Try Button","Header Go Try Button"
"Header Go Try Button Text","Header Go Try Button Text"
"Header Help Link Text","Header Help Link Text"
"Header Help Link Border","Header Help Link Border"
"Header Help Link Background","Header Help Link Background"
"Navigation Colors","Navigation Colors"
"Navigation Text Color","Navigation Text Color"
"Navigation Background","Navigation Background"
"Navigation Vertical Separators","Navigation Vertical Separators"
"Navigation Horizontal Separators","Navigation Horizontal Separators"
"Navigation Active Item Background","Navigation Active Item Background"
"Navigation Active Item Text","Navigation Active Item Text"
"Navigation Hover Item Background","Navigation Hover Item Background"
"Navigation Hover Item Text","Navigation Hover Item Text"
"Dropdown Level 1 Text","Dropdown Level 1 Text"
"Dropdown Level 1 Background","Dropdown Level 1 Background"
"Dropdown Level 2 Text","Dropdown Level 2 Text"
"Dropdown Level 2 Background ","Dropdown Level 2 Background "
"Dropdown Hover Background ","Dropdown Hover Background "
"Dropdown Item Hover Text","Dropdown Item Hover Text"
