" and ","y"
"(Absolute path or Relative to Magento install root, ex. var/export)","( Ruta absoluta o relativa a Magento instalan raíz, ex. Var / export )"
"(For US 2-letter state names)","(Para nombres de estado de 2 letras estadounidenses )"
"(If left empty will be auto-generated)","( Si deja vacío será generado por el auto )"
"(Leave empty for first spreadsheet)","(Dejar en blanco para la primera hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los productos se agregarán / actualizada a esta tienda si la columna ' store ' está en blanco o que falta en el archivo de importación. )"
"(Shift-)Click or drag to change value","( Mayúsculas + ) Haga clic o arrastre para cambiar el valor"
"(Starting with)","( A partir de )"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando ""No"" , se importarán sólo los campos asignados. Cuando la cartografía, uso ' columna1 ', ' columna2 ' , etc )"
"(You have to increase php memory_limit before changing this value)","( Usted tiene que aumentar php memory_limit antes de cambiar este valor )"
"(\t for tab)","( \ t para tabulación)"
"- Click on any of the time parts to increase it","- Haga clic en cualquiera de las partes de la hora para aumentarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Botón Hold ratón sobre cualquiera de estos botones para una selección más rápida ."
"- or click and drag for faster selection.","- O haga clic y arrastre para una selección más rápida ."
"- or Shift-click to decrease it","- O Mayús -clic para disminuirlo"
"- Use the %s buttons to select month","- Utilice los botones %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Utilice el %s , botones %s para seleccionar el año"
"About the calendar","Acerca del calendario"
"Access Denied.","Acceso denegado ."
"Account Created in:","Cuenta Creada en :"
"Account Created on (%s):","Cuenta Creada en (%s ) :"
"Account Created on:","Cuenta Creada en :"
"Action","acción"
"Actions","acciones"
"Add","añadir"
"Add Contents Path","Añadir Contenido Trayectoria"
"Add Field with URL:","Agregar campo con el URL :"
"Add Maintainer","Añadir Mantenedor"
"Add New Role","Añadir Nuevo Rol"
"Add new store view map","Añadir nueva vista store mapa"
"Add New Template","Añadir nueva plantilla"
"Add New User","Crear Nuevo Usuario"
"Add new website map","Añadir nuevo mapa web"
"Add Package dependency","Añadir la dependencia del paquete"
"Add PHP Extension dependency","Añadir dependencia PHP Extension"
"Add Subpackage dependency","Añadir dependencia Subpaquete"
"Address Type:","Tipo de dirección :"
"All","todo"
"All fields","Todos los campos"
"All Websites","Todas las páginas"
"API:","API :"
"Archive file name:","Nombre del archivo Archivo :"
"Are you sure that you want to delete this template?","¿Está seguro de que desea eliminar esta plantilla ?"
"Are you sure that you want to strip tags?","¿Está seguro de que desea quitar las etiquetas?"
"Attribute Set Name:","Conjunto de atributos Nombre:"
"Attributes","Atributos"
"Available Products","Productos disponibles"
"Big Image","Gran imagen"
"Billing Address","Dirección de Facturación"
"Bundle Items","Paquete Artículos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Ate con fijación dinámica de precios no puede incluir las opciones definidas personalizado. No se guardarán en Opciones."
