"%s","%s"
"ACL Attribute Rules","Reglas ACL atributo"
"ACL Attributes Information","ACL atributos de la Información"
"Add","Agregar"
"Add Admin Role","Agregar rol Admin"
"Add New Role","Añadir nuevo papel"
"Address Type","Tipo de dirección"
"Admin","Admin"
"Allow","Permitir"
"An error occurred while deleting the role.","Se ha producido un error al eliminar el papel ."
"An error occurred while saving attribute rules.","Se ha producido un error al guardar las reglas de atributos."
"An error occurred while saving role.","Se ha producido un error al guardar el papel ."
"Api Rules Information","Reglas Api de la Información"
"Assigned","Asignada"
"Associate to Website","Asociar al sitio de Internet"
"Attribute Rules Information","Atributo de Información Reglas"
"Attribute Set","Conjunto de atributos"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Return automáticamente Credit Memo artículo a Stock"
"Back","Volver"
"Backorders","Los pedidos pendientes"
"Base Currency","Moneda de Cuenta"
"Base Customer Balance","Base de balance al cliente"
"Base Discount","Descuento base"
"Base Discount Amount","Cantidad de Descuento Base"
"Base Item Subtotal","Punto Base Subtotal"
"Base Item Subtotal Including Tax","Base Subtotal Artículo incluyendo Tax"
"Base Original Price","Base Original Price"
"Base Price","Precio Base"
"Base Price Including Tax","Precio Base Incluyendo Impuestos"
"Base Shipping","Envío Base"
"Base Shipping Discount","Base Descuento del envío"
"Base Shipping Tax","Impuesto Base"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Base Subtotal Impuesto incluido"
"Base Tax Amount","Total de impuestos Base"
"Base Total Due","Base Total Due"
"Base Total Paid","Base total pagado"
"Base Total Refunded","Total de Base le devolvemos su dinero"
"Buy Now URL","Comprar Ahora"URL
"Can Be Divided into Multiple Boxes for Shipping","Se puede dividir en varias cajas para el envío"
"Canceled Qty","Cantidad Cancelado"
"Catalog","Catálogo"
"Catalog Product","Catálogo de Productos"
"CatalogInventory","CatalogInventory"
"Category ID","ID de categoría"
"City","Ciudad"
"Company","Compañía"
"Country","País"
"Coupon Code","Código de cupón"
"Create","Crear"
"Create Permanent Redirect for old URL","Crear Redirect URL Permanente para viejos"
"Created From","Creado From"
"Customer","Cliente"
"Customer Address","Dirección del cliente"
"Customer Address ID","ID Dirección del cliente"
"Customer Balance","Saldo al cliente"
"Customer First Name","Customer First Name"
"Customer ID","ID de cliente"
"Customer Last Name","Cliente Apellido"
"Customer Middle Name","Cliente Segundo nombre"
"Customer Prefix","Prefijo Cliente"
"Customer Suffix","Sufijo Cliente"
"Default Image","Default Image"
"Delete","Borrar"
"Deny","Denegar"
"Disable automatic group change based on VAT ID","Deshabilitar cambio de grupo automático basado en ID de IVA"
"Discount","Descuento"
"Discount Amount","Cantidad de Descuento"
"Discount Description","Descripción de descuento"
"Edit","Editar"
"Edit %s ACL attribute rules","ACL normas Editar atributo %s"
"Edit Role","Editar rol"
"Edit attribute rules for %s Role","Modificar atributo rige para %s Role"
"Email","Email"
"Enable Qty Increments","Habilitar Cantidad Incrementos"
"Exclude","Excluir"
"File Content","El contenido del archivo"
"File MIME Type","Tipo MIME del archivo"
"File Name","Nombre de archivo"
"Final Price With Tax","Precio Final Con Tributaria"
"Final Price Without Tax","Precio Final Sin Impuestos"
"First Name","Nombre"
"Gift Message","Mensaje de regalos"
"Grand Total","Gran Total"
"Grand Total to Be Charged","Gran Total a ser acusado"
"Group","Grupo"
"Guest","Invitado"
"Has Custom Options","Tiene opciones personalizadas"
"ID","ID"
"Inventory Data","Inventario de datos"
"Invoiced Qty","Cantidad facturada"
"Is Confirmed","Se confirma"
"Is Default Billing Address","¿Es por defecto Dirección de facturación"
"Is Default Shipping Address","¿Es por defecto dirección del envío"
"Item ID","ID del artículo"
"Item Subtotal","Artículo Subtotal"
"Item Subtotal Including Tax","Artículo Subtotal Impuesto incluido"
"Label","Etiqueta"
"Last Logged In","La última vez que entró"
"Last Name","Apellido"
"Low Stock Date","Low Stock fecha"
"Manage Stock","Administrar Stock"
"Maximum Qty Allowed in Shopping Cart","Maximum Cantidad animales en Compras"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en la cesta de compra"
"New Role","El nuevo papel"
"Notify for Quantity Below","Notificar por Cantidad Below"
"OAuth","OAuth"
"Order","Orden"
"Order Addresses","Direcciones Order"
"Order Comments","Solicite Comentarios"
"Order Currency","La orden moneda"
"Order Date","Fecha de pedido"
"Order ID","Order ID"
"Order ID (internal)","Order ID (interno)"
"Order Item ID","Artículo de la orden ID"
"Order Items","Elementos Order"
"Order Status","Estado del pedido"
"Ordered Qty","Pedimos Cantidad"
"Orders","Pedidos"
"Original Price","Precio Original"
"Parent Order Item ID","Orden de Padres Artículo ID"
"Payment Method","Método de Pago"
"Phone Number","Número de teléfono"
"Placed from IP","Colocado de IP"
"Please enter a valid number in ""max_sale_qty"" field","Por favor introduzca un número válido en ""max_sale_qty"" campo"
"Please enter a valid number in ""min_qty"" field","Por favor introduzca un número válido en ""min_qty"" campo"
"Please enter a valid number in ""min_sale_qty"" field","Por favor introduzca un número válido en ""min_sale_qty"" campo"
"Please enter a valid number in ""notify_stock_qty"" field","Por favor introduzca un número válido en ""notify_stock_qty"" campo"
"Please use numbers only in ""category_id"" field.","Por favor, utilice sólo números en ""category_id"" campo".
