"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure titular de la tarjeta de validación"
"3D Secure Electronic Commerce Indicator","Secure Indicador Comercio Electrónico 3D"
"3D Secure Verification Result","3D Secure Verificación Resultado"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Tarjeta Emisor Responsabilidad"
"Card Verification","Card Verification"
"Enrolled","Inscrito"
"Enrolled but Authentication Unavailable","Estar inscrito pero Autenticación no disponible"
"Failed","Error"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Responsabilidad Merchant"
"Not Enrolled","No inscrito"
"Order cannot be placed.","El orden no puede ser colocado."
"Payment information error. Please start over.","Error de pago. Por favor empezar de nuevo."
"Please continue with placing order.","Por favor continúe con la colocación de la orden."
"Please verify the card with the issuer bank before placing the order.","Por favor, verifique la tarjeta con el banco emisor antes de hacer el pedido."
"Please verify the card with the issuer bank:","Por favor, verifique la tarjeta con el banco emisor :"
"Start/Reset Validation...","Start / Reset Validación ..."
"Successful","El éxito de"
"Successful attempt","Intento exitoso"
"The card has failed verification with the issuer bank.","La tarjeta ha fracasado la verificación con el banco emisor."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","No ha habido información de pago mal presentado o el plazo ha expirado . Por favor , inténtelo de nuevo."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","No ha habido información de pago mal presentado o plazo ha expirado . Por favor , inténtelo de nuevo."
"This card has failed validation and cannot be used.","Esta tarjeta ha fallado la validación y no puede ser utilizado ."
"To ensure the security of your transactions","Para garantizar la seguridad de sus transacciones"
"Unable to complete","No se puede completar"
"Validation failed.","Error de validación".
"Verification Failed","Error de verificación"
"Verification Successful","Verificación Exitosa"
"Verification cannot be processed","La verificación no puede ser procesada"
"Verified by Visa","Verified by Visa"
