"Collected Files Count","Collected Conde de archivos" 
"Compilation","Compilación" 
"Compilation State","Compilación de Estado" 
"Compilation error","Error de compilación" 
"Compiled","Compilado" 
"Compiled Scopes Count","Compilado Conde de Scopes" 
"Compiler Status","Estado del compilador" 
"Compiler include path is disabled.","Compilador incluye el camino está desactivado." 
"Compiler include path is enabled.","Compilador incluye el camino está habilitado." 
"Directory ""%s"" must be writeable","Directorio ""%s"" debe tener permisos de escritura" 
"Disable","Desactivar" 
"Disabled","Disabled" 
"Enable","Activar" 
"Enabled","Habilitado" 
"File ""%s"" must be writeable","Archivo ""%s"" debe tener permisos de escritura" 
"Not Compiled","No Compilado" 
"Run Compilation Process","Ejecutar proceso Compilation" 
"Scopes Compilation Settings","Ajustes de Scopes Compilation" 
"System","Sistema" 
"The compilation has completed.","La compilación se ha completado." 
"Tools","Herramientas"
