"1.5.0.0 & later","1.5.0.0 y posteriores" 
"Action","Acción" 
"Add Author","Agregar Autor" 
"Add Contents Path","Añadir Contenido Path" 
"Add PHP Extension dependency","Agregar dependencia PHP Extension" 
"Add Package dependency","Añadir la dependencia del paquete" 
"Add files","Agregar archivos" 
"Authors","Autores" 
"Channel","Canal" 
"Contents","Contenidos" 
"Create Extension Package","Crear paquete de extensión" 
"Dependencies","Dependencias" 
"Description","Descripción" 
"Edit Extension","Extensión Editar" 
"Email","Email" 
"Extension","Extensión" 
"Extensions","Extensiones" 
"Failed to create the package.","No se pudo crear el paquete." 
"Failed to load the package data.","Error al cargar los datos del paquete." 
"Failed to save the package.","No se pudo guardar el paquete." 
"Files","Archivos" 
"Folder","Carpeta" 
"Ignore","Ignorar" 
"Include","Incluir" 
"License","Licencia" 
"License URI","Licencia URI" 
"Load Local Package","Carga del paquete local" 
"Load local Package","Cargar paquete locales" 
"Magento Connect","Magento Connect" 
"Magento Connect Manager","Magento Connect Manager" 
"Max","Max" 
"Maximum","Máximo" 
"Min","Min" 
"Minimum","Mínimo" 
"Name","Nombre" 
"New Extension","Nueva extensión" 
"PHP Version","PHP Version" 
"Package","Paquete" 
"Package Extensions","Extensiones del paquete" 
"Package File Name","Paquete de nombre de archivo" 
"Package Info","Información del paquete" 
"Packages","Paquetes" 
"Path","Camino" 
"Pre-1.5.0.0","Pre-1.5.0.0" 
"Release Info","Información del álbum" 
"Remove","Eliminar" 
"Save As...","Guardar como ..." 
"Save Data and Create Package","Paquete Guardar datos y Crear" 
"Save package with custom package file name","Guardar el paquete con el nombre del paquete personalizado" 
"Summary","Resumen" 
"Supported releases","Emisiones admitidas" 
"System","Sistema" 
"Target","Target" 
"The package %s data has been loaded.","El paquete de datos% s ha sido cargado." 
"The package data has been saved.","Los datos del paquete se ha guardado." 
"There was a problem saving package data","Hubo un problema al guardar los datos de paquete" 
"Type","Tipo" 
"User","Usuario"
