"An error occurred while clearing the external full page cache.","Se ha producido un error al borrar la memoria caché la página completa externa." 
"Cookie Lifetime (seconds)","Lifetime Cookie (segundos)" 
"Enable External Cache","Habilitar caché externa" 
"External Cache Control","External Cache Control" 
"External Full Page Cache Settings","Exteriores completa Página Configuración de caché" 
"External full page cache.","Caché la página completa externa." 
"Failed to load external cache control","No se pudo cargar el control de caché externa" 
"Flush External Page Cache","Flush Página Externa Cache" 
"If empty, default value will be used.","Si está vacío, se usará el valor por defecto." 
"The external full page cache has been cleaned.","La caché de página completa externa ha sido limpiado." 
"Zend Full Page Cache","Zend página completa Cache"
