"%s is not supported currency.","%s no está soportada moneda."
"Accept","aceptar"
"Basic","básico"
"Cannot retreive rate from strikeirion.","No se puede retreive tasa del strikeirion ."
"Cannot retrieve rate from %s to %s","No se puede recuperar la tasa de%s para %s"
"Check all email servers","Revise todos los servidores de correo electrónico"
"Complete","completo"
"Country/Region/Postal code combination","/ Combinación de código postal País / Región"
"Customer Tax Class","Clase de Impuesto al Cliente"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","Dirección de correo electrónico no se puede verificar . Por favor, compruebe de nuevo y asegúrese de que su dirección de correo electrónico ingresada correctamente ."
"Email Verification","Verificación de correo electrónico"
"Enable email verification","Activar la comprobación de correo electrónico"
"Enable foreign exchange rate","Habilitar tipo de cambio"
"Enable global address verification","Activar la comprobación de direcciones global"
"Enable sales and use tax","Habilitar las ventas y el impuesto de uso"
"Enable US address verification","Activar la verificación de direcciones EE.UU."
"Error address action","Acción dirección de error"
"Error Email Recipient","Error Email Destinatario"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error plantilla de correo electrónico"
"Foreign Exchange Rates","Tipos de cambio"
"Global Address Verification","Verificación de direcciones global"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si el tipo es completa y código postal pertenece a varios tipos impositivos , optar por cobrar tipo impositivo mínimo o la tasa máxima de impuestos ."
"Invalid email address","Dirección de correo electrónico no es válido"
"Maximum tax rate","Tasa impositiva máxima"
"Minimum tax rate","Tipo impositivo mínimo"
"Password","contraseña"
"Pop up warning and accept","Pop up de advertencia y aceptar"
"Product Tax Class","Clase de Impuesto Producto"
"Reject","rechazar"
"Sales and Use Tax","Impuesto sobre Ventas y Uso"
"Sales and Use Tax Type","Ventas y Uso Tipo de impuesto"
"Strikeiron","StrikeIron"
"Strikeiron Config","StrikeIron Config"
"Strikeiron foreign exchange rate is disabled","StrikeIron tipo de cambio está deshabilitado"
"Strikeiron Section","Sección StrikeIron"
"Tax","impuesto"
"There is an error in retrieving tax rate. Please contact us","Hay un error en la recuperación de la tasa de impuestos. Por favor, póngase en contacto con nosotros"
"There is an error in verifying an email. Please contact us.","Hay un error en la verificación de un correo electrónico. Por favor, póngase en contacto con nosotros."
"There is no more hits remaining for the foreign Exchange Rate Service.","No hay más golpes restantes para el Servicio del tipo de cambio extranjero."
"There is no response back from Strikeiron server","No hay ninguna respuesta de vuelta desde el servidor StrikeIron"
"Undetermined email action","Acción email indeterminado"
"US Address Verification","Verificación de dirección de EE.UU."
"Use","uso"
"User ID","ID de usuario"
"Verify address in admin","Verifique la dirección en la administración"
"Verify email in admin","Verifique email en administrador"
