"1 Day Freight","1 Día de flete"
"2Day","2 Días"
"2 Day Freight","2 Días de flete"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Carta"
"2nd Day Air Letter","Carta Aire segundo día"
"3 Day Select","3 Day Select"
"3 Day Freight","3 Días de flete"
"Next Afternoon","Un siguiente Tarde la"
"Additional Protection Configuration Value","Valor adicional en Configuración de protección"
"Additional Protection Enabled","Protección adicional Activado"
"Additional Protection Min Subtotal","Protección adicional Subtotal Min"
"Additional Protection Value","Protección adicional Valor"
"Additional Protection Value Rounding Method","Adicional Método Valor protección Redondeo"
"Express Saver","Ahorro expreso"
"Large","amplitud"
"Library","Biblioteca"
"FedEx 10kg Box","Caja de 10 kg des FedEx"
"FedEx 25kg Box","Caja de 25 kg des FedEx"
"Drop Box","Caja desplegable"
"FedEx Box","Caja de FedEx"
"Calculate Handling Fee","Calcular Costo De Transporte"
"Canada Standard","Canada estándar"
"Letter","Carta"
"Invalid UPS CGI code for type %s: %s","Código CGI de UPS inválido párr EL pisos %s :%s"
"Invalid USPS XML code for type %s: %s","Código inválido de Código XML de USPS párr EL pisos %s :%s"
"Invalid DHL XML code for type %s: %s","Código XML de DHL inválido párr EL pisos %s :%s"
"Invalid FedEx XML code for type %s: %s","Código XML de FedEx inválido párr EL pisos %s :%s"
"Business Service Center","Centro de Serviços de Negocios"
"Commercial","comercial"
"Configuration","configuración"
"Container","contenedor"
"Password","CONTRASEÑA"
"Priority Mail","Prioritario electrónico Correo"
"Express Mail","Correo expreso"
"Media Mail","Correo ordinario"
"Handling Applied","Costos de Envío Aplicados"
"Customer Packaging","Envasado al Cliente"
"Default Package Height","Normal Envase Altura"
"Default Package Length","Por defecto Largo del paquete"
"Default Package Width","Por defecto Ancho del paquete"
"Package Description","Descripción del Paquete"
"DHL","DHL"
"Domestic Shipment Days","Días de envío domésticos"
"Shipment is not available.","El envio no disponible no está ."
"Packaging","Empaque"
"Enable Negotiated Rates","Habilitar tarifas negociadas"
"Bound Printed Matter","Encuadernación de imprenta"
"Dropoff","Entrega"
"Home Delivery","Entrega a domicilio"
"Delivered","Entregado"
"Free shipping with minimum order amount","ENVIO GRATIS ONU de la estafa Importe Mínimo del Pedido"
"Shipment Dutiable","Envío imponible"
"Shipment picked up","Envío Recogido"
"Ship to applicable countries","Enviar a aplicables Paises"
"Ship to Specific countries","Enviar a Países Específicos"
"Error #%s : %s (%s)","Error #%s :%s (%s )"
"Error #%s: %s","Error #%s :%s"
"Unknown error","Error desconocido"
"Station","Estación"
"Express 10:30 AM","Expreso 10:30 AM"
"International Express","internacional Expreso"
"Express","expresar"
"FedEx","FedEx"
"Flat-Rate Box","Tarifa fija de la caja"
"Flat-Rate Envelope","Flat -Rate Envelope"
"Intl Priority Freight","Flete de Prioridad internacional"
"Intl Economy Freight","Económico internacional Flete"
"Ground Commercial","Suelo Comercial"
"Ground Residential","Suelo Residencial"
"Enabled","Habilitado"
"Access ID","Identificación de Acceso"
"Account ID","ID de la Cuenta"
"User ID","Identificación del usuario"
"UserId","Idusuario"
"Minimum order amount for free shipping","Importe Mínimo del Pedido párrafo Envíos Gratuitos"
"Unable to retrieve tracking","Recuperar Imposible el Seguimiento"
"International Economy","Económico Internacional"
"International Shipment Days","Jornadas Internacionales de envío"
"Kilograms","Kilogramos"
"Response is in the wrong format","La Respuesta está en el Formato Incorrecto"
"Shipping key","Llave del ENVÍO"
"Shipping key (International)","Llave del ENVÍO (Internacional )"
"Machinable","mecanizable"
"Pickup method","Método de recolección"
"Free method","Método gratis"
"Allowed methods","Métodos Permitidos"
"Displayed Error Message","Mensaje de error mostrado"
"Show method if not applicable","Mostrar el Metodo Aunque No Aplicable mar"
"Account number","Número de Cuenta"
"Access license number","Número de Licencia de Acceso"
"Next Day Air","Next Day Air"
