"All Websites","Todas las páginas "
"Apply Percent Discounts To FPT","Aplicar porcentajes de descuentos a FPT "
"Apply Tax To FPT","Aplicar Impuesto Para FPT "
"Display Prices In Emails","Mostrar precios en correos electrónicos "
"Display Prices In Product Lists","Mostrar precios en listas de productos "
"Display Prices In Sales Modules","Mostrar precios en los módulos de Ventas "
"Display Prices On Product View Page","Mostrar precios en productos Ver Página "
"Enable FPT","Habilitar FPT "
"Excluding FPT","Excluyendo FPT "
"Excluding FPT, FPT description, final price","Excluyendo FPT, descripción FPT, precio final "
"Fixed Product Tax","Fijo fiscal Producto "
"Fixed Product Taxes","Fijos Impuestos producto "
"Include FPT In Subtotal","Incluya FPT En Subtotal "
"Including FPT and FPT description [excl. FPT VAT]","Incluyendo FPT y la descripción FPT [excl. FPT IVA] "
"Including FPT and FPT description [incl. FPT VAT]","Incluyendo FPT y la descripción FPT [incl. FPT IVA] "
"Including FPT only","Incluyendo FPT sólo "
"Total","total "
"Total incl. tax","Total incl. impuesto"
