"%s","%s"
"-- Please Select --","- Seleccione -"
"Actions","Acciones"
"Add Layout Update","Agregar Layout Update"
"Add New Widget Instance","Añadir nuevo Widget Instancia "
"All","Todos"
"All Pages","Todas las páginas"
"All Product Types","Todos los tipos de productos"
"Anchor Categories","Categorías de anclaje "
"Apply","Aplicar"
"Assign to Store Views","Asignación de guardar Vistas "
"Big Image","Big Imagen"
"Block Reference","Bloque de referencia"
"CMS","CMS"
"Categories","Categorías"
"Choose...","Elegir ... "
"Close","Cerrar"
"Continue","Continuar"
"Default Template","Plantilla predeterminada"
"Delete","Borrar "
"Design Package/Theme","Paquete de Diseño / Theme"
"Export to:","Exportar a : "
"Frontend Properties","Propiedades Frontend "
"Generic Pages","Páginas de genéricos"
"Images","Imágenes"
"Insert Widget","Insert Widget "
"Insert Widget...","Insert Widget ... "
"Layout Updates","Actualizaciones de Diseño"
"Manage Widget Instances","Administrar instancias de artilugios"
"New Instance","Nueva instancia"
"New Widget Instance","Nuevo Widget Instancia "
"Next page","Página siguiente"
"Non-Anchor Categories","Categorías Non - ancla"
"Not Selected","No Seleccionado"
"Open Chooser","Abrir Selector"
"Page","Página"
"Please Select Block Reference First","Por favor, seleccione Bloquear Referencia Primera"
"Previous page","Página anterior"
"Products","Productos"
"Remove Layout Update","Eliminar Layout Update"
"Save and Continue Edit","Guardar y continuar Editar "
"Select All","Seleccionar todo"
"Select Visible","Seleccione Visible"
"Settings","Ajustes"
"Sort Order","Orden"
"Sort Order of widget instances in the same block reference","El criterio de ordenación de instancias de widget en la misma referencia a bloque"
"Specific %s","%s específico"
"Specified Page","Página especificado"
"Template","Plantilla"
"The information in this tab has been changed.","La información contenida en esta ficha se ha cambiado."
"The widget instance has been deleted.","Se ha suprimido el ejemplo de widget."
"The widget instance has been saved.","La instancia de tu currículum ha sido salvada."
"This tab contains invalid data. Please solve the problem before saving.","Esta ficha contiene datos no válidos. Por favor, resuelve el problema antes de guardar."
"Thumbnail","Miniatura"
"Total %d records found","Total %d registros encontrados"
"Type","Tipo"
"Unselect All","Deseleccionar todo"
"Unselect Visible","Deseleccionar Visible"
"View","Ver"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget de inserción"
"Widget Instance","Widget Instancia"
"Widget Instance Title","Widget Instancia Título"
"Widget Options","Opciones de Widget "
"Widget Type","Tipo de Widget "
"Widget Type is not specified","Widget Type no se especifica"
"Widget instance is not full complete to create.","Instancia Widget no está lleno completo para crear."
"Widgets","Widgets"
"Wrong widget instance specified.","Instancia incorrecto Widget especificado."
"items selected","Elementos seleccionados"
"of %s pages","de páginas %s"
"per page","por página"
