"Actions","Toiminnot "
"Are you sure?","Oletko varma? "
"Date Added","Lisätty "
"Error while marking as read. Please try again later.","Virhe merkintä luetuksi. Yritä myöhemmin uudelleen. "
"Error while marking. Please try again later.","Virhe merkintä. Yritä myöhemmin uudelleen. "
"Error while removing. Please try again later.","Virhe poistettaessa. Yritä myöhemmin uudelleen. "
"Last update","Uusin päivitys "
"Mark as Read","Merkitse Luetuksi "
"Mark as read","Merkitse luetuksi "
"Message","viesti "
"Message was successfully marked as read","Viesti on merkitty luetuksi "
"Message was successfully removed","Viesti poistettiin onnistuneesti "
"Messages Inbox","Saapuneet viestit "
"Notifications","ilmoitukset "
"Please select messages","Valitse viestit "
"Read Details","Lue Lisätiedot "
"Remove","Poista "
"Severity","Vakavuus "
"Show List","Näytä Lista "
"Show Toolbar","Näytä työkalupalkki "
"Total of %d record(s) were successfully marked as read","Yhteensä %d ennätys (t) onnistuneesti merkitty luetuksi "
"Total of %d record(s) were successfully removed","Yhteensä %d ennätys (t) poistettiin onnistuneesti "
"Unable to proceed. Please, try again","Voi jatkua. Ole hyvä, yritä uudelleen "
"Update frequency","päivitystiheys "
"Use HTTPS to get feed","Käytä HTTPS saada rehun "
"critical","kriittinen "
"major","merkittävä "
"minor","vähäinen "
"notice","ilmoitus"
