" and ","ja"
"(Absolute path or Relative to Magento install root, ex. var/export)","( Absoluuttinen polku tai suhteessa Magento asentaa root , ex . Var / vienti )"
"(For US 2-letter state names)","(USA 2 - kirjain valtion nimet )"
"(If left empty will be auto-generated)","( Jos Tyhjäksi jääneet automaattisesti luotu )"
"(Leave empty for first spreadsheet)","( Jätä tyhjäksi ensin taulukkolaskenta )"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","( Tuotteet lisätään / päivitetään tälle liikkeeseen, jos "" store"" sarake on tyhjä tai puuttuutuo tiedosto. )"
"(Shift-)Click or drag to change value","( Shift - ) Klikkaa tai liikuta muuttaaksesi"
"(Starting with)","(Alkaen )"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","( Kun ""Ei"", vain kartoitettu kentät tuodaan. Kun kartoitus , käyttöä "" sarake1 ' , ' sarake2 "" jne. )"
"(You have to increase php memory_limit before changing this value)","( Sinun täytyy lisätä php memory_limit ennen muuttamalla arvoa )"
"(\t for tab)","( \ t tab )"
"- Click on any of the time parts to increase it","- Klikkaa kellonajan numeroita lisätäksesi aikaa"
"- Hold mouse button on any of the above buttons for faster selection.","- Pitämällä hiiren painiketta minkä tahansayllä olevan painikkeen kohdalla valikon nopeampaan siirtymiseen."
"- Use the %s buttons to select month","- Käytä% s painikkeita valitaksesi kuukausi"
"- Use the %s, %s buttons to select year","- Käytä% s , % s painikkeita valitaksesi vuosi"
"- or Shift-click to decrease it","- Tai vaihto-napsauttamalla vähentää sitä"
"- or click and drag for faster selection.","- Tai klikkaa ja vedä aikaa nopeasti ."
"API:","API :"
"About the calendar","Tietoja kalenterista"
"Access Denied.","Access Denied ."
"Account Created in:","Huomioon Luotu :"
"Account Created on (%s):","Loit ( % s ) :"
"Account Created on:","Huomioon Luotu :"
"Action","toiminta"
"Actions","Toiminnot"
"Add","Lisaa"
"Add Contents Path","Lisää Sisältö Path"
"Add Field with URL:","Lisää Kenttä URL :"
"Add Maintainer","Lisää Ylläpitäjä"
"Add New Role","Lisää uusi rooli"
"Add New Template","Lisaa Uusi ulkoasumalli"
"Add New User","Lisää uusi käyttäjä"
"Add PHP Extension dependency","Lisää PHP Extension riippuvuutta"
"Add Package dependency","Lisää Paketti riippuvuus"
"Add Subpackage dependency","Lisää alipaketin riippuvuus"
"Add new store view map","Lisää uusi myymälä näytä kartta"
"Add new website map","Lisää uusi verkkosivusto kartta"
"Address Type:","Osoite Tyyppi :"
"All","kaikki"
"All Websites","kaikki sivustot"
"All fields","kaikki kentät"
"Archive file name:","Arkisto tiedoston nimi :"
"Are you sure that you want to delete this template?","Oletko varma , Etta haluat poistaa Taman ulkoasumallin ?"
"Are you sure that you want to strip tags?","Oletko varma, että haluat riisua tunnisteet?"
"Attribute Set Name:","Attribuuttisarja Nimi:"
"Attributes","määritteitä"
"Available Products","käytettävissä Tuotteet"
"Big Image","Big Image"
"Billing Address","Laskutusosoite"
"Bundle Items","Yhdistelmätuotteen osat"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Yhdistelmätuote EI Voi sisältää muokattavia ominaisuuksia , Jos käytössä on muuttuva hinta. Ominaisuuksia EI tallenneta ."
"CSV / Tab separated","CSV / Tab erotettu"
"Card Verification Number","Luottokortin tarkistusnumero"
"Catalog","luettelo"
"Channel","kanava"
"Channel:","kanava :"
"Choose Store View","Valitse Store View"
"Client Session timeout (sec.)","Asiakkaan Session timeout (sek)"
"Close","lähellä"
"Comments History","Kommentit Historia"
"Confirmed email:","Vahvistettu sähköposti :"
"Connect with the Magento Community","YhteydenMagento Community"
"Contents","sisältö"
"Country:","Maa :"
"Create New Staging Store View","Luo uusi vaiheittainen Store View"
"Create a backup","Luovarmuuskopio"
"Created <strong>%s</strong> items","Luotu <strong> % s < / strong > tuotteet"
"Credit Card Number","Luottokortin NUMERO"
"Credit Card Number: xxxx-%s","Luottokortin numero: xxxx - % s"
"Credit Card Type","Luottokorttityyppi"
"Credit Card Type: %s","Luottokorttityyppi : % s"
"Credit Memo History","Hyvityslasku historia"
"Credit Memo Totals","Hyvityslasku Summat"
"Current Configuration Scope:","Nykyisen kokoonpanon laajuus :"
"Current Release Information","Nykyinen Release Information"
"Custom","asiakassuhde"
"Customer Group:","Asiakasryhmä :"
"Customer Since:","Asiakas alkaen:"
"Customers","asiakkaat"
"DHTML Date/Time Selector","DHTML Date / Time valitsin"
"Dashboard","Kojelauta"
"Data Format","tietojen muoto"
"Data transfer:","Tiedonsiirto :"
"Date selection:","Päivämäärä valinta :"
"Date selector","päivämäärävalitsinta"
"Date:","päivämäärä :"
"Decimal separator:","Desimaalierotin :"
"Default (Admin) Values","Oletus ( Admin ) Arvot"
"Default Values","oletusarvot"
"Delete","poistaa"
"Dependencies","riippuvuudet"
"Description:","Kuvaus :"
"Direction:","suunta :"
"Display %s first","Näyttö% s ensin"
"Distributed under GNU LGPL. See %s for details.","Julkaistu GNU LGPL . Katso % s."
"Done By:","Tapahtua:"
"Done by:","Tapahtua:"
"Download Remote File","Lataa Remote File"
"Drag to move","Siirrä vetämällä"
"Edit Role","edit rooli"
"Edit User '%s'","Edit User ' % s'"
"Email","sähköposti"
"Email Preview","Sähköpostin esikatselu"
"Email:","sähköposti :"
"Enclose Values In:","Liitä mukaan Arvot In :"
"Entity type:","Entity type :"
"Excl. Tax","Veroton"
"Exclude","sulkea pois"
"Expiration Date","viimeinen käyttöpäivä"
"Expiration Date: %s/%s","Viimeinen voimassaolopäivä: % s / % s"
