"1.5.0.0 & later","1.5.0.0 ja myöhemmin" 
"Action","Action" 
"Add Author","Add Author" 
"Add Contents Path","Lisää sisältö Path" 
"Add PHP Extension dependency","Lisää PHP Extension riippuvuus" 
"Add Package dependency","Lisää Paketti riippuvuus" 
"Add files","Lisää tiedostoja" 
"Authors","Tekijät" 
"Channel","Channel" 
"Contents","Sisältö" 
"Create Extension Package","Luo Extension Package" 
"Dependencies","Riippuvuudet" 
"Description","Kuvaus" 
"Edit Extension","Muokkaa Extension" 
"Email","Sähköposti" 
"Extension","Extension" 
"Extensions","Extensions" 
"Failed to create the package.","Luominen epäonnistui paketti." 
"Failed to load the package data.","Lataaminen epäonnistui paketin tiedot." 
"Failed to save the package.","Tallennus epäonnistui paketti." 
"Files","Tiedostot" 
"Folder","Folder" 
"Ignore","Ohita" 
"Include","Sisällytä" 
"License","Lisenssi" 
"License URI","License URI" 
"Load Local Package","Load Local paketti" 
"Load local Package","Load paikallinen Package" 
"Magento Connect","Magento Connect" 
"Magento Connect Manager","Magento Connect Manager" 
"Max","Max" 
"Maximum","Suurin" 
"Min","Min" 
"Minimum","Pienin" 
"Name","Nimi" 
"New Extension","Uusi Extension" 
"PHP Version","PHP Version" 
"Package","Paketti" 
"Package Extensions","Paketti Extensions" 
"Package File Name","Paketin nimi" 
"Package Info","Paketti Info" 
"Packages","Pakettiin" 
"Path","Polku" 
"Pre-1.5.0.0","Pre-1.5.0.0" 
"Release Info","Release Info" 
"Remove","Poista" 
"Save As...","Tallenna nimellä ..." 
"Save Data and Create Package","Save Data ja Luo Package" 
"Save package with custom package file name","Tallenna paketti custom-paketin nimi" 
"Summary","Yhteenveto" 
"Supported releases","Tuetut versiot" 
"System","Järjestelmä" 
"Target","Target" 
"The package %s data has been loaded.","Paketti% s tiedot on ladattu." 
"The package data has been saved.","Paketti tiedot on tallennettu." 
"There was a problem saving package data","Oli ongelma säästävä paketti data" 
"Type","Type" 
"User","Käyttäjä"
