"* Required Fields","* Vaaditut kentät "
"Comment","Jäsenlistan "
"Contact Form","Kommentoi "
"Contact Information","Yhteystiedot "
"Contact Us","Ota yhteyttä "
"Contacts","Yhteydenotot "
"Contacts Section","Yhteydet jakso "
"Email","sähköposti "
"Email Options","Sähköpostiasetukset "
"Email Sender","Sähköpostin lähettäjä "
"Email Template","Sähköpostin Pohja "
"Enable Contact Us","Ota käyttöön 'Ota yhteyttä'-ominaisuus "
"Name","Name "
"Send Emails To","Your e sähköpostia "
"Submit","Your e "
"Telephone","Puhelin "
"Unable to submit your request. Please, try again later","Pyyntöäsi EI voitu lähettää. Yritä myöhemmin uudestaan "
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Viestisi lähetettiin. Vastaamme mahdollisimman Pian. Please yhteydenotostasi. "
"Contact Us","Ota yhteyttä "
"Contact Information","Yhteystiedot "
"Name","nimi "
"Email","Sähköposti "
"Telephone","puhelin "
"Comment","kommentti "
"* Required Fields","* Pakolliset kentät"
