" in rows: ","Riveihin :"
"-- Please Select --","- Valitse -"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Sovitin oninstanssi Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Adapterityyppi on oltava muu kuin tyhjä merkkijono"
"Can not determine attribute filter type","Ei voi määrittää määritteen tyypin suodatin "
"Can not find required columns: ","Etkö löydä Pakolliset sarakkeet : "
"Can not get autoincrement value","Ei voi saada Autoincrement arvoa"
"Check Data","Tarkista tiedot"
"Column names have duplicates","Sarake nimet ovat päällekkäisiä"
"Column names is empty or is not an array","Sarakkeiden nimet on tyhjä tai eiarray"
"Column names: ""%s"" are invalid","Kolumni nimet : ""%s"" eivät kelpaa"
"Continue","Jatka"
"Data is invalid or file is not uploaded","Data on virheellinen tai tiedostoa ei ole ladattu"
"Destination directory is not writable","Kohde ei voi kirjoittaa"
"Destination file is not writable","Kohde ei voi kirjoittaa"
"Destination file path must be a string","Kohde tiedoston polku on oltava merkkijono"
"Entity Attributes","Entity ominaisuudet"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity sovitin kohteena oninstanssi Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Yksiköllä ei tunneta "
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity tyyppi malli onesimerkki Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity tyyppi malli onesimerkki Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Virhe tietorakenteessa : käyttäytymistä sekoitetaan"
"Error in data structure: entity codes are mixed","Virhe tietorakenteessa : kokonaisuus koodit sekoitetaan"
"Export","Vie"
"Export FAQ","Vie FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Tiedosto ei sisällä tietoja . Julkaise toinen"
"File format is unknown","Tiedostomuoto ei tunneta"
"File is partially valid, but import is not possible","Tiedosto on osittain voimassa , mutta tuonti ei ole mahdollista "
"File is totally invalid. Please fix errors and re-upload file","Tiedosto on täysin virheellinen . Korjaa virheet ja lähetä uudelleen tiedosto"
"File is valid! To start import process press ""Import"" button","Tiedosto on voimassa ! Aloita tuominen painamalla""Tuo""painiketta"
"File is valid, but import is not possible","Asiakirja on voimassa, mutta tuonti ei ole mahdollista"
"Header column names already set","Ylä sarakenimet jo asetettu "
"Import","Tuo"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (Usein kysytyt kysymykset )"
"Import FAQ","Tuo FAQ"
"Import successfully done.","Tuo onnistuneesti tehty."
"Import/Export","Import / Export"
"In/Out","In / Out"
"Input entity code is not equal to entity adapter code","Input yksikkö koodi ei ole yhtä suuri kokonaisuus sovitin koodia"
"Invalid entity","Virheellinen kokonaisuus "
"Invalid file format","Virheellinen tiedostomuoto"
"Invalid parameters","Virheellisiä parametreja"
"Invalid seek position","Virheellinen etsimään asennossa "
"Invalid value for '%s'","Virheellinen arvo '%s '"
"No filter data provided","Kriteereitä tietojen"
"No source specified","Ei vaihtojännitealueella"
"No valid data sent","Ei voimassa tiedot lähetetään"
"No writer specified","Ei kirjailija määritetty"
"Node does not has model token tag","Solmu ei ole malli merkki tag"
"Not implemented yet","Ei vielä toteutettu"
"Please fix errors and re-upload file","Ole hyvä ja korjaa virheet ja lähetä uudelleen tiedosto"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Ole hyvä ja korjaa virheet ja lähetä uudelleen tiedoston tai paina ""Tuo"" -painiketta ohittaa rivit virheitä"
"Some other FAQ","Jotkut muut FAQ"
"Source file moving failed","Source file liikkuvat epäonnistui"
"Source file path must be a string","Lähde tiedoston polku on oltava merkkijono"
"Source is not set","Lähde ei ole asetettu"
"Status","Tila"
"System busy","Järjestelmä varattu"
"There are no product types available for export","Ei ole tuotetyyppien vientiä varten"
"Total size of uploadable files must not exceed %s","Koko on uploadable tiedostoja ei saa ylittää %s"
"Uploaded file has no extension","Ladattu tiedosto ei extension"
"Validation Results","Validation tulokset"
