"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' on liian pitkä . Sen on pituus %min% symboleja."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' on liian lyhyt. Sen on pituus %min% symboleja."
"* Required Fields","* Vaaditut tiedot"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> pyytää tilisi"
"Admin","Admin"
"After authorization application will have access to you account.","Kun lupahakemusta on pääsy Tili."
"An error occurred on confirm authorize.","Tapahtui virhe confirm valtuuttaa."
"An error occurred on delete action.","Virhe Delete toimintaa."
"An error occurred on delete application.","Tapahtui virhe delete sovellus."
"An error occurred on reject authorize.","Tapahtui virhe hylätä valtuuttaa."
"An error occurred on saving consumer data.","Tapahtui virhe säästää kuluttajalle tietoa."
"An error occurred on update revoke status.","Virhe päivitettäessä REVOKE asemaa."
"An error occurred while deleting the consumer.","Virhe poistettaessakuluttajalle."
"An error occurred.","Virhe."
"An error occurred. Your authorization request is invalid.","Virhe. Valtuutuskoodi Pyyntö ei kelpaa."
"App Name","App Name"
"Application ""%s"" has been deleted.","Sovellus ""%s"" on poistettu."
"Application ""%s"" has been enabled.","Sovellus ""%s"" on otettu käyttöön."
"Application ""%s"" has been revoked.","Sovellus ""%s"" on peruutettu."
"Application Name","Sovelluksen nimi"
"Application not found.","Sovellus ei löydy."
"Are you sure you want to delete this application?","Oletko varma, että haluat poistaa sovelluksen ?"
"Are you sure you want to disable this application?","Oletko varma, että haluat poistaa tämän sovelluksen ?"
"Are you sure you want to enable this application?","Oletko varma, että haluat ottaa tämän sovelluksen ?"
"Authorization confirmed","Authorization vahvistettu"
"Authorization confirmed.","Authorization vahvistettu."
"Authorize","Yhteyden salliminen "
"Authorize application","Yhteyden salliminen sovellus "
"Authorized Tokens","Valtuutettu Tokens"
"Callback URL","Takaisinsoitto URL"
"Cleanup Probability","Aivan Todennäköisyys"
"Cleanup Settings","Aivan Settings"
"Close","Sulje"
"Confirm OAuth token authorization","Vahvista OAuth token luvan "
"Confirm token authorization Pop Up for admin","Vahvista token lupaa Pop Up for admin"
"Confirm token authorization for admin","Vahvista token lupa admin"
"Confirmation Of Authorization","Vahvistus Authorization"
"Consumer Information","Consumer Information"
"Consumer Name","Consumer Name"
"Consumers","Kuluttajat"
"Created At","Luotu"
"Customer","Asiakas"
"Customer My Account My OAuth Applications","Asiakas Omat OAuth Applications"
"Delete","Poista"
"Disable","Poista käytöstä"
"Disabled","Disabled"
"Edit","Edit"
"Edit Consumer","Muokkaa Consumer "
"Email","Sähköposti"
"Email Address","Sähköpostiosoite"
"Enable","Enable"
"Enabled","Käytössä"
"Entry with ID #%s not found.","Maahantulo ID #%s ei löytynyt."
"Expiration Period","Vanhentumisjakso"
"Give the verifier code to application administrator","Annatodentajan koodia sovelluksen ylläpitäjä "
"ID","ID"
"Invalid Callback URL","Virheellinen Takaisinsoitto URL "
"Invalid ID parameter.","Virheellinen tunnus parametri."
"Invalid Rejected Callback URL","Virheellinen Hylätty Palautepalvelu URL"
"Invalid entry ID.","Virheellinen merkintä tunnus."
"Invalid revoke status.","Virheellinen REVOKE tila."
"Key","Key"
"Log In","Kirjaudu sisään"
"Log in as a customer","Kirjaudu sisään asiakkaana "
"Log in as admin","Kirjautumalla sisään admin"
"Log in as customer","Kirjaudu sisään asiakkaana "
"Log in to use <strong>%s</strong>","Kirjaudu sisään käyttääksesi <strong>%s</strong>"
"Login","Kirjaudu"
"My Applications","My Applications"
"Name","Nimi"
"New Consumer","Uusi Consumer "
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin My Apps"
"OAuth Authorized Tokens","OAuth Valtuutettu Tokens"
"OAuth Consumers","OAuth Kuluttajat"
"OAuth authorization Pop Up for customer","OAuth lupaa Pop Up for asiakas"
"OAuth authorization for admin","OAuth lupa admin"
"OAuth authorization for customer","OAuth lupa asiakas"
"OAuth authorization simple for admin","OAuth lupaa yksinkertaista admin"
"Password","Salasana"
"Permissions","Oikeudet"
"Please login to proceed authorization.","Ole hyvä ja kirjaudu edetä lupaa."
"Please select needed row(s).","Valitse tarvitaan rivi ( t)."
"Please select revoke status.","Valitse REVOKE tila."
"REST - My Apps","REST - Omat sovellukset"
"REST - OAuth Authorized Tokens","REST - OAuth Valtuutettu Tokens"
"REST - OAuth Consumers","REST - OAuth Kuluttajat"
"Reject","Hylkää"
"Reject OAuth token authorization","Hylkää OAuth token luvan"
"Reject authorization","Hylkää lupa"
"Reject token authorization Pop Up for admin","Hylkää token lupaa Pop Up for admin"
"Reject token authorization for admin","Hylkää token lupa admin"
"Rejected Callback URL","Hylätty Takaisinsoitto URL"
"Rejection Of Authorization","Hylkääminen luvan"
"Revoked","Peruuttaminen"
"Role Name","Roolin nimi"
"Save","Tallenna"
"Save and Continue Edit","Tallenna ja jatka Edit"
"Secret","Secret"
"Selected entries enabled.","Valitut merkinnät käytössä."
"Selected entries has been deleted.","Valitut merkinnät on poistettu."
"Selected entries revoked.","Valitut merkinnät kumottu."
"Status","Tila "
"System","Järjestelmä"
"The application access request is rejected.","Sovelluksen käyttö hakemuksen hylkäämistä."
"The consumer has been deleted.","Kuluttajalla on poistettu."
"The consumer has been saved.","Kuluttajalla on tallennettu."
"Token Status Change","Token tilan muutos"
"Token Status Change Email Template","Token tilan muutos sähköpostimalli"
"Unable to find a consumer.","Ei voi löytääkuluttajalle."
"User ID","Käyttäjätunnus"
"User Name","Käyttäjänimi"
"User Type","Käyttäjä Type"
"Verifier code: %s","Varmentaja koodi :%s"
"You have no applications.","Sinulla ei ole sovelluksia."
"deleted","poistettu"
"enabled","päällä"
"revoked","peruuttaa"
