"An error occurred while clearing the external full page cache.","Virhe clearing ulkoinen koko sivun välimuisti." 
"Cookie Lifetime (seconds)","Cookie Lifetime (sekuntia)" 
"Enable External Cache","Ota External Cache" 
"External Cache Control","Ulkoinen Cache Control" 
"External Full Page Cache Settings","Ulkoiset Full sivuvälimuistia Asetukset" 
"External full page cache.","Ulkoinen koko sivun välimuisti." 
"Failed to load external cache control","Failed to load ulkoisen välimuistin ohjaus" 
"Flush External Page Cache","Flush Ulkoiset sivuvälimuistia" 
"If empty, default value will be used.","Jos tämä on tyhjä, oletusarvo käytetään." 
"The external full page cache has been cleaned.","Ulkoinen koko sivun välimuisti on siivottu." 
"Zend Full Page Cache","Zend Full sivuvälimuistia"
