" was not delivered nor scanned"," ei toimitettu"
"1 Day Freight","1 päivän toimitus"
"2 Day Freight","2 päivän toimitus"
"2Day","2 päivää"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 päivän toimitus"
"3 Day Select","3 Day Select"
"Access ID","Access ID"
"Access license number","Access license number"
"Account ID","Tilin tunniste"
"Account number","Tilinumero"
"Additional Protection Configuration Value","Lisäsuojaa Configuration Arvo"
"Additional Protection Enabled","Lisäsuojaa Käytössä"
"Additional Protection Min Subtotal","Lisäsuojaa Min Yhteensä"
"Additional Protection Value","Muihin suojausarvo"
"Additional Protection Value Rounding Method","Muihin suojausarvo pyöristysmenetelmää"
"All Services","KAIKKI Palvelut"
"Allowed methods","Sallitut tavat"
"Bound Printed Matter","Bound Painotuotteet"
"Business Service Center","Elinkeinokeskus"
"Calculate Handling Fee","Laske käsittelykulu"
"Canada Standard","Kanada Standard"
"Cannot retrieve shipping rates","Toimitusmaksua EI voida Hakea"
"Commercial","kaupallinen"
"Configuration","kokoonpano"
"Container","Sisältö"
"Customer Packaging","asiakas Pakkaus"
"DHL","DHL"
"Default Package Height","Default Pakkaus Korkeus"
"Default Package Length","Default Paketti Pituus"
"Default Package Width","Default Paketti Leveys"
"Delivered","Toimitettu"
"Destination type","Kohteen Tyyppi"
"Displayed Error Message","Näytettävä virheviesti"
"Domestic Shipment Days","Kotimaan Lähetyksen päivää"
"Drop Box","Pudotuslaatikko"
"Dropoff","Pudotetaan"
"Empty response","Ei vastausta"
"Enable Negotiated Rates","Ota sovitulla hinnalla"
"Enabled","Käytössä"
"Error #%s : %s (%s)","Virhe # %s : %s ( %s )"
"Error #%s: %s","Virhe # %s : %s"
"Europe First Priority","Europe First Priority"
"Express","ilmaista"
"Express 10:30 AM","express 10:30"
"Express Mail","ilmaista pikaposti"
"Express Saturday","ilmaista lauantaijakelu"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Laatikko"
"FedEx 25kg Box","FedEx 25kg Laatikko"
"FedEx Box","FedEx Laatikko"
"FedEx Envelope","FedEx Kuori"
"FedEx Pak","FedEx paketti"
"FedEx Tube","FedEx tuubi"
"First Overnight","Yön Yli"
"First-Class","ENSIMMÄINEN Luokka"
"Flat","KIINTEÄ"
"Flat-Rate Box","Flat -Rate Box"
"Flat-Rate Envelope","KIINTEÄMÄÄRÄISEN kirjekuori"
"Free method","Ilmainen TAPA"
"Free shipping with minimum order amount","Ilmaistoimituksen tilauksen Arvo vähintään"
"Gateway URL","Maksuliikenteen Nimi Name"
"Gateway XML URL","Maksuliikenteen XML - Nimi Name"
"Ground","Pohjusta"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Käsitelty TAPA"
"Handling fee","Käsittelymaksu"
"Home Delivery","Kotiinkuljetus"
"International Economy","Kansainvälinen 2 - Luokka"
"International Express","Kansainvälinen pikatoimitus ( Express )"
"International First","Kansainvälinen 1 - Luokka ( ? )"
"International Priority","Kansainvälinen 1- Luokka"
"International Shipment Days","Lähetysten kansainvälinen päivää"
"Intl Economy Freight","Kansainvälinen rahtimaksu 2 - Luokka"
"Intl Priority Freight","Kansaivälinen rahtimaksu 1- Luokka"
"Invalid DHL XML code for type %s: %s","Virheellinen DHL XML - koodi- tyypille %s : %s"
"Invalid DHL XML code type: %s","Virheellinen DHL XML - koodityyppi : %s"
"Invalid FedEx XML code for type %s: %s","Virheellinen FedEx XML - koodi- tyypille %s : %s"
"Invalid FedEx XML code type: %s","Virheellinen FedEx XML - koodityyppi : %s"
"Invalid UPS CGI code for type %s: %s","Virheellinen UPS CGI - koodi- tyypille %s : %s"
