" But cart has some errors."," Mutta korissa on joitakin virheitä."
"""Description"" is more than %d characters long","""Kuvaus"" on enemmän kuin %d merkkiä pitkä"
"""Title"" is more than %d characters long","""Otsikko"" on enemmän kuin %d merkkiä pitkä"
"""id"" attribute is required for a ""%s"" field.","""id"" -määrite on pakollinen ""%s"" -kenttään."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" -määrite on pakollinen ""multiline"" elementti."
"""message"" attribute is required for ""%s"" validator rule.","""viesti"" -määrite on pakollinen ""%s"" validaattoriin sääntö."
"%1$s has been added to your wishlist.","%1$s on lisätty listaasi."
"%1$s incl tax.","%1$s sis. veroa."
"%s API Key required.","%s API Key tarvitaan."
"%s Application ID required.","%s Application ID tarvitaan."
"%s Secret Key required.","%s Secret Key tarvitaan."
"%s attribute is required.","%s määrite on pakollinen."
"%s has been added to your cart.","%s on lisätty ostoskoriin."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","( Sisältää enemmän maita kuin alla lueteltuja . Kutensovelluksen omistaja , olet vastuussa noudattaa maakohtaisia ​​lakeja liittyvätjakelu tai myynti hakemuksesi tuohon maahan, myös kotimaahan . )"
"*Subject to change","* Arvot voivat muuttua"
"10:40 AM","10:40"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank""> Kirjaudu </a> Urabn Ilmalaiva."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Verkkokauppa Vain Sovellus ei tue toimintoja, kuten lisätä ostoskoriin , lisää toivelistalle tai kirjaudu sisään."
"A new password has been sent.","Uusi salasana on lähetetty."
"Account","Tili"
"Account confirmation is required. Please check your email for the confirmation link.","Tilin tarvitaan vahvistusta . Tarkista sähköpostisi vartenvahvistuslinkki."
"Account information has been saved.","Käyttäjätilin tiedot on tallennettu."
"Action","Action"
"Activate","Aktivoi"
"Activate PayPal Checkout","Aktivoi PayPal Checkout"
"Activate PayPal MECL","Aktivoi PayPal MECL"
"Activation Key","Activation Key"
"Add App","Lisää App"
"Add New Template","Lisää uusi malli"
"Add Page","Lisää sivu"
"Add to Cart","Lisää ostoskoriin"
"Add to Wishlist","Lisää toivelistaan ​​"
"Additional Address","Osoitteen"
"Address","Osoite"
"Address 2","Osoite 2"
"Address data not specified.","Osoitetiedot ole määritelty."
"Address does not belong to this customer.","Osoite ei kuulu tälle asiakkaalle."
"Address has been deleted.","Osoite on poistettu."
"Address has been saved.","Osoite on tallennettu."
"Administrative contact for this app and for app submission issues.","Hallinnollinen yhteyshenkilö tämän sovelluksen ja sovelluksen jättämisen kysymyksiä."
"Advanced Settings","Lisäasetukset"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Kun olet lähettänytApp Magento , ota yhteyttä <a href=""mailto:%1$s""> %1$s </a> saadaApplication Key, Application Secret ja Application Master Secret."
"AirMail Message Queue","AirMail Viestijono"
"AirMail Messages Queue","AirMail viestit jonoon"
"AirMail Template Preview","AirMail Template Preview"
"AirMail message","AirMail viesti"
"AirMail templates","AirMail malleja"
"All Allowed Countries","Kaikki kyseiset maat"
"All locations","Kaikki sijainnit"
"An account with this email address already exists.","Tili tällä sähköpostiosoitteella on jo olemassa."
"An error occurred while adding item to wishlist.","Virhe lisäämällä tuote toivelistalle."
"An error occurred while deleting the address.","Virhe poistettaessaosoite."
"An error occurred while loading categories.","Lataamisessa tapahtui virhe luokkiin."
"An error occurred while loading category filters.","Lataamisessa tapahtui virhe luokan suodattimia."
"An error occurred while loading wishlist.","Lataamisessa tapahtui virhe toivelista."
"An error occurred while processing your order. Please contact us or try again later.","Käsiteltäessä tapahtui virhe tilauksesi . Ota yhteyttä tai yritä myöhemmin uudelleen."
"An error occurred while processing your request.","Virhe pyynnön käsittelyn yhteydessä."
"An error occurred while removing item from wishlist.","Virhe poistamalla tuote toivelistalle."
"An error occurred while removing items from wishlist.","Virhe Kohteiden poistaminen toivelista."
"Analytics","Analytics"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android doesnt \ 't tukevat AirMail viestin tyyppi."
"App Background","App tausta"
"App Background (landscape mode).","App Tausta ( Maisema)."
"App Background (portrait mode).","App Tausta ( pystykuvatilassa )."
"App Background <br />(landscape mode)","App Tausta <br /> ( Maisema)"
"App Background <br />(portrait mode)","App Tausta <br /> ( pystyasentoon )"
"App Background image missing.","App Taustakuva puuttuu."
"App Code","App Code"
"App Information","App Information"
"App Name","App Name"
"App Stores","App Store"
"App Submission History","App Submission History"
"App Title","App Title"
"App code required.","App koodia tarvitaan."
"App does not exist.","App ei ole olemassa."
"App has been deleted.","App on poistettu."
"App has been saved.","App on tallennettu."
"App has been submitted.","App on toimitettu."
"App model not loaded.","App malli ei ole ladattu."
"App with specified code does not exist.","App määritetyn koodi ei ole olemassa."
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","Esiintyyinfo osiossa app ( esimerkiksi : Copyright 2010 - Your Company , Inc.)"
"Application","Sovellus"
"Application Key","Sovellus Key"
"Application Master Secret","Sovellus Master Secret"
"Application Name","Sovelluksen nimi"
"Application Secret","Sovellus Secret"
"Are you sure you want to delete this theme? This change will affect all applications.","Oletko varma, että haluat poistaa tämän teeman ? Muutos vaikuttaa kaikkiin sovelluksiin."
"Are you sure you want to do this?","Oletko varma, että haluat tehdä tämän ?"
"Are you sure you whant to cancel a message?","Oletko varma, että whant peruuttaaviestin?"
"Are you sure you whant to delete a message?","Oletko varma, että whant poistaaviestin ?"
"Are you sure you what to cancel selected records?","Oletko varma, että mitä peruuttaa valitut tiedot ?"
"Are you sure you what to delete selected records?","Oletko varma, että mitä poistaa valitut tiedot ?"
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","KoskaMagento asiakas , Urban Ilmalaiva tarjoaa sinulle rajoittamaton Push ilmoitukset ja Rich Push for $ 100/year * yhdessä60 päivää ilmainen kokeiluversio."
"At last one application has to be created.","Vihdoinkin yksi hakemus on luotu."
"Authentication complete.","Authentication täydellinen."
"Back","Back"
"Back to App Edit","Back App Edit"
"Background Color","Taustaväri"
"Balance","Balance"
"Balance Change","Balance Change"
"Balance History","Balance History"
"Banner on Home Screen","Banner Home Screen"
"Banner on Home Screen (landscape mode) image missing.","Banner Aloitus-näytössä ( Maisema) kuva puuttuu."
"Banner on Home Screen (portrait mode) image missing.","Banner Aloitus-näytössä ( pystykuvatilassa ) kuva puuttuu."
"Banner on Home Screen <br />(landscape mode)","Banner Home Screen <br /> ( Maisema)"
"Banner on Home Screen <br />(portrait mode)","Banner Home Screen <br /> ( pystyasentoon )"
"Banner on Home Screen image missing.","Banner Aloitus-näytössä kuva puuttuu."
"Billing Address","Laskutusosoite"
"Billing address has been set.","Laskutusosoite on asetettu."
"Buy %1$s for %2$s","Osta %1$s %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Osta %1$s %2$s ( %3$s sis. . Vero ) jokainen"
"Buy %1$s for %2$s each","Osta %1$s %2$s jokainen"
"Buy %1$s with %2$s discount each","Osta %1$s %2$s alennus jokainen"
"Buyer country is not allowed by store.","Ostaja maa ei ole sallittua säilyttää."
"Cache Lifetime (seconds)","Cache Lifetime ( sekuntia )"
"Cache Management","Cache Management"
"Can\'t add item to shopping cart.","Can\'t lisää tuote ostoskoriin."
"Can\'t apply the coupon code.","Can\'t koskekuponkikoodi."
"Can\'t copy file ""%s"" to ""%s"".","Can\'t kopioida tiedosto ""%s"" ja ""%s""."
"Can\'t create wishlist.","Can\'t luovat toivelista."
"Can\'t delete ""%s"" theme.","Can\'t poistaa ""%s"" teema."
"Can\'t load XML.","Can\'t kuorma XML."
"Can\'t load application with id ""%s""","Can\'t kuorman kanssa id ""%s"""
"Can\'t load cart info.","Can\'t kuorma korissa info."
"Can\'t load cart.","Can\'t kuorma korissa."
"Can\'t load customer form.","Can\'t kuorma asiakkaiden muodossa."
"Can\'t load default themes.","Can\'t kuorma oletuksena teemoja."
"Can\'t load selected theme. Please check your media folder permissions.","Can\'t ladata valitun teeman. Tarkista median kansioiden käyttöoikeudet."
"Can\'t open submission form.","Can\'t auki lomakkeensa."
"Can\'t read file ""%s"".","Voi\'t lukea tiedosto ""%s""."
"Can\'t remove the item.","Voi\'t poistaa kohteen."
"Can\'t reset theme.","Voi\'t reset teema."
"Can\'t save address.","Voi\'t tallenna osoite."
"Can\'t save the customer.","Can\'t tallennaasiakas."
"Can\'t save theme.","Voi\'t tallenna teema."
"Can\'t show configuration.","Can\'t näytä kokoonpano."
"Can\'t specify product.","Can\'t määrittää tuotteen."
"Can\'t submit application.","Can\'t lähetä hakemus."
"Can\'t update cart.","Can\'t Päivitä ostoskori".
