"%s","%s"
"ACL Attribute Rules","Règles d'attributs ACL"
"ACL Attributes Information","Informations ACL Attributs"
"Add","ajouter"
"Add Admin Role","Ajouter un rôle d'administration"
"Add New Role","Ajouter un nouveau rôle"
"Address Type","type d'adresse"
"Admin","admin"
"Allow","permettre"
"An error occurred while deleting the role.","Une erreur s'est produite lors de la suppression du rôle."
"An error occurred while saving attribute rules.","Une erreur s'est produite lors de l'enregistrement des règles d'attributs."
"An error occurred while saving role.","Une erreur s'est produite lors de l'enregistrement rôle."
"Api Rules Information","Règles Api information"
"Assigned","assigné"
"Associate to Website","Associez le site Web"
"Attribute Rules Information","Renseignements sur les attributs règles"
"Attribute Set","Attribut Set"
"Attributes","attributs"
"Automatically Return Credit Memo Item to Stock","Retour automatique Mémo crédit Point de Stock"
"Back","arrière"
"Backorders","Les commandes en souffrance"
"Base Currency","devise de base"
"Base Customer Balance","Balance Base de clientèle"
"Base Discount","Remise de base"
"Base Discount Amount","Montant du rabais de base"
"Base Item Subtotal","Base de Sous-total article"
"Base Item Subtotal Including Tax","Base de l'article Sous-total TTC"
"Base Original Price","Prix ​​de base d'origine"
"Base Price","Prix ​​de base"
"Base Price Including Tax","Prix ​​de base TTC"
"Base Shipping","base de Livraison"
"Base Shipping Discount","Base de l'escompte d'expédition"
"Base Shipping Tax","Frais de port impôt de base"
"Base Subtotal","base de Sous-total"
"Base Subtotal Including Tax","Base de Sous-total TTC"
"Base Tax Amount","Montant de la taxe de base"
"Base Total Due","Base de Total à payer"
"Base Total Paid","Totale de base payé"
"Base Total Refunded","Totale de base Remboursé"
"Buy Now URL","Acheter URL"
"Can Be Divided into Multiple Boxes for Shipping","Peut être divisé en plusieurs boîtes pour l'expédition"
"Canceled Qty","annulé Quantité"
"Catalog","catalogue"
"Catalog Product","Le catalogue des marchandises"
"CatalogInventory","CatalogInventory"
"Category ID","Catégorie ID"
"City","ville"
"Company","entreprise"
"Country","pays"
"Coupon Code","code Promo"
"Create","créer"
"Create Permanent Redirect for old URL","Créer la redirection permanente pour ancienne URL"
"Created From","Created From"
"Customer","client"
"Customer Address","Adresse du client"
"Customer Address ID","Adresse du client ID"
"Customer Balance","Solde à la clientèle"
"Customer First Name","Client Prénom"
"Customer ID","N ° de client"
"Customer Last Name","Client Nom"
"Customer Middle Name","Client prénom"
"Customer Prefix","Préfixe à la clientèle"
"Customer Suffix","Suffixe à la clientèle"
"Default Image","image par défaut"
"Delete","effacer"
"Deny","nier"
"Disable automatic group change based on VAT ID","Désactiver le changement automatique de groupe fondée sur la TVA ID"
"Discount","réduction"
"Discount Amount","Montant du rabais"
"Discount Description","description Remise"
"Edit","Modifier"
"Edit %s ACL attribute rules","ACL les règles d'attribut de modifier%"
"Edit Role","Modifier Rôle"
"Edit attribute rules for %s Role","Modifier les règles pour attribut% de Rôle"
"Email","email"
"Enable Qty Increments","Activer Quantité incréments"
"Exclude","exclure"
"File Content","Contenu du fichier"
"File MIME Type","Type MIME du fichier"
"File Name","Nom du fichier"
"Final Price With Tax","Prix ​​final avec les taxes"
"Final Price Without Tax","Prix ​​final sans impôt"
"First Name","Prénom"
"Gift Message","Message cadeau"
"Grand Total","total"
"Grand Total to Be Charged","Total à charger"
"Group","groupe"
"Guest","invité"
"Has Custom Options","A Options sur mesure"
"ID","ID"
"Inventory Data","Données d'inventaire"
"Invoiced Qty","facturé Quantité"
"Is Confirmed","est confirmée"
"Is Default Billing Address","Est par défaut Adresse de facturation"
"Is Default Shipping Address","Est l'adresse par défaut de livraison"
"Item ID","article ID"
"Item Subtotal","Item Total"
"Item Subtotal Including Tax","Article Total TTC"
"Label","étiquette"
"Last Logged In","Derniers connectés"
"Last Name","Nom"
"Low Stock Date","Stock Bas Date de"
"Manage Stock","Gérer Stock"
"Maximum Qty Allowed in Shopping Cart","Quantité maximale autorisée dans le Panier"
"Minimum Qty Allowed in Shopping Cart","Quantité minimum admis dans Panier"
"New Role","nouveau rôle"
"Notify for Quantity Below","Notifier pour Quantité ci-dessous"
"OAuth","OAuth"
"Order","ordre"
"Order Addresses","ordre Adresses"
"Order Comments","Commandez Commentaires"
"Order Currency","afin devise"
"Order Date","date de commande"
"Order ID","Numéro de commande"
"Order ID (internal)","Numéro de commande (interne)"
"Order Item ID","Classement Référence"
"Order Items","Commander Articles"
"Order Status","Suivi de commande"
"Ordered Qty","commandé Quantité"
"Orders","ordres"
"Original Price","Prix ​​d'origine"
"Parent Order Item ID","Parent Classement Référence"
"Payment Method","Mode de paiement"
"Phone Number","Numéro de téléphone"
"Placed from IP","Placé de la propriété intellectuelle"
"Please enter a valid number in ""max_sale_qty"" field","S'il vous plaît entrer un nombre valide dans "" max_sale_qty champ """
"Please enter a valid number in ""min_qty"" field","S'il vous plaît entrer un nombre valide dans "" min_qty champ """
"Please enter a valid number in ""min_sale_qty"" field","S'il vous plaît entrer un nombre valide dans "" min_sale_qty champ """
"Please enter a valid number in ""notify_stock_qty"" field","S'il vous plaît entrer un nombre valide dans "" notify_stock_qty champ """
"Please use numbers only in ""category_id"" field.","S'il vous plaît utilisez uniquement des chiffres dans "" categorie_id champ ""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","S'il vous plaît utilisez uniquement des chiffres dans "" "" qty_increments terrain. S'il vous plaît éviter espaces ou autres caractères tels que des points ou des virgules."
"Position","position"
"Price","prix"
"Price Including Tax","Prix ​​TTC"
"Product","produit"
"Product Category","Catégorie de produit"
"Product ID","ID du produit"
"Product Image","Image de Produit"
"Product Type","Type de produit"
"Product URL","URL du produit"
"Product Website","Site Web du produit"
"Product and Custom Options Name","Produit et Options sur mesure Nom"
"Qty","Quantité"
"Qty Increments","Quantité incréments"
"Qty Uses Decimals","Quantité utilise des nombres décimaux"
"Qty for Item's Status to Become Out of Stock","Quantité pour Statut Point devenir Rupture de stock"
"REST - Attributes","REST - Attributs"
"REST - Roles","REST - Rôles"
"REST ACL Attributes","Attributs REST ACL"
"REST Attributes","Attributs REST"
"REST Role","Rôles REST"
"REST Roles","Rôles REST"
"REST Roles Information","Rôles REST information"
"Read","lire"
"Refunded Qty","Quantité remboursé"
"Regular Price With Tax","Prix ​​régulier avec les taxes"
"Regular Price Without Tax","Prix ​​normal Hors Taxes"
"Rest Roles","Reste Rôles"
"Retrieve","récupérer"
"Role ""%s"" no longer exists","Rôle ""% s "" n'existe plus"
"Role ""%s"" not found.","Rôle ""%s "" n'est pas trouvée."
"Role API Resources","Ressources de l'API de Rôle"
"Role Info","rôle Infos"
"Role Information","Informations de Rôle"
"Role Name","rôle Nom"
"Role Users","rôle utilisateurs"
"Role has been deleted.","Rôle a été supprimé."
"Roles","rôles"
"SKU","SKU"
"Salability Status","salability Etat"
"Sales","ventes"
"Save","sauver"
"Shipped Qty","Expédié Quantité"
"Shipping Amount","Frais de port Montant"
"Shipping Discount","Remise de livraison"
"Shipping Including Tax","Frais de port TTC"
"Shipping Method","Méthode d'expédition"
"Shipping Tax","Expédition Taxes"
"State","état"
"Stock Availability","Stock Disponibilité"
"Stock ID","Stock ID"
"Stock Item","Produit en stock"
"Stock Status","État des stocks"
"Store Currency to Order Currency Rate","Store Devises commander Taux de"
"Store Name","Nom du magasin"
"Street","rue"
"Subtotal","total"
"Subtotal Including Tax","Sous-total TTC"
"System","système"
"Tax Amount","Montant de l'impôt"
"Tax Name","Nom d'impôt"
"Tax Percent","Pourcentage d'impôt"
"Tax Rate","Taux d'imposition"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Les "" enable_qty_increments "" Le champ doit être mis à 0 ou 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Le champ "" is_decimal_divided "" doit être réglé sur 0 ou 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Le "" is_in_stock champ "" doit être réglé sur 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Le "" is_qty_decimal champ "" doit être réglé sur 0 ou 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Le "champ" de "is_qty_decimal" doit être réglé à 0, 1 ou 2."
"The ""manage_stock"" field must be set to 0 or 1.","Le "" manage_stock champ "" doit être réglé sur 0 ou 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Le "" stock_status_changed_auto champ "" doit être réglé sur 0 ou 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Les "" use_config_backorders "" Le champ doit être mis à 0 ou 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Le "" use_config_enable_qty_inc champ "" doit être réglé sur 0 ou 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Le "" use_config_manage_stock champ "" doit être réglé sur 0 ou 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Le "" use_config_max_sale_qty champ "" doit être réglé sur 0 ou 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Le "" use_config_min_qty champ "" doit être réglé sur 0 ou 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Le "" use_config_min_sale_qty champ "" doit être réglé sur 0 ou 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Le "" use_config_notify_stock_qty champ "" doit être réglé sur 0 ou 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Les "" use_config_qty_increments "" Le champ doit être mis à 0 ou 1."
"The attribute rules were saved.","Les règles d'attributs ont été sauvés."
"The role has been saved.","Le rôle a été enregistré."
"The role is a special one and not for assigning it to admin users.","Le rôle est spécial et pas pour attribuer aux utilisateurs d'admin."
"Total Due","total à payer"
"Total Paid","total payé"
"Total Refunded","total remboursé"
"Total Reviews Count","Total des avis comte"
"Type","type"
"URL","URL"
"Update","mettre à jour"
"Use Config Settings for Allow Gift Message","Utiliser les paramètres Config pour Autoriser les messages cadeau"
"Use Config Settings for Allow Gift Wrapping","Utiliser les paramètres de configuration pour permettre l'Emballage cadeau"
"Use Config Settings for Backorders","Utiliser les paramètres Config pour les livraisons"
"Use Config Settings for Enable Qty Increments","Utiliser les paramètres de configuration pour Activer Quantité incréments"
"Use Config Settings for Manage Stock","Utiliser les paramètres de configuration pour gérer le stock"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Utiliser les paramètres de configuration pour Quantité maximale autorisée dans le Panier"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Utiliser les paramètres de configuration pour Quantité minimum admis dans Panier"
"Use Config Settings for Notify for Quantity Below","Utiliser les paramètres de configuration pour notifier pour Quantité ci-dessous"
"Use Config Settings for Qty Increments","Utiliser les paramètres de configuration pour Quantité incréments"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Utiliser les paramètres Config pour Quantité pour Statut Point devenir Rupture de stock"
"User Type","Type d'utilisateur"
"User type ""%s"" no longer exists","Type d'utilisateur ""%s "" n'existe plus"
"User type ""%s"" not found.","Type d'utilisateur ""%s "" n'est pas trouvée."
"Web Services","Services Web"
"Web services","Services Web"
"Write","écrire"
"ZIP/Postal Code","Code postal / Code postal"
