"--Please Select--","--S'il vous plaît Choisir--"
"API Login ID","API ID de connexion"
"Accepted Currency","Accepté devise"
"Authorize.net Direct Post","Authorize.net direct Poster"
"Card Verification Number","De vérification de carte"
"Card Verification Number Visual Reference","De vérification de carte visuelle référence"
"Close","proche"
"Credit Card Information","Informations sur la carte de crédit"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Type","Type de carte de crédit"
"Credit Card Types","Types de cartes de crédit"
"Credit Card Verification","Carte de crédit de vérification"
"Debug","Debug"
"Email Customer","email client"
"Enabled","activé"
"Expiration Date","date d'expiration"
"Gateway URL","URL de la passerelle"
"Maximum Order Total","Maximum Total de la commande"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Email marchand"
"Minimum Order Total","Commande minimum totale"
"New Order Status","Nouveau Suivi de commande"
"Order saving error: %s","Économie afin erreur: %s"
"Payment Action","paiement action"
"Payment authorization error.","Erreur d'autorisation de paiement."
"Payment authorization error. Transacion id is empty.","Erreur d'autorisation de paiement. Transacion id est vide."
"Payment error. Order was not found.","Erreur de paiement. Ordre n'a pas été trouvé."
"Payment error. Paid amount doesn\'t match the order amount.","Erreur de paiement. Montant payé doesn \ 't correspondre au montant de la commande."
"Payment from Applicable Countries","Paiement des Pays applicables"
"Payment from Specific Countries","Paiement de pays spécifiques"
"Please, choose payment method","S'il vous plaît, choisissez la méthode de paiement"
"Response hash validation failed. Transaction declined.","Validation de hachage de réponse a échoué. Transaction refusée."
"Sort Order","Ordre"
"Test Mode","Mode test"
"The order has been created.","L'ordre a été créé."
"There was an error processing your order. Please contact us or try again later.","Il y avait une erreur lors du traitement de votre commande. S'il vous plaît contactez-nous ou réessayez plus tard."
"Title","titre"
"Transaction Key","Clé de transaction"
"What is this?","Qu'est-ce que c'est?"
"You will be required to enter your payment details before you place an order.","Vous serez invité à saisir vos informations de paiement avant que vous passez une commande."



