"Collected Files Count","Collectées comte Fichiers"
"Compilation","compilation"
"Compilation State","État de Compilation"
"Compilation error","Erreur de compilation"
"Compiled","compilé"
"Compiled Scopes Count","Nombre Scopes compilé"
"Compiler Status","Compiler Etat"
"Compiler include path is disabled.","Compiler chemin d'inclusion est désactivé."
"Compiler include path is enabled.","Compiler chemin d'inclusion est activée.."
"Directory ""%s"" must be writeable","Répertoire ""%s "" doit être accessible en écriture"
"Disable","handicapés"
"Disabled","handicapés"
"Enable","activé"
"Enabled","activé"
"File ""%s"" must be writeable","Fichier ""%s "" doit être accessible en écriture"
"Not Compiled","non Compilé"
"Run Compilation Process","Processus de compilation de fonctionner"
"Scopes Compilation Settings","Paramètres de compilation Lunettes"
"System","système"
"The compilation has completed.","La compilation est terminée."
"Tools","outils"
