"1.5.0.0 & later","1.5.0.0 & later"
"Action","Action"
"Add Author","Ajouter Auteur"
"Add Contents Path","Ajouter matières chemin"
"Add PHP Extension dependency","Ajouter dépendance PHP Extension"
"Add Package dependency","Ajouter la dépendance du paquet"
"Add files","Ajouter des fichiers"
"Authors","auteurs"
"Channel","canal"
"Contents","contenu"
"Create Extension Package","Créer un package d'extension"
"Dependencies","dépendances"
"Description","Description"
"Edit Extension","Modifier Poste"
"Email","email"
"Extension","Extension"
"Extensions","extensions"
"Failed to create the package.","Impossible de créer le paquet."
"Failed to load the package data.","Impossible de charger les données du paquet."
"Failed to save the package.","Impossible d'enregistrer le package."
"Files","fichiers"
"Folder","dossier"
"Ignore","ignorer"
"Include","comprendre"
"License","License"
"License URI","License URI"
"Load Local Package","Chargez le paquet locale"
"Load local Package","Chargez le paquet locale"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","nom"
"New Extension","nouvelle extension"
"PHP Version","Version de PHP"
"Package","Package"
"Package Extensions","Extensions de l'emballage"
"Package File Name","Nom de fichier de package"
"Package Info","Package Info"
"Packages","Forfaits"
"Path","chemin"
"Pre-1.5.0.0","pré-1.5.0.0"
"Release Info","Informations sur la mise"
"Remove","supprimer"
"Save As...","enregistrer sous.."
"Save Data and Create Package","Enregistrer des données et Création d'un package"
"Save package with custom package file name","Enregistrer package avec le nom de fichier de package personnalisé"
"Summary","résumé"
"Supported releases","versions prises en charge"
"System","système"
"Target","cible"
"The package %s data has been loaded.","Les données de l% package a été chargé."
"The package data has been saved.","Le paquet de données a été enregistré"
"There was a problem saving package data","Il y avait un paquet de données d'économie de problème"
"Type","Type"
"User","utilisateur"
