" in rows: "," en lignes: "
"-- Please Select --","-- S'il vous plaît Choisir --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptateur doit être une instance de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Type d'adaptateur doit être une chaîne non vide"
"Can not determine attribute filter type","Vous ne pouvez pas déterminer l'attribut type de filtre"
"Can not find required columns: ","Vous ne trouvez pas colonnes requises: "
"Can not get autoincrement value","Vous ne pouvez pas obtenir la valeur d'auto-incrémentation"
"Check Data","Vérifiez données"
"Column names have duplicates","Les noms de colonnes ont doublons"
"Column names is empty or is not an array","Les noms de colonnes est vide ou n'est pas un tableau"
"Column names: ""%s"" are invalid","Les noms de colonnes: ""%s "" ne sont pas valides"
"Continue","continuer"
"Data is invalid or file is not uploaded","Données n'est pas valide ou le fichier n'est pas téléchargé"
"Destination directory is not writable","Le répertoire de destination n'est pas accessible en écriture"
"Destination file is not writable","Fichier de destination n'est pas accessible en écriture"
"Destination file path must be a string","Chemin du fichier de destination doit être une chaîne"
"Entity Attributes","Attributs de l'entité"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entité objet de l'adaptateur doit être une instance de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entité est inconnu"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Modèle type de l'entité doit être une instance de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Modèle type de l'entité doit être une instance de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erreur dans la structure de données: les comportements sont mélangés"
"Error in data structure: entity codes are mixed","Erreur dans la structure de données: les codes de l'entité sont mélangés"
"Export","Export"
"Export FAQ","Export FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Le fichier ne contient pas de données. S'il vous plaît télécharger un de l'autre"
"File format is unknown","Format de fichier inconnu"
"File is partially valid, but import is not possible","Le fichier est partiellement valable, mais l'importation n'est pas possible"
"File is totally invalid. Please fix errors and re-upload file","Le fichier est totalement invalide. S'il vous plaît corriger les erreurs et le fichier re-upload"
"File is valid! To start import process press ""Import"" button","Le fichier est valide! Pour commencer, appuyez sur le processus d'importation "bouton" Importer """
"File is valid, but import is not possible","Le fichier est valide, mais l'importation n'est pas possible"
"Header column names already set","Les noms de colonnes d'en-tête déjà définis"
"Import","Importer"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (Foire Aux Questions)"
"Import FAQ","Importer FAQ"
"Import successfully done.","Importer fait avec succès."
"Import/Export","Import/Export"
"In/Out","In / Out"
"Input entity code is not equal to entity adapter code","Code de l'entité d'entrée n'est pas égale à l'entité Code de l'adaptateur"
"Invalid entity","entité invalide"
"Invalid file format","Format de fichier incorrect"
"Invalid parameters","paramètres non valides"
"Invalid seek position","Valide la position rechercher"
"Invalid value for '%s'","Valeur incorrecte pour '%s'"
"No filter data provided","Pas de données de filtrage fournis"
"No source specified","Aucune source spécifiée"
"No valid data sent","Pas de données valides envoyés"
"No writer specified","Aucun écrivain spécifiée"
"Node does not has model token tag","Nœud ne possède pas le modèle tag jeton"
"Not implemented yet","Pas encore implémenté"
"Please fix errors and re-upload file","S'il vous plaît corriger les erreurs et le fichier re-upload"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","S'il vous plaît corriger les erreurs et le fichier re-upload ou le bouton "Importer" "appuyez simplement sur" pour ignorer les lignes avec des erreurs"
"Some other FAQ","Une autre FAQ"
"Source file moving failed","Fichier source déplacer échoué"
"Source file path must be a string","Chemin du fichier source doit être une chaîne"
"Source is not set","Source n'est pas réglé"
"Status","statut"
"System busy","système occupé"
"There are no product types available for export","Il n'y a pas de types disponibles pour l'exportation de produits"
"Total size of uploadable files must not exceed %s","Taille totale des fichiers téléchargeables ne doit pas dépasser% s"
"Uploaded file has no extension","Fichier téléchargé n'a pas d'extension"
"Validation Results","Résultats de la validation"
