"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Toutes les cartes de crédit / Visa, Mastercard, AMEX, JCB, Diners (alimentés par Moneybookers) - international"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (alimenté par Moneybookers) - Italie"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (alimenté par Moneybookers) - France"
"Customer ID","N ° de client"
"Dankort (powered by Moneybookers) - Denmark","Dankort (alimenté par Moneybookers) - Danemark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS en ligne Überweisung (alimenté par Moneybookers) - Autriche"
"Enabled","activé"
"Find out more about Online Bank Transfer","En savoir plus sur virement bancaire en ligne"
"Giropay (powered by Moneybookers) - Germany","Giropay (alimenté par Moneybookers) - Allemagne"
"Laser (powered by Moneybookers) - Ireland","Laser (alimenté par Moneybookers) - Irlande"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (alimenté par Moneybookers) - Allemagne"
"Loading secure payment page (SSL)","Chargement en page de paiement sécurisé (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (alimenté par Moneybookers) - Royaume-Uni, Autriche, Espagne"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers Paramètres"
"Moneybookers Transaction ID: %s","Moneybookers Transaction ID: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Plus d'informations sur Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (alimenté par Moneybookers) - Finlande"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (alimenté par Moneybookers) - Suède"
"Online Bank Transfer (powered by Moneybookers)","Virement bancaire en ligne (alimenté par Moneybookers)"
"Order ID","Numéro de commande"
"POLi (powered by Moneybookers) - Australia","PLI (alimenté par Moneybookers) - Australie"
"Payment failed.","paiement échoué."
"Payment from Applicable Countries","Paiement des Pays applicables"
"Payment from Specific Countries","Paiement de pays spécifiques"
"Payment has not been processed yet.","Paiement n'a pas encore été traitée."
"Payment was canceled.","Le paiement a été annulé."
"Pending bank transfer created.","Dans l'attente de virement bancaire créé."
"Please pay your order now","S'il vous plaît payer votre commande maintenant"
"Postepay (powered by Moneybookers) - Italy","Postepay (alimenté par Moneybookers) - Italie"
"Powered by Moneybookers","Propulsé par Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (alimenté par Moneybookers) - Pologne"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (alimenté par Moneybookers) - Allemagne"
"Sort Order","Ordre"
"The amount has been authorized and captured by Moneybookers.","Le montant a été autorisé et capturé par Moneybookers."
"The customer was redirected to Moneybookers.","Le client a été redirigé vers Moneybookers."
"The order has been canceled.","La commande a été annulée."
"Title","titre"
"You will be redirected to our secure payment page when you place an order.","Vous serez redirigé vers notre page de paiement sécurisé lorsque vous passez une commande."
"eNETS (powered by Moneybookers) - Singapore","eNETS (powered by Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (powered by Moneybookers) - Pays-Bas"
