"%s","%s"
"ACL Attribute Rules","ACL Egenskap Regler"
"ACL Attributes Information","ACL attributter Informasjon"
"Add","Legg"
"Add Admin Role","Legg Admin Rolle"
"Add New Role","Legg til ny rolle"
"Address Type","Adressetype"
"Admin","Admin"
"Allow","Tillat"
"An error occurred while deleting the role.","Det oppstod en feil under sletting av rollen ."
"An error occurred while saving attribute rules.","Det oppstod en feil under lagring attributt regler ."
"An error occurred while saving role.","Det oppstod en feil under lagring rolle ."
"Api Rules Information","Api Regler Informasjon"
"Assigned","Assigned"
"Associate to Website","Knytt til Hjemmeside"
"Attribute Rules Information","Attributt Regler Informasjon"
"Attribute Set","attributt Set"
"Attributes","attributter"
"Automatically Return Credit Memo Item to Stock","Returner automatisk kreditnota Element Stock"
"Back","tilbake"
"Backorders","restordrer"
"Base Currency","Basisvaluta"
"Base Customer Balance","Base Kunde Balance"
"Base Discount","Base Rabatt"
"Base Discount Amount","Base Rabattbeløp"
"Base Item Subtotal","Grunnleggende element Delsum"
"Base Item Subtotal Including Tax","Grunnleggende element Delsum inkludert skatt"
"Base Original Price","Base Opprinnelig pris"
"Base Price","Base Pris"
"Base Price Including Tax","Base pris inkludert moms"
"Base Shipping","Base Shipping"
"Base Shipping Discount","Base Shipping Rabatt"
"Base Shipping Tax","Base Shipping Skatt"
"Base Subtotal","Base Delsum"
"Base Subtotal Including Tax","Base Delsum Inkludert moms"
"Base Tax Amount","Base Skattebeløp"
"Base Total Due","Base Total Due"
"Base Total Paid","Base Total Betalt"
"Base Total Refunded","Base Total Refundert"
"Buy Now URL","Kjøp nå URL"
"Can Be Divided into Multiple Boxes for Shipping","Kan deles inn i flere bokser for Shipping"
"Canceled Qty","avbrutt Antall"
"Catalog","Catalog"
"Catalog Product","Katalogen Produkt"
"CatalogInventory","CatalogInventory"
"Category ID","Kategori ID"
"City","by"
"Company","Selskapet"
"Country","land"
"Coupon Code","kupongkode"
"Create","Lag"
"Create Permanent Redirect for old URL","Lag permanent viderekobling for gammel URL"
"Created From","Laget Fra"
"Customer","kunde"
"Customer Address","kunden Adresse"
"Customer Address ID","Kunden Adresse ID"
"Customer Balance","kunde Balance"
"Customer First Name","Kunde Fornavn"
"Customer ID","kunde-ID"
"Customer Last Name","Kunde Etternavn"
"Customer Middle Name","Kunde Mellomnavn"
"Customer Prefix","kunde Prefix"
"Customer Suffix","kunde -suffiks"
"Default Image","Standardbilde"
"Delete","Slett"
"Deny","Nekt"
"Disable automatic group change based on VAT ID","Deaktiver automatisk gruppe endring basert på mva -ID"
"Discount","rabatt"
"Discount Amount","rabatt Beløp"
"Discount Description","rabatt Beskrivelse"
"Edit","Rediger"
"Edit %s ACL attribute rules","Rediger %s ACL attributt regler"
"Edit Role","Edit Rolle"
"Edit attribute rules for %s Role","Rediger attributt regler for%s rolle"
"Email","E-post"
"Enable Qty Increments","Aktiver Antall intervaller"
"Exclude","Ekskluder"
"File Content","File Content"
"File MIME Type","File MIME -type"
"File Name","File Name"
"Final Price With Tax","Endelig pris Med Tax"
"Final Price Without Tax","Endelig pris uten moms"
"First Name","Fornavn"
"Gift Message","Gift melding"
"Grand Total","totalsum"
"Grand Total to Be Charged","Totalsum som skal belastes"
"Group","Gruppe"
"Guest","gjest"
"Has Custom Options","Har Custom Options"
"ID","ID"
"Inventory Data","inventar data"
"Invoiced Qty","fakturert Antall"
"Is Confirmed","bekreftes"
"Is Default Billing Address","Er Standard Fakturaadresse"
"Is Default Shipping Address","Er standard leveringsadresse"
"Item ID","element ID"
"Item Subtotal","element Delsum"
"Item Subtotal Including Tax","Element Delsum Inkludert moms"
"Label","etikett"
"Last Logged In","Sist logget inn"
"Last Name","etternavn"
"Low Stock Date","Lav Dato på lager"
"Manage Stock","leder Stock"
"Maximum Qty Allowed in Shopping Cart","Maksimal Antall tillatt i handlekurven"
"Minimum Qty Allowed in Shopping Cart","Minimum Antall tillatt i handlekurven"
"New Role","ny rolle"
"Notify for Quantity Below","Varsle for Antall Nedenfor"
"OAuth","OAuth"
"Order","Bestill"
"Order Addresses","Bestill Adresser"
"Order Comments","Bestill Kommentarer"
"Order Currency","Bestill Valuta"
"Order Date","Bestill Dato"
"Order ID","ordre-ID"
"Order ID (internal)","Ordre-ID ( intern )"
"Order Item ID","Bestill Enhet ID"
"Order Items","Bestill Elementer"
"Order Status","Bestillingsstatus"
"Ordered Qty","bestilt Antall"
"Orders","Pålegg"
"Original Price","Opprinnelig pris"
"Parent Order Item ID","Forelder ordreposisjon ID"
"Payment Method","Betalingsmåte"
"Phone Number","Telefonnummer"
"Placed from IP","Plasseres fra IP"
"Please enter a valid number in ""max_sale_qty"" field","Vennligst skriv inn et gyldig nummer i "" max_sale_qty ""-feltet"
"Please enter a valid number in ""min_qty"" field","Vennligst skriv inn et gyldig nummer i "" min_qty ""-feltet"
"Please enter a valid number in ""min_sale_qty"" field","Vennligst skriv inn et gyldig nummer i "" min_sale_qty ""-feltet"
"Please enter a valid number in ""notify_stock_qty"" field","Vennligst skriv inn et gyldig nummer i "" notify_stock_qty ""-feltet"
"Please use numbers only in ""category_id"" field.","Vennligst bruke tall bare i "" category_id ""-feltet ."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Vennligst bruke tall bare i "" qty_increments ""-feltet . Vennligst unngå mellomrom eller andre tegn som prikker eller komma ."
"Position","stilling"
"Price","Pris"
"Price Including Tax","Pris inkludert skatt"
"Product","produkt"
"Product Category","produktkategori"
"Product ID","produkt -ID"
"Product Image","Produktbilde"
"Product Type","Varetype"
"Product URL","produkt URL"
"Product Website","produkt Hjemmeside"
"Product and Custom Options Name","Produkt-og Custom Options Navn"
"Qty","Antall"
"Qty Increments","Antall intervaller"
"Qty Uses Decimals","Antall Bruker Desimaler"
"Qty for Item's Status to Become Out of Stock","Antall for elements status til å bli på lager"
"REST - Attributes","Resten - attributter"
"REST - Roles","Resten - Roller"
"REST ACL Attributes","REST ACL attributter"
"REST Attributes","REST attributter"
"REST Role","REST Rolle"
"REST Roles","REST roller"
"REST Roles Information","REST Roller Informasjon"
"Read","Les"
"Refunded Qty","refundert Antall"
"Regular Price With Tax","Vanlig pris Med Tax"
"Regular Price Without Tax","Vanlig pris uten skatt"
"Rest Roles","Hvil roller"
"Retrieve","Hent"
"Role ""%s"" no longer exists","Rolle "" %s "" eksisterer ikke lenger"
"Role ""%s"" not found.","Rolle "" %s "" ikke funnet ."
"Role API Resources","Rolle API Resources"
"Role Info","rolle info"
"Role Information","rolle Informasjon"
"Role Name","rolle Navn"
"Role Users","rolle brukere"
"Role has been deleted.","Rolle har blitt slettet ."
"Roles","roller"
"SKU","SKU"
"Salability Status","salability Status"
"Sales","Salgs"
"Save","lagre"
"Shipped Qty","sendt Antall"
"Shipping Amount","Fraktbeløp"
"Shipping Discount","Shipping Rabatt"
"Shipping Including Tax","Shipping Inkludert moms"
"Shipping Method","Shipping Method"
"Shipping Tax","Shipping Skatt"
"State","stat"
"Stock Availability","lager tilgjengelighet"
"Stock ID","lager ID"
"Stock Item","Lagervare"
"Stock Status","Stock Status"
"Store Currency to Order Currency Rate","Butikkvalutaå bestille Valuta Rate"
"Store Name","Butikknavn"
"Street","gate"
"Subtotal","delsum"
"Subtotal Including Tax","Delsum Inkludert moms"
"System","system"
"Tax Amount","Skattebeløp"
"Tax Name","Skatte Navn"
"Tax Percent","Skatte Percent"
"Tax Rate","Skattesats"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Den "" enable_qty_increments "" feltet må være satt til 0 eller 1. ."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Den "" is_decimal_divided "" feltet må være satt til 0 eller 1. ."
"The ""is_in_stock"" field must be set to 0 or 1.","Den "" is_in_stock "" feltet må være satt til 0 eller 1. ."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Den "" is_qty_decimal "" feltet må være satt til 0 eller 1. ."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Den "" is_qty_decimal "" feltet må være satt til 0 , 1 eller 2 ."
