"--Please Select--","- Vennligst velg -"
"API Login ID","API Login ID"
"Accepted Currency","akseptert Valuta"
"Authorize.net Direct Post","Authorize.net Direkte Post"
"Card Verification Number","CVC nummer"
"Card Verification Number Visual Reference","CVC- nummer Visual Reference"
"Close","Lukk"
"Credit Card Information","Kredittkortinformasjon"
"Credit Card Number","Kredittkortnummer"
"Credit Card Type","Credit Card Type"
"Credit Card Types","Credit Card Typer"
"Credit Card Verification","Credit CVC"
"Debug","Debug"
"Email Customer","E-post Kunde"
"Enabled","aktivert"
"Expiration Date","Utløpsdato"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maksimal Order Total"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Merchant e-postadresse"
"Minimum Order Total","Minimum Total"
"New Order Status","New Order Status"
"Order saving error: %s","Bestill sparer error : %s"
"Payment Action","betaling Handling"
"Payment authorization error.","Betaling autorisasjonsfeil ."
"Payment authorization error. Transacion id is empty.","Betaling autorisasjonsfeil . Transacion id er tom ."
"Payment error. Order was not found.","Betaling feil . Ordren ble ikke funnet ."
"Payment error. Paid amount doesn\'t match the order amount.","Betaling feil . Innbetalt beløp ikke \ ' t matche ordrebeløp ."
"Payment from Applicable Countries","Betaling fra land dette gjelder for"
"Payment from Specific Countries","Betaling fra bestemte land"
"Please, choose payment method","Vennligst velg betalingsmetode"
"Response hash validation failed. Transaction declined.","Response hash validering mislyktes . Transaksjons avvist ."
"Sort Order","sorteringsrekkefølgen"
"Test Mode","test Mode"
"The order has been created.","Ordren har blitt opprettet ."
"There was an error processing your order. Please contact us or try again later.","Det oppstod en feil under bestillingen . Ta kontakt med oss , eller prøv igjen senere ."
"Title","Tittel"
"Transaction Key","Transaksjons Key"
"What is this?","Hva er dette ?"
"You will be required to enter your payment details before you place an order.","Du vil bli bedt om å angi betalingsdetaljene før du foretar en bestilling ."
