"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure -kort Validation"
"3D Secure Cardholder Validation","3D Secure Kortholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verifisering Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Kortutsteder Ansvar"
"Card Verification","CVC"
"Enrolled","Lært"
"Enrolled but Authentication Unavailable","Lært men Authentication utilgjengelig"
"Failed","mislyktes"
"MasterCard SecureCode","MasterCard Securecode"
"Merchant Liability","Merchant Ansvar"
"Not Enrolled","ikke Lært"
"Order cannot be placed.","Bestill kan ikke plasseres ."
"Payment information error. Please start over.","Betalingsinformasjon feil . Vennligst starte på nytt."
"Please continue with placing order.","Vennligst fortsett med å plassere ordren."
"Please verify the card with the issuer bank before placing the order.","Vennligst bekreft kortet med utsteder banken før du plasserer ordren ."
"Please verify the card with the issuer bank:","Vennligst bekreft kortet med utsteder bank:"
"Start/Reset Validation...","START / RESET Validation ..."
"Successful","vellykket"
"Successful attempt","vellykket forsøk"
"The card has failed verification with the issuer bank.","Kortet har ikke verifisert med utsteder banken ."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Det har vært feil betalingsinformasjon sendes eller fristen er utløpt . Vennligst prøv igjen ."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Det har vært feil betalingsinformasjon sendes eller fristen er utløpt . Vennligst prøv igjen ."
"This card has failed validation and cannot be used.","Dette kortet har sviktet validering og kan ikke brukes ."
"To ensure the security of your transactions","For å sikre sikkerheten til dine transaksjoner"
"Unable to complete","Kan ikke fullføre"
"Validation failed.","Validering feilet ."
"Verification Failed","verifisering mislyktes"
"Verification Successful","verifisering vellykket"
"Verification cannot be processed","Verifikasjon kan ikke behandles"
"Verified by Visa","Verified by Visa"
