"1.5.0.0 & later","1.5.0.0 og senere"
"Action","handling"
"Add Author","Legg Forfatter"
"Add Contents Path","Legg Innhold Sti"
"Add PHP Extension dependency","Legg PHP Extension avhengighet"
"Add Package dependency","Legg pakken avhengighet"
"Add files","Legg til filer"
"Authors","Forfattere"
"Channel","Channel"
"Contents","innhold"
"Create Extension Package","Lag Extension Package"
"Dependencies","avhengig"
"Description","Beskrivelse"
"Edit Extension","Edit Extension"
"Email","E-post"
"Extension","Extension"
"Extensions","utvidelser"
"Failed to create the package.","Klarte ikke å opprette pakken."
"Failed to load the package data.","Kunne ikke laste pakkedata."
"Failed to save the package.","Klarte ikke å lagre pakken."
"Files","filer"
"Folder","Folder"
"Ignore","Ignorer"
"Include","Inkluder"
"License","lisens"
"License URI","lisens URI"
"Load Local Package","Laste Lokal Package"
"Load local Package","Load lokale Package"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager-"
"Max","Max"
"Maximum","maksimal"
"Min","min"
"Minimum","minimum"
"Name","navn"
"New Extension","New Extension"
"PHP Version","PHP versjon"
"Package","pakke"
"Package Extensions","Pakke Extensions"
"Package File Name","Package File Name"
"Package Info","pakke info"
"Packages","pakker"
"Path","sti"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Informasjon om utgaver"
"Remove","Fjern"
"Save As...","Lagre som ..."
"Save Data and Create Package","Lagre data og lage Package"
"Save package with custom package file name","Spar pakke med tilpassede pakke filnavn"
"Summary","Oppsummering"
"Supported releases","utgivelser som støttes"
"System","system"
"Target","Target"
"The package %s data has been loaded.","Pakken %s data har blitt lastet."
"The package data has been saved.","Pakken data er lagret."
"There was a problem saving package data","Det var et problem besparende pakke data"
"Type","Type"
"User","Bruker"
