* Required Fields,* Obligatoriske felt
Subscribe,Abonnere
Subscribe to newsletter,Abonnere p&aring; nyhetsbrev
Subscribed to Newsletter?,Abonnerer du p&aring; v&aring;rt nyhetsbrev?
Admin,Administrator
Address,Adresse
Address Book,Adressebok
Address Information,Adresseinformasjon
The address was successfully saved,Adressen ble lagret
The address was successfully deleted,Adressen ble slettet
The address does not belong to this customer,Adressen tilh&oslash;rer ikke denne kunden
Addresses,Adresser
Online,Aktiv
Never,Aldri
All,Alle
All Store Views,Alle butikkvisninger
All countries,Alle land
Always optional,Alltid valgfri
Online Customers Options,Alternativer for aktive kunder
Suffix dropdown options,Alternativer for endelse (dropdown)
Account Sharing Options,Alternativer for kontodeling
Create New Account Options,Alternativer for ny konto
Password Options,Alternativer for passord
Qty,Antall
Days in Wishlist,Antall dager i &oslash;nskelisten
Number of lines in a street address ,Antall linjer i gateadresse 
YYYY,&aring;r
Year,&aring;r
Cancel,Kansellert
Forgot Email Sender,"Avsender for ""Glemt passord""-epost"
Customers Only,Bare kunder
Manage Addresses,Behandle adresser
Manage Customers,Behandle kunder
Confirm New Password,Bekreft nytt passord
Confirm Password,Bekreft passord
Failed to confirm customer account.,Bekreftelse av kundekonto feilet.
Confirmation Link Email,Bekreftelse p&aring; epost
New account confirmation key,Bekreftelsesn&oslash;kkel for ny konto
Confirmed,Bekreftet
Amount,Bel&oslash;p
Orders,Bestillinger
Visitor,Bes&oslash;kende
Payment Method,Betalingsmetode
Use as My Primary %s Address,Bruk som prim?r %s adresse
Use as my default billing address,Bruk som standard fakturaadresse
Use as my default shipping address,Bruk som standard leveringsadresse
User description,Brukerbeskrivelse
Login and password are required,Brukernavn og passord er obligatorisk
Store,Butikk
Store View,Butikkvisning
City,By
CSV,CSV-format
Day,Dag
DD,Dag
Date,Dato
Date Added,Dato lagt til
Last date unsubscribed,Dato sist abonnement ble stoppet
Last date subscribed,Dato sist abonnement opprettet
Disabled,Deaktivert
Share Customer Accounts,Del kundekontoer
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Denne eposten blir sendt istedenfor standard velkomstmeldingen, etter bekreftelse av kontoen."
This e-mail does not require confirmation.,Denne eposten krever ikke bekreftelse.
This account is not confirmed.,Denne kontoen er ikke bekreftet enda.
This customer has no saved addresses.,Denne kunden har ingen lagrede adresser.
There are no items in customer's shopping cart at the moment,Det er ingen varer i handlekurven for &oslash;yeblikket
There was an error while deleting the address,Det oppstod en feil ved sletting av adressen
Details,Detaljer
This is My Primary %s Address,Dette er min prim?re %s adresse
Your account balance is: %s,Din kontobalanse: %s
You are currently not subscribed to any newsletter.,Du abonnerer for tiden ikke p&aring; noen nyhetsbrev.
You are currently not subscribed to our newsletter,Du abonnerer for tiden ikke p&aring; v&aring;rt nyhetsbrev.
You are currently subscribed to our newsletter,Du abonnerer p&aring; v&aring;rt nyhetsbrev
You are currently subscribed to 'General Subscription'.,Du abonnerer p&aring; v&aring;rt nyhetsbrev.
You are currently subscribed to our newsletter.,Du abonnerer p&aring; v&aring;rt nyhetsbrev.
You're now Logged Out,Du er n&aring; logget ut
You have been successfully logged out and will be redirected to our homepage in 5 seconds.,Du har blitt logget ut og vil videresendes til hovedsiden innen fem sekunder.
You have placed no products yet.,Du har ikke lagt til noen produkter enda.
You have not set a primary billing address.,Du har ikke valgt prim?r fakturaadresse.
You have not set a primary shipping address.,Du har ikke valgt prim?r leveringsadresse.
You have no additional address entries in your address book.,Du har ingen ekstra adresseoppf&oslash;ringer i adresseboken.
You have no additional entries in your address book.,Du har ingen ekstra oppf&oslash;ringer i adresseboken.
You have no primary entries in your address book.,Du har ingen prim?roppf&oslash;ringer i adresseboken.
You have placed no orders yet.,Du har ingen registrerte bestillinger.
You have no default billing address in your address book.,Du har ingen standard fakturaadresse i adresseboken.
You have no default shipping address in your address book.,Du har ingen standard leveringsadresse i adresseboken.
Additional Address Entries,Ekstra adresser
or,eller
Subject,Emne
Customer email already exists,En annen kunde er registrert med denne epost-adressen
Text One Line,En-linje tekst
Suffix,Endelse
"The suffix that goes after name (Jr., Sr., etc.)","Ending etter navn (Jr., Sr., etc.)"
Edit,Endre
Edit Newsletter Subscription,Endre abonnement p&aring; nyhetsbrev
Change Billing Address,Endre fakturaadresse
Change Account Password,Endre kontopassord
Edit Customer's Address,Endre kundens adresse
Change Shipping Address,Endre leveringsadresse
Change Password,Endre passord
Email,Epost
Email Address,Epost-adresse
This email address was not found in our records,Epost-adressen eksisterer ikke i v&aring;rt register
Email Sender,Epost-avsender
Are you sure?,Er du sikker?
A new password was sent,Et nytt passord ble sendt
Last Name,Etternavn
Last name can't be empty,Etternavn-feltet kan ikke v?re tomt
Fax,Faks
Billing Information,Fakturainformasjon
Bill to Name,Faktur?r til
Bad request.,Feil foresp&oslash;rsel.
Wrong region id by selected country,Feil region-ID for valgt land
Error during retrieval of option value: %s,Feil under henting av valg-alternativer: %s
Invalid current password,Feil/ugyldig passord
Company,Firma
Remove,Fjern
First Name,Fornavn
First name can't be empty,Fornavn-feltet kan ikke v?re tomt
Continue Shopping,Fortsett &aring; handle
Customer collection expected,Forventet kundeliste
Offline,Frakoblet
Please enter your email.,Fyll inn din epost-adresse
Date of Birth,F&oslash;dselsdato
Date of Birth is required.,F&oslash;dselsdato er p&aring;krevd.
Go to Address Book,G&aring; til adressebok
Street Address ,Gateadresse 
Street Address,Gateadresse
General Subscription,Generelt abonnement
Current Password,Gjeldende passord
Average Sale,Gjennomsnittlig salg
Guest,Gjest
Forgot Your Password?,Glemt passordet ditt?
Global,Globalt
Approved,Godkjent
Group,Gruppe
Group Information,Gruppeinformasjon
Group Name,Gruppenavn
Shopping Cart,Handlekurv
Shopping Cart - %d item(s),Handlekurv - %d vare(r)
Action,Handling
"Hello, %s!",Hei %s!
Retrieve address data,Hent adresse-data
Retrieve your confirmation link here,Hent din bekreftelseskode her
Retrieve your password here,Hent ditt passord
Retrieve customer addresses,Hent kunde-adresser
Retrieve customer data,Hent kundedata
Retrieve customer's groups,Hent kundegrupper
Retrieve customers info,Hent kundeinfo
Retrieve customers,Hent kunder
Retrieve address info,hente adresse-info
"Skip import row, website ""%s"" field not exists","Hopper over rad, feltet ""%s"" eksisterer ikke"
"Skip import row, required field ""%s"" not defined","Hopper over rad, obligatorisk felt ""%s"" ikke definert"
HTML,Html
ID,Id
Not Sent,Ikke sendt
No Newsletter Found,Ingen nyhetsbrev funnet
No product collections found,Ingen produktsamlinger funnet
No item specified.,Ingen spesifisert.
No Items Found,Ingen varer funnet
Online Customers,Innloggede kunder
Login Information,Innloggingsinformasjon
Config,Innstilling
Entity collection is expected,Instanssamling forventet
IP Address,IP-adresse
Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.,Kan ikke dele kundekontoer globalt pga noen kontoer med samme epost-adresse som finnes p&aring; flere Websites.
Can't save address,Kan ikke lagre adresse
Can't save customer,Kan ikke lagre kunde
"Not confirmed, cannot login","Kan ikke logge inn, og ikke bekreftet"
"Group ""%s"" can not be deleted","Kan ikke slette gruppe ""%s"""
"Not confirmed, can login","Kan logge inn, men ikke bekreftet"
Purchased at,Kj&oslash;pt
Purchase On,Kj&oslash;pt den
Bought From,Kj&oslash;pt fra
Contact Information,Kontaktinformasjon
Account Information,Kontoinformasjon
Account information was successfully saved,Kontoinformasjon ble lagret
My Dashboard,Kontooversikt
Account Dashboard,Kontooversikt
Require Emails Confirmation,Krever bekreftelse av epost
Visitors Only,Kun bes&oslash;kende
Customer,Kunde
Customer Api,Kunde API
Customer Since,Kunde siden
"Customer website id must be specified, when using website scope.",Kunde Website ID m&aring; angis.
Customer Addresses,Kundeadresse
Customer Group,Kundegruppe
Customer Group was successfully saved,Kundegruppen ble lagret
Customer Group was successfully deleted,Kundegruppen ble slettet
Customer Groups,Kundegrupper
Customer Information,Kundeinformasjon
Customer Login,Kundeinnlogging
My Account Dashboard,Kundekonto
Customer doesn't have primary billing address,Kunden har ikke ingen prim?r fakturaadresse
Customer Configuration,Kundeoppsett
Customers,Kunder
Customers Section,Kundeseksjon
Customer View,Kundevisning
Leave empty for default (15 minutes).,La v?re tomt for &aring; bruke Standard (15 minutter).
Leave empty for default (2). Valid range: 1-4,La v?re tomt for &aring; bruke Standard (2). Gyldige verdier: 1-4
Create Order,Lag bestilling
Save,Lagre
Save Address,Lagre adresse
Save Customer,Lagre kunde
Save Customer Group,Lagre kundegruppe
Save And Continue Edit,Lagre og fortsett &aring; redigere
Save Password,Lagre passord
Saved ,Lagret 
Added From,Lagt til fra
Country,Land
Add New Address,Legg til ny adresse
Add New Customer,Legg til ny kunde
Add New Customer Group,Legg til ny kundegruppe
Shipping Information,Leveringsinformasjon
Shipping Method,Leveringsmetode
Login,Logg inn
Log In,Logg inn
Login or Create an Account,Logg inn eller lag en ny konto
Log in or Create an Account,Logg inn eller Opprett kundekonto
"If you have an account with us, please log in.",Logg inn her dersom du allerede har en konto hos oss.
Log Out,Logg ut
Forgot Email Template,"Mal for ""Glemt passord""-epost"
Month,M&aring;ned
"Missing email, skipping the record","Mangler e-post, hopper over oppf&oslash;ring"
"Missing lastname, skipping the record","Mangler etternavn, hopper over oppf&oslash;ring"
"Missing firstname, skipping the record","Mangler etternavn, hopper over oppf&oslash;ring"
Sign Up for Newsletter,Meld p&aring; nyhetsbrev
Sign up for our newsletter,Meld p&aring; v&aring;rt nyhetsbrev
M.I.,MI.
My Account,Min konto
