" in rows: ","i rader :"
"-- Please Select --","- Vennligst velg -"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter må være en forekomst av Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Adapter Typen må være en ikke tom streng"
"Can not determine attribute filter type","Kan ikke fastslå attributtfiltertype"
"Can not find required columns: ","Kan ikke finne nødvendige kolonner :"
"Can not get autoincrement value","Kan ikke få autoincrement verdi"
"Check Data","Sjekk data"
"Column names have duplicates","Kolonnenavn har duplikater"
"Column names is empty or is not an array","Kolonnenavn er tom eller er ikke en matrise"
"Column names: ""%s"" are invalid","Kolonnenavn : ""%s "" er ugyldig"
"Continue","Fortsett"
"Data is invalid or file is not uploaded","Data er ugyldig , eller filen er ikke lastet opp"
"Destination directory is not writable","Destinasjon katalog er ikke skrivbar"
"Destination file is not writable","Destinasjon fil er ikke skrivbar"
"Destination file path must be a string","Destinasjon filbane må være en streng"
"Entity Attributes","Entity attributter"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter objektet må være en forekomst av Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entity er ukjent"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity typen modell må være en forekomst av Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity typen modell må være en forekomst av Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Feil i datastruktur : atferd er blandet"
"Error in data structure: entity codes are mixed","Feil i datastruktur : enhetskoderer blandet"
"Export","eksport"
"Export FAQ","Eksporter FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Filen ikke inneholder data . Last opp en annen"
"File format is unknown","Filformatet er ukjent"
"File is partially valid, but import is not possible","Filen er delvis gyldig , men import er ikke mulig"
"File is totally invalid. Please fix errors and re-upload file","Filen er helt ugyldig . Vennligst fikse feil og re -upload fil"
"File is valid! To start import process press ""Import"" button","Filen er gyldig ! For å starte importen trykk "" Import "" knappen"
"File is valid, but import is not possible","Filen er gyldig , men import er ikke mulig"
"Header column names already set","Header kolonnenavn allerede satt"
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (Frequently Asked Questions)"
"Import FAQ","Import FAQ"
"Import successfully done.","Import hell gjort ."
"Import/Export","Import / Export"
"In/Out","In / Out"
"Input entity code is not equal to entity adapter code","Input enhet kode er ikke lik enhet adapter kode"
"Invalid entity","Ugyldig enhet"
"Invalid file format","Ugyldig filformat"
"Invalid parameters","ugyldige parametere"
"Invalid seek position","Ugyldig søke stilling"
"Invalid value for '%s'","Ugyldig verdi for ' %s'"
"No filter data provided","Ingen filter data levert"
"No source specified","Ingen kilde spesifisert"
"No valid data sent","Ingen gyldige data som sendes"
"No writer specified","Ingen forfatter spesifisert"
"Node does not has model token tag","Node har ikke har modell token tag"
"Not implemented yet","Ikke implementert ennå"
"Please fix errors and re-upload file","Vennligst fikse feil og re -upload fil"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Vennligst fikse feil og re -upload fil eller bare trykk på "" Import "" knappen for å hoppe over rader med feil"
"Some other FAQ","Noen andre FAQ"
"Source file moving failed","Kilde fil flytte mislyktes"
"Source file path must be a string","Kilde filbane må være en streng"
"Source is not set","Kilde er ikke satt"
"Status","status"
"System busy","system opptatt"
"There are no product types available for export","Det er ikke produkttyper som er tilgjengelige for eksport"
"Total size of uploadable files must not exceed %s","Total størrelse på opplastbare filer må ikke overstige %s"
"Uploaded file has no extension","Lastet opp filen har ingen forlengelse"
"Validation Results","Valideringsresultater"
