"An error occurred while clearing the external full page cache.","Det oppstod en feil ved å fjerne ekstern helsides cache."
"Cookie Lifetime (seconds)","Cookie Lifetime (sekunder)"
"Enable External Cache","Aktiver Ekstern Cache"
"External Cache Control","Ekstern Cache kontroll"
"External Full Page Cache Settings","Ekstern Full sidehurtigbuffer Innstillinger"
"External full page cache.","Ekstern helside cache."
"Failed to load external cache control","Klarte ikke å laste eksterne cache kontroll"
"Flush External Page Cache","Flush Ekstern Page Cache"
"If empty, default value will be used.","Dersom tom, vil standardverdi benyttes."
"The external full page cache has been cleaned.","Den eksterne helside cache har blitt rengjort."
"Zend Full Page Cache","Zend Full Page Cache"
