"""Remember Me"" Default Value","""Husk meg"" Standardverdi"
"(Not %s?)","(Ikke %s? )"
"* Required Fields","* Obligatoriske felt"
"Address","Address"
"Address Information","Adresseinformasjon"
"Already registered?","Allerede registrert ?"
"Back","Tilbake"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved å opprette en konto med butikken vår, vil du være i stand til å bevege seg gjennom kassen raskere , lagre flere adresser, vise og spore ordrene i kontoen din , og mer ."
"Cannot load configuration from file %s.","Kan ikke laste inn konfigurasjon fra fil %s".
"Checkout as Guest","Kassen som Guest"
"Checkout as a Guest or Register","Kassen som en gjest eller Registrer"
"City","Byen"
"Clear Persistence on Log Out","Clear Persistence inn Logg ut"
"Close","Lukk"
"Company","Selskapet"
"Confirm Password","Bekreft passord"
"Continue","Fortsett"
"Country","Land"
"Create an Account","Opprett en konto"
"Easy access to your order history and status","Enkel tilgang til din ordrehistorikk og status"
"Email Address","E-postadresse"
"Enable ""Remember Me""","Aktiver""Remember Me"""
"Enable Persistence","Aktiver Persistence"
"Fast and easy check out","Rask og enkel sjekk ut"
"Fax","Faks"
"Forgot Your Password?","Glemt passord?"
"Forgot your password?","Glemt passord?"
"General Options","General Options"
"If you have an account with us, please log in.","Hvis du har en konto hos oss, kan du logge inn?"
"Loading next step...","Legge i neste trinn ..."
"Login","Login"
"Login Information","Påloggingsinformasjon"
"Login or Create an Account","Logg inn eller opprett en konto"
"New Customers","Nye kunder"
"Password","Passord"
"Persist Shopping Cart","Vedvarer handlekurv"
"Persistence Lifetime (seconds)","Persistence Lifetime ( sekunder )"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Personopplysninger"
"Please log in below:","Logg inn nedenfor :"
"Please select region, state or province","Velg region, stat eller provins"
"Register","Registrer"
"Register and save time!","Registrer og spare tid !"
"Register to Create an Account","Registrer deg for å opprette en konto"
"Register with us for future convenience:","Registrer deg hos oss for framtidig stor :"
"Registered Customers","Registrerte kunder"
"Remember Me","Husk meg"
"Save in address book","Lagre i adressebok"
"Select State/Province...","Velg Stat / provins..."
"Select a billing address from your address book or enter a new address.","Velg en fakturaadresse fra adresseboken , eller skriv inn en ny adresse."
"Ship to different address","Ship to annen adresse"
"Ship to this address","Transport til denne adressen"
"Shopping cart has been updated with appropriate prices","Handlekurven er oppdatert med riktige priser"
"Sign Up for Newsletter","Sign Up for nyhetsbrev"
"State/Province","State / Province"
"Street Address","Gateadresse"
"Street Address %s","Gateadresse %s"
"Submit","Submit"
"Telephone","Telefon"
"To proceed to Checkout,"For å gå videre til kassen
"VAT Number","MVA -nummer"
"Welcome, %s!","Velkommen , %s !"
"What\'s this?","Hva\' s dette?"
"Zip/Postal Code","Zip / Postal Code"
