"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) – International","Alle kredittkort / Visa , Mastercard , AMEX , JCB , Diners ( powered by Moneybookers ) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (drevet av Moneybookers ) - Italia"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (drevet av Moneybookers ) - Frankrike"
"Customer ID","Kunde-ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort (drevet av Moneybookers ) - Danmark"
"EPS Online-Ãœberweisung (powered by Moneybookers) - Austria","EPS Online - Ãœberweisung (drevet av Moneybookers ) - Austria"
"Enabled","Enabled"
"Find out more about Online Bank Transfer","Finn ut mer om Online Bank Transfer"
"Giropay (powered by Moneybookers) - Germany","Giropay (drevet av Moneybookers ) - Tyskland"
"Laser (powered by Moneybookers) - Ireland","Laser (drevet av Moneybookers ) - Irland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift ( ELV ) (drevet av Moneybookers ) - Tyskland"
"Loading secure payment page (SSL)","Legge sikre betalingsside ( SSL )"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (drevet av Moneybookers ) - Storbritannia , Østerrike , Spania"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers Innstillinger"
"Moneybookers Transaction ID: %s","Moneybookers Transaksjons ID : %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mer opplysninger om Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (drevet av Moneybookers ) - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (drevet av Moneybookers ) - Sverige"
"Online Bank Transfer (powered by Moneybookers)","Online Bank Transfer (drevet av Moneybookers )"
"Order ID","Order ID"
"POLi (powered by Moneybookers) - Australia","Poli ( drevet av Moneybookers ) - Australia"
"Payment failed.","Betaling mislyktes."
"Payment from Applicable Countries","Betaling fra land dette gjelder"
"Payment from Specific Countries","Betaling fra bestemte land"
"Payment has not been processed yet.","Betaling ikke er behandlet ennå."
"Payment was canceled.","Betalingen ble avbrutt."
"Pending bank transfer created.","Avventer bankoverføring opprettet."
"Please pay your order now","Vær så snill å betale inn bestillingen nå"
"Postepay (powered by Moneybookers) - Italy","Postepay (drevet av Moneybookers ) - Italia"
"Powered by Moneybookers","Powered by Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (drevet av Moneybookers ) - Polen"
"SofortÃ¼berweisung (powered by Moneybookers) - Germany","SofortÃ ¼ berweisung (drevet av Moneybookers ) - Tyskland"
"Sort Order","Sort Order"
"The amount has been authorized and captured by Moneybookers.","Mengden er blitt godkjent og tatt til fange av Moneybookers."
"The customer was redirected to Moneybookers.","Kunden ble omdirigert til Moneybookers ."
"The order has been canceled.","Ordren har blitt avbrutt."
"Title","Tittel"
"You will be redirected to our secure payment page when you place an order.","Du vil bli omdirigert til vår sikre betalingsside når du foretar en bestilling."
"eNETS (powered by Moneybookers) - Singapore","eNETS ( powered by Moneybookers ) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","ideell ( drevet av Moneybookers ) - Nederland"
