"PayByBill Invoice Fee", "Fakturagebyr"
"Cannot retrieve the payment info model object.", "Cannot retrieve the payment info model object."
"Unable to fetch document.", "Kunne ikke hente dokumentet."
"No invoice found.", "Ingen fakturaer funnet."
"Credit check failed.", "Kredittsjekk feilet."
"You have to verify you credit by clicking the ""Check credit""-button before you can continue.", "Du må kredittsjekkes først. Trykk på ""OK""-knappen for å utføre kredittsjekken."
"Unable to place reservation", "Kunne ikke reservere ordren"
"Unable to create invoice", "Kunne ikke opprette faktura"
"Unable to create creditmemo", "Kunne ikke opprette kreditnota"
"No quote found.", "Ingen tilbud funnet."
"No address found.", "Ingen adresse funnet."
"No order found.", "Ingen ordre funnet."
"You only get credit of %s", "Du kan handle for inntil %s"
"You have been approved a credit limit of %s","Du er kredittgodkjent opp til %s."
"Norway", "Norge"
"Sweden", "Sverige"
"Denmark", "Danmark"
"Finland", "Finland"
"Netherlands", "Nederland"
"Germany", "Tyskland"
"PayByBill Customer Number","Afterpay Kundenummer"
"Rating","Afterpay Kunde-rating"
"Reservation ID","Reservasjons-ID"
"Fetch the invoice","Hent orginalfaktura"
"Running credit check, please wait ...", "Kjører kredittsjekk, vent ..."
"Check credit", "OK"
"Your credit information has been approved.", "Du er kredittgodkjent!"
"Our sales conditions", "Våre salgsvilkår"
"Unable to fetch terms and conditions. Please try again.", "Kunne ikke hente salgsvilkårene. Prøv igjen." 
"Accept our terms and conditions", "Jeg har lest og forstått vilkår for PayByBill"
"Unable to cancel reservation. Check PayByBill backend manually.", "Kunne ikke kansellere reservasjon. Logg deg på PayByBill-kontosiden og kjør manuell kansellering."
"%s days credit. Always get the goods home before you pay.","Fakturagebyr 29 kr. %s dagers kreditt."
"More information.", "Mer info om Afterpay."
"Split the payment.", "Del opp betalingen over tid (kun privatpersoner)"
"Social security number", "Personnummer"
"Your credit check failed. Please check that the information you gave was correct.", "Dessverre ble du ikke godkjent i vår kontroll ved kjøp med faktura. Vennligst kontroller at du har oppgitt riktig navn, personnummer og folkeregistrert adresse. Alternativt kan du velge en annen måte å betale på."
"You must specify a housenumber", "Du må spesifisere et husnummer"
"You must specify birth date in format DD.MM.YYYY or DDMMYYYY", "Du må spesifisere din bursdag i formatet DD.MM.ÅÅÅÅ or DDMMÅÅÅÅ"
"You must specify a social security number.", "Du må spesifisere personnummer."
"An invalid country code is choosen", "Ugyldig landskode valgt"
"You must specify a postalcode", "Du må spesifisere et postnummer"
"You have to specify your email address", "Du må angi din epost adresse"
"price_example","Priseksempel; Kr. 5.000, o/12 mnd., eff. Rente 39,33 %, totalt kr. 5.939"
"Close","Lukk"
"Your credit request has been denied.","Din søknad om kreditt blir avslått."
