"""Remember Me"" Default Value","""Kom ihåg mig""Standardvärde"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Obligatoriska fält"
"Address","Adress"
"Address Information","Adressinformation"
"Already registered?","Redan registrerad?"
"Back","Back"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Genom att skapa ett konto med vårt lager , kommer du att kunna gå igenom betalningsprocessen snabbare , lagra flera leveransadresser , granska och spåra dina beställningar på ditt konto och mer."
"Cannot load configuration from file %s.","Kan inte läsa in konfigurationen från filen %s."
"Checkout as Guest","Kassan som Gäst"
"Checkout as a Guest or Register","Kassan som gäst eller medlem"
"City","City"
"Clear Persistence on Log Out","Clear Persistence på Log Out​​"
"Close","Stäng"
"Company","Bolaget"
"Confirm Password","Bekräfta lösenord"
"Continue","Fortsätt"
"Country","Land"
"Create an Account","Skapa ett konto"
"Easy access to your order history and status","Enkel åtkomst till din orderhistorik och status"
"Email Address","E-postadress"
"Enable ""Remember Me""","Aktivera""Kom ihåg mig"""
"Enable Persistence","Aktivera Persistence"
"Fast and easy check out","Snabbt och enkelt kolla in"
"Fax","Fax"
"Forgot Your Password?","Har du glömt ditt lösenord?"
"Forgot your password?","Har du glömt ditt lösenord?"
"General Options","Allmänna alternativ"
"If you have an account with us, please log in.","Om du har ett konto hos oss, vänligen logga in"
"Loading next step...","Laddar nästa steg ..."
"Login","Logga in"
"Login Information","Inloggningsinformation"
"Login or Create an Account","Logga in eller skapa ett konto"
"New Customers","Nya kunder"
"Password","Password"
"Persist Shopping Cart","Kvarstår Varukorgen"
"Persistence Lifetime (seconds)","Persistence Lifetime ( sekunder )"
"Persistent Shopping Cart","Ihållande varukorgen"
"Personal Information","Personlig information"
"Please log in below:","Logga in nedan :"
"Please select region, state or province","Vänligen välj region , stat eller provins"
"Register","Registrera"
"Register and save time!","Registrera och spara tid !"
"Register to Create an Account","Registrera dig för att skapa ett konto"
"Register with us for future convenience:","Registrera dig hos oss för framtida bekvämlighet"
"Registered Customers","Registrerade kunder"
"Remember Me","Kom ihåg mig"
"Save in address book","Spara i adressboken"
"Select State/Province...","Välj stat / provins ..."
"Select a billing address from your address book or enter a new address.","Välj en faktureringsadress från din adressbok eller ange en ny adress."
"Ship to different address","Levererar till annan adress"
"Ship to this address","Levererar till denna adress"
"Shopping cart has been updated with appropriate prices","Din varukorg har uppdaterats med rimliga priser"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"State/Province","Stat / Provins"
"Street Address","Gatuadress"
"Street Address %s","Gatuadress %s"
"Submit","Submit"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","För att gå vidare till kassan, vänligen logga in med din e-postadress."
"VAT Number","Momsnummer"
"Welcome, %s!","Välkommen , %s!"
"What\'s this?","Vad \ är detta?"
"Zip/Postal Code","Zip / Postal Code"
