Please Select Option,Välj Alternativ
%s is added to your cart for choosing this image.,%s läggs till prisen om du önskar bild.
%s is added to your cart for choosing this icon.,%s läggs till prisen om du önskar ikon.
Minimum upload size of image is 500px * 200px.,Bilden är för liten. Din bild måste minst vara i storleken 500px x 200px.
Choose FA icons,Välj ikon
Extra Text,extra text
Just Label,bara Etikett
Purchase just the label,Köp bara etiketten
Change Fa Size,Ändra storlek
Choose Scissor Patterns,Välj saxmönster
Pattern will not displayed in the preview,Mönstret visas inte i förhandsgranskningen
Add Title,Lägg till titel
Additional Text,Text
Titel Font Style,Ändra font
Text Font Style,Ändra font
APPLY BACKGROUND COLOR,VÄLJ BAKGRUNDSFÄRG
Change Scissor Color,Ändra färg på sax
Change Pen Color,Ändra färg på penna
Change Pen color,Ändra färg på penna
Change Penlight Color,Ändra färg på pupillampa
Apply Background,Välg background
Use PMS,Skriv in PMS kod
Please select the element to edit/delete it.,Välj objektet du önsker ändra/ta bort.
Change Text Color,Ändra färg
Change Text Size,Ändra storlek
Your Name,Ditt namn
Change Title Size,Ändra storlek
Change Title Color,Ändra färg
Apply Background Color,Välj färg
Equipment will not appear in the preview.,Utrustning visas inte i förhandsgranskningen.
Change Tweezer Color,Ändra färg på pincett
Information,Information
