"PayByBill Invoice Fee", "Fakturaavgift"
"Cannot retrieve the payment info model object.", "Cannot retrieve the payment info model object."
"Unable to fetch document.", "Kunde inte hämta dokumentet."
"No invoice found.", "Ingen faktura hittades."
"Credit check failed.", "Kreditkontroll misslyckades."
"You have to verify you credit by clicking the ""Check credit""-button before you can continue.", "Du måste kreditkontrolleras först. Tryck ""OK"" för att utföra kreditkontroll."
"Unable to place reservation", "Kunde inte reservera order"
"Unable to create invoice", "Kunde inte skapa faktura"
"Unable to create creditmemo", "Kunde inte skapa kreditfaktura"
"No quote found.", "Inget förslag hittades."
"No address found.", "Ingen adress hittades."
"No order found.", "Ingen order funnen."
"You only get credit of %s", "Du kan handla för %s"
"You have been approved a credit limit of %s","Du är kreditgodkänd upp till %s."
"Norway", "Norge"
"Sweden", "Sverige"
"Denmark", "Danmark"
"Finland", "Finland"
"Netherlands", "Nederländerna"
"Germany", "Tyskland"
"PayByBill Customer Number","PayByBill Kundnummer"
"Rating","PayByBill Kund-rating"
"Reservation ID","Reservations-ID"
"Fetch the invoice","Hämta orginalfaktura"
"Running credit check, please wait ...", "Kreditkontroll pågår, vänligen vänta ..."
"Check credit", "OK"
"Your credit information has been approved.", "Du är godkänd!"
"Our sales conditions", "Våra försäljningsvillkor"
"Unable to fetch terms and conditions. Please try again.", "Kunde inte hämta försäljningsvillkoren. Försök igen."
"Accept our terms and conditions", "Jag har läst och förstått villkoren för PayByBill"
"Unable to cancel reservation. Check PayByBill backend manually.", "Kunde inte avbryta reservation. Logga in på PayByBill-kontosidan och kör manuell annullering."
"%s days credit. Always get the goods home before you pay.","%s dagars kredit. Få alltid hem varorna före betalning."
"More information.", "Mer info."
"Split the payment.", "Dela upp betalningen över tid"
"Social security number", "Personnummer"
"Your credit check failed. Please check that the information you gave was correct.", "Din kreditkontroll misslyckades. Vänligen kontrollera att all information stämmer."
"You must specify a housenumber", "Du måste ange ett husnummer"
"You must specify birth date in format DD.MM.YYYY or DDMMYYYY", "Du måste ange din födelsedag i formatet DD.MM.ÅÅÅÅ or DDMMÅÅÅÅ"
"You must specify a social security number.", "Du måste ange personnummer."
"An invalid country code is choosen", "Ogiltig landskod vald"
"You must specify a postalcode", "Du måste ange ett postnummer"
"You have to specify your email address", "Du måste ange din epost-adress"
"price_example",""
"Close","Stäng"
"Your credit request has been denied.","Din ansökan om kredit har avslagits."
