"Actions","Aktionen"
"Are you sure?","Sind Sie sicher?"
"Date Added","Hinzugefügt am"
"Error while marking as read. Please try again later.","Fehler beim Markieren als gelesen. Bitte versuchen Sie es später noch einmal"
"Error while marking. Please try again later.","Fehler beim Kennzeichnung. Bitte versuchen Sie es später noch einmal."
"Error while removing. Please try again later.","Fehler beim Entfernen. Bitte versuchen Sie es später noch einmal."
"Last update","Letzte Aktualisierung"
"Mark as Read","Als 'gelesen' markieren"
"Mark as read","Als 'gelesen' markieren"
"Message","Nachricht"
"Message was successfully marked as read","Nachricht wurde erfolgreich als gelesen markiert"
"Message was successfully removed","Nachricht wurde erfolgreich entfernt"
"Messages Inbox","Posteingang"
"Notifications","Mitteilungen / Hinweise"
"Please select messages","Bitte wählen Sie Nachrichten"
"Read Details","Details anzeigen"
"Remove","Entfernen"
"Severity","Priorität"
"Show List","Liste anzeigen"
"Show Toolbar","Werkzeugleiste anzeigen"
"Total of %d record(s) were successfully marked as read","Insgesamt %d Record (s) erfolgreich als gelesen markiert"
"Total of %d record(s) were successfully removed","Insgesamt %d Eintragung (en) wurden erfolgreich entfernt"
"Unable to proceed. Please, try again","Kann nicht fortgesetzt werden. Bitte versuchen Sie es erneut"
"Update frequency","Update-Frequenz"
"Use HTTPS to get feed","Use HTTPS to get feed"
"critical","Kritisches Update"
"major","Versionssprung"
"minor","Bugfix"
"notice","Hinweis"
