"--Please Select--","--Bitte wählen--"
"API Login ID","API Login ID"
"Accepted Currency","Akzeptierte Währung"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Kartenprüfnummer"
"Card Verification Number Visual Reference","Kartenprüfnummer Visuelle Referenz"
"Close","schließen"
"Credit Card Information","Kreditkarteninformationen"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten Überprüfung"
"Debug","Debug"
"Email Customer","Mail an die Kunden"
"Enabled","Aktiviert"
"Expiration Date","Verfallsdatum"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximale Gesamtbestellung"
"Merchant MD5","Händler MD5"
"Merchant's Email","Händler email"
"Minimum Order Total","Mindestbestellwert insgesamt"
"New Order Status","Neuer Status der Bestellung"
"Order saving error: %s","Bestellen Sie sparen Fehler: %s"
"Payment Action","Zahlung Aktion"
"Payment authorization error.","Zahlung Berechtigungsfehler."
"Payment authorization error. Transacion id is empty.","Zahlung Berechtigungsfehler. Transacion ID ist leer."
"Payment error. Order was not found.","Zahlungsfehler. Bestellen Sie wurde nicht gefunden."
"Payment error. Paid amount doesn\'t match the order amount.","Zahlungsfehler. Gezahlten Betrag doesn \ 't entsprechen Die Bestellmenge."
"Payment from Applicable Countries","Zahlung von zutreffender Länder"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Please, choose payment method","Bitte wählen Sie Zahlungsmethode"
"Response hash validation failed. Transaction declined.","Response-Hash-Validierung fehlgeschlagen. Transaktion abgelehnt."
"Sort Order","Sortierung"
"Test Mode","Testmodus"
"The order has been created.","Der Auftrag wurde erstellt."
"There was an error processing your order. Please contact us or try again later.","Es gab einen Fehler bei der Verarbeitung Ihrer Bestellung. Bitte kontaktieren Sie uns oder versuchen Sie es später erneut."
"Title","Titel"
"Transaction Key","Transaction Key"
"What is this?","Was ist das?"
"You will be required to enter your payment details before you place an order.","Sie werden benötigt, um Ihre Zahlungsinformationen eingeben, bevor Sie einen Auftrag vergeben werden."
