"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D-Secure-Karteninhaber Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce-Anzeige"
"3D Secure Verification Result","3D Secure Verification Ergebnis"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Kartenaussteller Haftung"
"Card Verification","Card Verification"
"Enrolled","Eingeschriebene"
"Enrolled but Authentication Unavailable","Eingeschriebene aber Authentifizierung nicht verfügbar"
"Failed","Gescheiterte"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Händler Haftung"
"Not Enrolled","Nicht eingeschriebene"
"Order cannot be placed.","Bestellen kann nicht gestellt werden."
"Payment information error. Please start over.","Zahlungsinformationen Fehler. Bitte beginnen Sie erneut."
"Please continue with placing order.","Bitte fahren Sie mit Auftrag vergeben wird."
"Please verify the card with the issuer bank before placing the order.","Bitte überprüfen Sie die Karte mit der Emittent Bank vor der Bestellung."
"Please verify the card with the issuer bank:","Bitte überprüfen Sie die Karte mit der Emittent Bank:"
"Start/Reset Validation...","Start / Reset Validation ..."
"Successful","erfolgreich"
"Successful attempt","Erfolgreicher Versuch"
"The card has failed verification with the issuer bank.","Die Karte wurde mit dem Emittenten Überprüfung Bank gescheitert."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Es hat vorgelegt falsch zu Zahlungen oder die Frist abgelaufen ist. Bitte versuchen Sie es erneut."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Es wurde eingereicht oder Zeitlimit abgelaufen ist falsch Zahlungsinformationen. Bitte versuchen Sie es erneut."
"This card has failed validation and cannot be used.","This card has failed validation and cannot be used."
"To ensure the security of your transactions","Diese Karte hat Überprüfung fehl und kann nicht verwendet werden."
"Unable to complete","Nicht abgeschlossen"
"Validation failed.","Validierung fehlgeschlagen."
"Verification Failed","Bestätigung fehlgeschlagen"
"Verification Successful","Überprüfung erfolgreich"
"Verification cannot be processed","Überprüfung kann nicht verarbeitet werden"
"Verified by Visa","Verified by Visa"
