"%s Index process is working now. Please try run this process later.","%s Index Prozess funktioniert jetzt. Bitte versuchen Sie es später diesen Prozess auszuführen."
"%s index was rebuilt.","%s Index wurde wieder aufgebaut."
"'%s' Index Process Information","'%s' Index Prozessinformationen"
"Action","Aktion"
"Cannot initialize the indexer process.","Indexer-Prozess kann nicht initialisiert werden."
"Change Index Mode","Ändern Index-Modus"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klicken Sie hier um zu gehen <a href=""%s"">Cache Management</a> und erfrischen Cache-Typen."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klicken Sie hier um zu gehen <a href=""%s"">Index Management</a> und den Wiederaufbau erforderlich Indizes."
"Delete","löschen"
"Description","Beschreibung"
"Disable","Deaktivieren"
"Enable","ermöglichen"
"General","ermöglichen"
"Index","Index"
"Index Description","Index Beschreibung"
"Index Management","Index Management"
"Index Mode","Index-Modus"
"Index Name","Index Name"
"Index mode","Index-Modus"
"Indexer code is not defined.","Indexer Code ist nicht definiert."
"Indexer model is not defined.","Indexer-Modell ist nicht definiert."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer Modell sollte Mage_Index_Model_Indexer_Abstract verlängern."
"Manual Update","Manuelles Update"
"Mode","Modus"
"Never","nie"
"No","No"
"One or more of the Indexes are not up to date:","Eine oder mehrere der Indizes sind nicht up to date:"
"Please select Index(es)","Bitte wählen Sie Index (es)"
"Please select Indexes","Bitte wählen Sie Indizes"
"Process Information","Process Information"
"Processing","Prozessinformationen"
"Ready","bereit"
"Refresh","Aktualisieren"
"Reindex Data","Reindex Data"
"Reindex Required","Reindex Daten"
"Revoke","entziehen"
"Status","Status"
"System","System"
"The index has been saved.","Der Index wurde gespeichert."
"There was a problem with reindexing process.","Es gab ein Problem mit reindexing Prozess."
"There was a problem with saving process.","Es gab ein Problem mit Speichervorgang."
"Total of %d index(es) have changed index mode.","Insgesamt %d Index (es) haben Index-Modus geändert"
"Total of %d index(es) have reindexed data.","Insgesamt %d Index (es) haben Daten indiziert."
"Update Required","Aktualisierung erforderlich"
"Update on Save","Aktualisieren Sie auf Speichern"
"Updated At","Aktualisiert An"
"Yes","ja"
