"An error occurred while clearing the external full page cache.","Während Löschen des externen volle Seiten-Cache ein Fehler aufgetreten."
"Cookie Lifetime (seconds)","Cookie-Lebensdauer (in Sekunden)"
"Enable External Cache","Aktivieren externen Cache"
"External Cache Control","Externe Cache Control"
"External Full Page Cache Settings","Externe Ausführliche Cache-Einstellungen"
"External full page cache.","Externes Voll Seiten-Cache."
"Failed to load external cache control","Fehler beim externen Cache-Steuerung laden"
"Flush External Page Cache","Externe Seite Flush Cache"
"If empty, default value will be used.","Falls leer, wird der Standardwert verwendet werden."
"The external full page cache has been cleaned.","Die externe volle Seiten-Cache wurde gereinigt."
"Zend Full Page Cache","Ausführliche Zend Cache"
