"%s is not supported currency.","% s wird nicht unterstützt Währung."
"Accept","akzeptieren"
"Basic","Grund-"
"Cannot retreive rate from strikeirion.","Kann nicht retreive Rate von strikeirion."
"Cannot retrieve rate from %s to %s","Kann nicht Rate von %s %s abrufen"
"Check all email servers","Überprüfen Sie alle E-Mail-Server"
"Complete","vollständig"
"Country/Region/Postal code combination","Land / Region / Postleitzahl Kombination"
"Customer Tax Class","Kundensteuerklasse"
"Email Verification","E-Mail-Überprüfung"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-Mail-Adresse kann nicht verifiziert werden. Bitte überprüfen Sie immer sicher, dass Ihre E-Mail-Adresse korrekt eingegeben wurde."
"Enable US address verification","Aktivieren US Adressprüfung"
"Enable email verification","Aktivieren Sie E-Mail-Überprüfung"
"Enable foreign exchange rate","Aktivieren Wechselkurs"
"Enable global address verification","Aktivieren globalen Adressprüfung"
"Enable sales and use tax","Aktivieren Umsatz-und Gebrauchssteuern"
"Error Email Recipient","Fehler E-Mail Empfänger"
"Error Email Sender","Fehler E-Mail Absender"
"Error Email Template","Fehler E-Mail-Vorlage"
"Error address action","Fehler Adresse Aktion"
"Foreign Exchange Rates","Wechselkurse"
"Global Address Verification","Global Address Verification"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Wenn der Typ ist vollständig und Postleitzahl gehört, mehrere Steuersätze, wählen Sie die Mindeststeuersatz oder Höchststeuersatz zu berechnen."
"Invalid email address","Ungültige E-Mail-Adresse"
"Maximum tax rate","Maximaler Steuersatz"
"Minimum tax rate","Mindeststeuersatz"
"Password","Passwort"
"Pop up warning and accept","Pop-up-Warnung und akzeptieren,"
"Product Tax Class","Produktsteuerklasse"
"Reject","ablehnen"
"Sales and Use Tax","Vertrieb und Use Tax"
"Sales and Use Tax Type","Vertrieb und Use Tax Typ"
"Strikeiron","Strike"
"Strikeiron Config","Strike Config"
"Strikeiron Section","Strike Abschnitt"
"Strikeiron foreign exchange rate is disabled","Strikewechselkurs ist deaktiviert"
"Tax","Tax"
"There is an error in retrieving tax rate. Please contact us","Es ist ein Fehler beim Abrufen Steuersatz. Bitte kontaktieren Sie uns"
"There is an error in verifying an email. Please contact us.","Es ist ein Fehler bei der Überprüfung eine E-Mail. Bitte kontaktieren Sie uns."
"There is no more hits remaining for the foreign Exchange Rate Service.","Es gibt keine weiteren Treffern für die verbleibenden Wechselkurs-Service."
"There is no response back from Strikeiron server","Es gibt keine Antwort von Strikeiron-Server zurück"
"US Address Verification","US-Address Verification"
"Undetermined email action","Nicht bestimmt E-Mail-Aktion"
"Use","Verwenden"
"User ID","Benutzer-ID"

"Verify address in admin","Überprüfen Sie im Admin-Adresse"
"Verify email in admin","Überprüfen Sie im Admin-E-Mail"
