" But cart has some errors."," Aber Warenkorb hat einige Fehler."
"""Description"" is more than %d characters long","""Beschreibung"" mehr als %d Zeichen"
"""Title"" is more than %d characters long","""Titel"" mehr als %d Zeichen"
"""id"" attribute is required for a ""%s"" field.","""id"" Attribut für eine erforderliche ""%s"" feld."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" Attribut ist erforderlich ""multiline"" element."
"""message"" attribute is required for ""%s"" validator rule.","""message"" Attribut ist erforderlich ""%s"" Prüfregeln."
"%1$s has been added to your wishlist.","%1$s hat zu Ihrer Wunschliste hinzugefügt worden."
"%1$s incl tax.","%1$s inkl. MwSt."
"%s API Key required.","%s API-Schlüssel erforderlich."
"%s Application ID required.","%s Anwendungs-ID erforderlich."
"%s Secret Key required.","%s Secret Key benötigt."
"%s attribute is required.","%s Attribut ist erforderlich."
"%s has been added to your cart.","%s wurde in Ihren Warenkorb hinzugefügt."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Enthält mehr Länder als die unten aufgeführten. Da die Anwendung Besitzer, für die Einhaltung der länderspezifischen Gesetze auf den Vertrieb bzw. Verkauf von Ihrer Anwendung in diesem Land, einschließlich Ihrem Heimatland bezogen sind Sie verantwortlich.)"
"*Subject to change","*Änderungen vorbehalten"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Anmelden</a> zu urabn Luftschiff."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Ein Katalog wird nicht nur App-Funktionen wie in den Warenkorb legen, auf die Wunschliste oder logge unterstützen."
"A new password has been sent.","Ein neues Passwort wurde gesendet."
"Account","Konto"
"Account confirmation is required. Please check your email for the confirmation link.","Konto Bestätigung erforderlich. Bitte überprüfen Sie Ihre E-Mail für den Bestätigungslink."
"Account information has been saved.","Konto Daten gespeichert."
"Action","Aktion"
"Activate","Aktivieren"
"Activate PayPal Checkout","Aktivieren PayPal Kasse"
"Activate PayPal MECL","Aktivieren PayPal MECL"
"Activation Key","Activation Key"
"Add App","In-App"
"Add New Template","Neue Vorlage hinzufügen"
"Add Page","Seite hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Address","Zusätzliche Adress"
"Address","Adresse"
"Address 2","Adresse 2"
"Address data not specified.","Adressdaten nicht angegeben."
"Address does not belong to this customer.","Adresse nicht an diesen Kunden gehören."
"Address has been deleted.","Adresse wurde gelöscht."
"Address has been saved.","Adresse wurde gespeichert."
"Administrative contact for this app and for app submission issues.","Administrative Ansprechpartner für diese App und App für Einreichung Fragen."
"Advanced Settings","Erweiterte Einstellungen"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Nach dem Absenden der App, Magento, wenden Sie sich bitte <a href=""mailto:%1$s"">%1$s</a> um die Anwendungstaste, Anwendung und Anwendungs ​​Geheimnis Master Secret erhalten."
"AirMail Message Queue","Luftpost Message Queue"
