"Actions","acciones"
"Are you sure?","¿Está seguro?"
"critical","crítico"
"Date Added","Fecha Alta"
"Error while marking as read. Please try again later.","Error al marcar como leído. Por favor, inténtelo de nuevo más tarde."
"Error while marking. Please try again later.","Error al marcar. Por favor, inténtelo de nuevo más tarde."
"Error while removing. Please try again later.","Error mientras se quita. Por favor, inténtelo de nuevo más tarde."
"Last update","Última actualización"
"major","mayor"
"Mark as read","Marcar como leído"
"Mark as Read","Marcar como leído"
"Message","mensaje"
"Message was successfully marked as read","El mensaje se ha marcado exitosamente como leído"
"Message was successfully removed","El mensaje se ha eliminado correctamente"
"Messages Inbox","Mensajes Bandeja de entrada"
"minor","menor"
"notice","aviso"
"Notifications","Notificaciones"
"Please select messages","Por favor, seleccione los mensajes"
"Read Details","Leer detalles"
"Remove","eliminar"
"Severity","severidad"
"Show List","Mostrar la Lista"
"Show Toolbar","mostrar barra de herramientas"
"Total of %d record(s) were successfully marked as read","%d Total de registro (s) d fueron marcados con éxito como leído"
"Total of %d record(s) were successfully removed","%d Total de registro (s) d se eliminaron con éxito"
"Unable to proceed. Please, try again","No se puede continuar. Por favor, inténtalo de nuevo"
"Update frequency","frecuencia"
"Use HTTPS to get feed","Utilizar HTTPS para obtener feed"
