"--Please Select--","- Seleccione -"
"API Login ID","API Login ID"
"Accepted Currency","Aceptado moneda"
"Authorize.net Direct Post","Authorize.net Mensaje directo"
"Card Verification Number","Tarjeta del número de verificación"
"Card Verification Number Visual Reference","Tarjeta del número de Verificación de Referencia Visual"
"Close","Cerrar"
"Credit Card Information","Información sobre la tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Type","Tarjeta de crédito"
"Credit Card Types","Tipos de tarjetas de crédito"
"Credit Card Verification","Tarjeta de crédito Verificación"
"Debug","Debug"
"Email Customer","El correo electrónico del cliente"
"Enabled","Habilitado"
"Expiration Date","Fecha de Vencimiento"
"Gateway URL","Gateway URL"
"Maximum Order Total","Máximo Total del pedido"
"Merchant MD5","MD5 Merchant"
"Merchant's Email","El correo electrónico del comerciante"
"Minimum Order Total","Minimum Order Total"
"New Order Status","Estado Nuevo Orden"
"Order saving error: %s","Orden error al guardar: %s"
"Payment Action","Acción de Pago"
"Payment authorization error.","Error de autorización de pago."
"Payment authorization error. Transacion id is empty.","Error de autorización de pago . Identificación transacion está vacía."
"Payment error. Order was not found.","No se encontró el error de Pago. Orden."
"Payment error. Paid amount doesn\'t match the order amount.","Error en el pago. Cantidad pagada doesn\'t que coincida con la cantidad de la orden."
"Payment from Applicable Countries","El pago de países aplicables"
"Payment from Specific Countries","El pago de determinados países"
"Please, choose payment method","Por favor , elija el método de pago"
"Response hash validation failed. Transaction declined.","La validación de hash Respuesta falló. Transacción rechazada."
"Sort Order","Orden"
"Test Mode","Modo de prueba"
"The order has been created.","El orden ha sido creado."
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su solicitud. Póngase en contacto con nosotros o intente de nuevo más tarde."
"Title","Título"
"Transaction Key","Llave de transacción"
"What is this?","¿Qué es esto?"
"You will be required to enter your payment details before you place an order.","Se le pedirá que introduzca sus datos de pago antes de realizar un pedido."
