"%s Index process is working now. Please try run this process later.","Proceso Índice %s está trabajando ahora. Inténtalo de ejecutar este proceso más tarde."
"%s index was rebuilt.","índice %s fue reconstruido."
"'%s' Index Process Information","Proceso de discusión Información ''%s' "
"Action","Acción"
"Cannot initialize the indexer process.","No se puede inicializar el proceso indexador ."
"Change Index Mode","Modo Índice Change"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Haga clic aquí para ir al <a href=""%s""> Administración de memoria caché </a> y actualizar tipos de caché."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Haga clic aquí para ir al <a href=""%s""> Gestión Index </a> y volver a generar índices requeridos."
"Delete","Borrar "
"Description"," Descripción"
"Disable","Desactivar"
"Enable","Activar"
"General","General"
"Index","Índice"
"Index Description"," Descripción del Índice "
"Index Management","Gestión del Índice"
"Index Mode","Modo Index"
"Index Name","Name Index"
"Index mode"," Modo de índice "
"Indexer code is not defined.","No está definido el código de indizador."
"Indexer model is not defined."," Modelo de indizador no está definido. "
"Indexer model should extend Mage_Index_Model_Indexer_Abstract."," Modelo de indizador debe extenderse Mage_Index_Model_Indexer_Abstract."
"Manual Update"," Actualización manual"
"Mode","Mode"
"Never","Nunca"
"No","No"
"One or more of the Indexes are not up to date:"," Uno o más de los Índices no son hasta la fecha:"
"Please select Index(es)","Por favor, seleccione Index(es) "
"Please select Indexes","Por favor, seleccione índices"
"Process Information"," Información del proceso "
"Processing","Procesando"
"Ready","Ready"
"Refresh","Actualizar"
"Reindex Data","Datos Reindex "
"Reindex Required","Reindex Required"
"Revoke","Revocar "
"Status","Estado"
"System","Sistema"
"The index has been saved.","El índice se ha guardado."
"There was a problem with reindexing process.","Hubo un problema con el proceso reindexar."
"There was a problem with saving process.","Hubo un problema con el proceso de salvación."
"Total of %d index(es) have changed index mode.","Total de índice(es) %d  han cambiado el modo de índice."
"Total of %d index(es) have reindexed data.","Total de índice(es) %d  han indizar los datos."
"Update Required","Actualización requerida"
"Update on Save","Actualización sobre Save"
"Updated At","Actualización A"
"Yes","Sí"
