"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' es demasiado largo. Debe tiene longitud %min% símbolos."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' es demasiado corto. Debe tiene longitud %min% símbolos."
"* Required Fields","* Campos requeridos"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicita acceso a su cuenta"
"Admin","Admin"
"After authorization application will have access to you account.","Después de la solicitud de autorización tendrán acceso a su cuenta."
"An error occurred on confirm authorize.","Se ha producido un error en autorizar confirmar."
"An error occurred on delete action.","Se ha producido un error en la acción de borrado."
"An error occurred on delete application.","Se ha producido un error en la solicitud de eliminación."
"An error occurred on reject authorize.","Se ha producido un error en rechazar autorizar."
"An error occurred on saving consumer data.","Se ha producido un error al guardar los datos de los consumidores."
"An error occurred on update revoke status.","Se ha producido un error en la actualización de estado renuncio."
"An error occurred while deleting the consumer.","Se ha producido un error al eliminar el consumidor."
"An error occurred.","Se ha producido un error."
"An error occurred. Your authorization request is invalid.","Se ha producido un error. Su solicitud de autorización no es válida."
"App Name","Nombre de aplicación"
"Application ""%s"" has been deleted.","Aplicación ""%s"" se ha eliminado."
"Application ""%s"" has been enabled.","Aplicación ""%s"" ha sido habilitada."
"Application ""%s"" has been revoked.","Aplicación ""%s"" ha sido revocado."
"Application Name","Nombre de la aplicación"
"Application not found.","La aplicación no se encuentra. "
"Are you sure you want to delete this application?","¿Está seguro de que desea eliminar esta aplicación?"
"Are you sure you want to disable this application?","¿Está seguro de que desea deshabilitar esta aplicación?"
"Are you sure you want to enable this application?","¿Está seguro que desea activar esta aplicación? "
"Authorization confirmed","Autorización confirmado"
"Authorization confirmed.","Confirmó Autorización."
"Authorize","Autorizar "
"Authorize application","Autorizar la aplicación"
"Authorized Tokens","Tokens autorizados"
"Callback URL","Callback URL"
"Cleanup Probability","La probabilidad de Limpieza"
"Cleanup Settings","Configuración de limpieza"
"Close","Cerrar"
"Confirm OAuth token authorization","Confirmar OAuth autorización token"
"Confirm token authorization Pop Up for admin","Confirmar token de autorización Pop Up para admin"
"Confirm token authorization for admin","Confirmar la autorización token para admin"
"Confirmation Of Authorization","La confirmación de la autorización"
"Consumer Information","Información al consumidor"
"Consumer Name","Nombre del consumidor"
"Consumers",Los "consumidores"
"Created At","Creado el"
"Customer","Cliente"
"Customer My Account My OAuth Applications","CLIENTE Mi cuenta OAuth Aplicaciones"
"Delete","Borrar "
"Disable","Desactivar"
"Disabled","Disabled "
"Edit","Editar"
"Edit Consumer","Edición del Consumidor"
"Email","Email"
"Email Address","E-mail"
"Enable","Activar"
"Enabled","Habilitado"
"Entry with ID #%s not found.","La entrada con ID #%s no encontrado."
"Expiration Period","Período de Vencimiento"
"Give the verifier code to application administrator","Dar el código verificador administrador de la aplicación"
"ID","ID"
"Invalid Callback URL","Invalid URL de devolución de llamada "
"Invalid ID parameter.","Parámetro ID no válido."
"Invalid Rejected Callback URL","No válido Rechazado Callback URL"
"Invalid entry ID.","Identificador de entrada no válida."
"Invalid revoke status.","Estado de revocación no válido."
"Key","Clave"
"Log In","Log In"
"Log in as a customer","Inicie la sesión como un cliente"
"Log in as admin","Inicio de sesión como administrador"
"Log in as customer","Entrar como cliente"
"Log in to use <strong>%s</strong>","Ingresar a utilizar <strong>%s</strong>"
"Login","Login"
"My Applications","Mis Aplicaciones"
"Name","Nombre"
"New Consumer","Nuevo consumidor"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Administración Mis Aplicaciones"
"OAuth Authorized Tokens","OAuth Autorizado Tokens"
"OAuth Consumers","Los consumidores de OAuth"
"OAuth authorization Pop Up for customer","Autorización OAuth Pop Up para el cliente "
"OAuth authorization for admin","Autorización OAuth para admin"
"OAuth authorization for customer","Autorización OAuth para el cliente"
"OAuth authorization simple for admin","Simple autorización OAuth para admin"
"Password","Password"
"Permissions","Permisos"
"Please login to proceed authorization.","Inicia sesión para proceder autorización."
"Please select needed row(s).","Por favor, seleccione la fila ( s ) que se necesita."
"Please select revoke status.","Por favor, seleccione el estado renuncio."
"REST - My Apps","DESCANSO - My Apps"
"REST - OAuth Authorized Tokens","REST - OAuth Tokens autorizados"
"REST - OAuth Consumers","REST - OAuth Consumidores"
"Reject","Rechazar"
"Reject OAuth token authorization","Rechazar OAuth autorización token"
"Reject authorization","Rechazar autorización"
"Reject token authorization Pop Up for admin","Rechazar Pop autorización token de arriba para admin"
"Reject token authorization for admin","Rechazar autorización token para admin"
"Rejected Callback URL","Rechazado Callback URL"
"Rejection Of Authorization","El rechazo de la autorización"
"Revoked","Revocado"
"Role Name","Nombre de función"
"Save","Guardar"
"Save and Continue Edit","Guardar y continuar Editar"
"Secret","Secret"
"Selected entries enabled.","Entradas seleccionadas habilitados."
"Selected entries has been deleted.","Las entradas seleccionadas se ha eliminado."
"Selected entries revoked.","Seleccionados entradas revocados."
"Status","Estado"
"System","Sistema"
"The application access request is rejected.","La solicitud de acceso a la aplicación es rechazada."
"The consumer has been deleted.","El consumidor ha sido eliminado."
"The consumer has been saved.","El consumidor se ha guardado."
"Token Status Change","El cambio de estado de emergencia"
"Token Status Change Email Template","El cambio de estado de emergencia plantilla de correo electrónico"
"Unable to find a consumer.","No se puede encontrar un consumidor. "
"User ID","ID de usuario"
"User Name","Nombre de usuario"
"User Type","Tipo de usuario"
"Verifier code: %s","Código Verificador: %s"
"You have no applications.","No tiene aplicaciones."
"deleted","eliminado"
"enabled","habilitado"
"revoked","revocado"
