"""Remember Me"" Default Value","""Remember Me"" Valor por omisión"
"(Not %s?)","(No %s ?)"
"* Required Fields","* Campos requeridos"
"Address","Dirección"
"Address Information","Información de Dirección "
"Already registered?","Ya se ha registrado ?"
"Back","Volver"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podrá realizar el proceso de compra más rápidamente, almacenar varias direcciones de envío, ver y hacer un seguimiento de sus pedidos en su cuenta y más. "
"Cannot load configuration from file %s.","No se puede cargar la configuración desde el archivo %s ."
"Checkout as Guest","Checkout como invitado"
"Checkout as a Guest or Register","Pedido como Invitado o Registrarse"
"City","Ciudad"
"Clear Persistence on Log Out","Borrar persistencia en Log Out"
"Close","Cerrar"
"Company","Compañía"
"Confirm Password","Confirm Password "
"Continue","Continuar"
"Country","País"
"Create an Account","Crear una cuenta"
"Easy access to your order history and status","Fácil acceso a su historial de pedidos y el estado"
"Email Address","E-mail"
"Enable ""Remember Me""","Activar""Remember Me"""
"Enable Persistence","Habilitar la persistencia "
"Fast and easy check out","Rápido y fácil de revisar"
"Fax","Fax"
"Forgot Your Password?","¿Ha olvidado su contraseña?"
"Forgot your password?","¿Olvidó su contraseña? "
"General Options","Opciones Generales"
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros , por favor, ingrese"
"Loading next step...","Carga siguiente paso ... "
"Login","Login"
"Login Information","Información de registro"
"Login or Create an Account","Ingresar o Crear una cuenta"
"New Customers","Nuevos Clientes"
"Password","Password "
"Persist Shopping Cart","Persistir Compras"
"Persistence Lifetime (seconds)","Lifetime Persistencia (segundos)"
"Persistent Shopping Cart","Persistente Compras"
"Personal Information","Información Personal"
"Please log in below:","Por favor, ingrese a continuación:"
"Please select region, state or province","Por favor, seleccione una región, estado o provincia"
"Register","Registro"
"Register and save time!","Registrar y ahorrar tiempo!"
"Register to Create an Account","Registrarse para crear una cuenta"
"Register with us for future convenience:","Registrarse con nosotros para una futura conveniencia:"
"Registered Customers","Clientes Registrados"
"Remember Me","Remember Me"
"Save in address book","Guardar en la libreta de direcciones "
"Select State/Province...","Seleccionar Estado / Provincia ..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o introduzca una nueva dirección."
"Ship to different address","Enviar a diversa dirección"
"Ship to this address","Enviar a esta dirección"
"Shopping cart has been updated with appropriate prices","Cesta de la compra se ha actualizado con los precios adecuados"
"Sign Up for Newsletter","Sign Up for Newsletter "
"State/Province","Estado / Provincia"
"Street Address","Dirección de la Calle"
"Street Address %s","Domicilio %s"
"Submit","Enviar"
"Telephone","Telephone "
"To proceed to Checkout, Por favor, inicie sesión con su dirección de correo electrónico. "
"VAT Number","Número de IVA"
"Welcome, %s!","Bienvenido, %s!"
"What\'s this?","What\'s esto?"
"Zip/Postal Code","Zip / Código Postal"
