" But cart has some errors.","Pero de compra hay algunos errores."
"""Description"" is more than %d characters long","""Descripción"" es más de %d caracteres de longitud"
"""Title"" is more than %d characters long","""Título"" es más de %d caracteres de largo"
"""id"" attribute is required for a ""%s"" field.","""id"" Se requiere de atributos para un ""%s"" campo."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" Se requiere el atributo de ""multilínea"" elemento".
"""message"" attribute is required for ""%s"" validator rule.","""mensaje","se requiere el atributo de ""%s"" regla de validación."
"%1$s has been added to your wishlist.","%1$s ha sido añadido a su lista de deseos."
"%1$s incl tax.","IVA incluído %1$s."
"%s API Key required.","La clave %s API requerida."
"%s Application ID required.","%s ID de la aplicación requerida."
"%s Secret Key required.","requiere %s clave secreta."
"%s attribute is required.","Se requiere el atributo%s."
"%s has been added to your cart.","%s ha sido añadido a su carrito. "
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","( Incluye más países que los que se enumeran a continuación. A medida que el propietario de la aplicación , usted es responsable de cumplir con las leyes específicas de cada país relacionados con la distribución o venta de su aplicación en ese país , incluyendo su país de origen . )"
"*Subject to change","* Sujeto a cambio"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 píxeles"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank""> sesión </a> para Urabn Airship".
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Un catálogo Sólo App no apoyará las funciones como añadir a la cesta, añadir a la lista de deseos o de inicio de sesión."
"A new password has been sent.","Una nueva contraseña ha sido enviada."
"Account","Cuenta"
"Account confirmation is required. Please check your email for the confirmation link.","Se requiere de confirmación de cuenta. Por favor revise su correo electrónico para el enlace de confirmación."
"Account information has been saved.","Información de la cuenta se ha guardado."
"Action","Acción"
"Activate","Activar"
"Activate PayPal Checkout","Activar PayPal Checkout"
"Activate PayPal MECL","Activar PayPal MECL "
"Activation Key","Clave de activación"
"Add App","Agregar aplicación"
"Add New Template","Añadir Nueva plantilla"
"Add Page","Añadir página "
"Add to Cart","Añadir al carro "
"Add to Wishlist","Añadir a la Lista de Deseos "
"Additional Address","Dirección adicional "
"Address","Dirección"
"Address 2","Dirección 2"
"Address data not specified.","Datos de la dirección , no especificados."
"Address does not belong to this customer.","Dirección no pertenece a este cliente. "
"Address has been deleted.","La dirección ha sido eliminada. "
"Address has been saved.","La dirección ha sido salvada. "
"Administrative contact for this app and for app submission issues.","Contacto administrativo para esta aplicación y para las cuestiones de presentación de aplicaciones."
"Advanced Settings","Configuración avanzada"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Después de la presentación de la aplicación para Magento , por favor póngase en contacto con <a href=""mailto:%1$s"">%1$s</a> para recibir la clave de Aplicación, el secreto y la Aplicación Maestro Secreto".
"AirMail Message Queue","Correo aéreo Message Queue"
"AirMail Messages Queue","Los mensajes de correo aéreo cola"
"AirMail Template Preview","Correo aéreo Template Preview"
"AirMail message","Mensaje de correo aéreo "
"AirMail templates","Plantillas de correo aéreo "
"All Allowed Countries","Todos los países permitidos"
"All locations","Todos los lugares"
"An account with this email address already exists.","Una cuenta con esta dirección de correo electrónico ya existe."
"An error occurred while adding item to wishlist.","Se ha producido un error al añadir el artículo a la lista de deseos."
"An error occurred while deleting the address.","Se ha producido un error al eliminar la dirección."
"An error occurred while loading categories.","Se ha producido un error al cargar categorías. "
"An error occurred while loading category filters.","Se ha producido un error al cargar los filtros de categorías."
"An error occurred while loading wishlist.","Se ha producido un error al cargar la lista de deseos."
"An error occurred while processing your order. Please contact us or try again later.","Se ha producido un error al procesar su solicitud. Póngase en contacto con nosotros o intente de nuevo más tarde."
"An error occurred while processing your request.","Se ha producido un error al procesar la solicitud. "
"An error occurred while removing item from wishlist.","Se ha producido un error al eliminar elemento de la lista de deseos."
"An error occurred while removing items from wishlist.","Se ha producido un error al eliminar los artículos en la lista de deseos."
"Analytics","Analytics"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android doesn\'t apoyar correo aéreo tipo de mensaje."
"App Background","Antecedentes App"
"App Background (landscape mode).","Antecedentes App ( modo horizontal )."
"App Background (portrait mode).","Antecedentes App (modo retrato). "
"App Background <br />(landscape mode)","App Antecedentes <br /> ( modo horizontal ) "
"App Background <br />(portrait mode)","App Antecedentes <br /> ( modo retrato ) "
"App Background image missing.","Imagen de fondo de la aplicación que falta."
"App Code","Code App"
"App Information","Información de la aplicación"
"App Name","Nombre de aplicación"
"App Stores","Tiendas de aplicaciones"
"App Submission History","App Presentación Historia"
"App Title","App Título "
"App code required.","Código de la aplicación requerida."
"App does not exist.","App no existe. "
"App has been deleted.","App ha sido eliminado. "
"App has been saved.","App se ha guardado. "
"App has been submitted.","App ha sido enviado."
"App model not loaded.","Modelo de aplicación no se ha cargado."
"App with specified code does not exist.","App con el código especificado no existe. "
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","Aparece en la sección de información de la aplicación (por ejemplo: Copyright 2010 - Su Company, Inc. )"
"Application","Aplicación"
"Application Key","La clave de la aplicación"
"Application Master Secret","Aplicación Maestro Secreto "
"Application Name","Nombre de la aplicación"
"Application Secret","Aplicación Secreto"
"Are you sure you want to delete this theme? This change will affect all applications.","¿Está seguro que desea eliminar este tema ? Este cambio afectará a todas las aplicaciones. "
"Are you sure you want to do this?","¿Estás seguro de que quieres hacer esto ? "
"Are you sure you whant to cancel a message?","¿Está seguro que whant para cancelar el mensaje?"
"Are you sure you whant to delete a message?","¿Está seguro que whant borrar un mensaje?"
"Are you sure you what to cancel selected records?","¿Estás seguro de que lo que para cancelar los registros seleccionados?"
"Are you sure you what to delete selected records?","¿Estás seguro de que lo que permite eliminar los registros seleccionados ? "
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","Como cliente de Magento , Urban Airship le ofrece notificaciones Push ilimitadas y empuje Rico por $ 100/año * junto con una prueba gratuita de 60 días."
"At last one application has to be created.","Por fin una aplicación tiene que ser creado."
"Authentication complete.","Completa autenticación".
