"%s","%s"
"ACL Attribute Rules","ACL Taito säännöt"
"ACL Attributes Information","ACL ominaisuudet Information"
"Add","Lisää"
"Add Admin Role","Lisää Admin Role"
"Add New Role","Lisää uusi rooli"
"Address Type","Osoitteen tyyppi"
"Admin","Admin"
"Allow","Salli"
"An error occurred while deleting the role.","Virhe poistettaessarooli."
"An error occurred while saving attribute rules.","Virhe tallennettaessa määrite sääntöjä."
"An error occurred while saving role.","Virhe tallennettaessa rooli."
"Api Rules Information","Api Säännöt Information"
"Assigned","Sidotut"
"Associate to Website","Associate Website"
"Attribute Rules Information","Ominaisuus Säännöt Information"
"Attribute Set","Ominaisuus Set"
"Attributes","Ominaisuudet"
"Automatically Return Credit Memo Item to Stock","Palautuu automaattisesti Luottomuistio Tuote Stock"
"Back","Back"
"Backorders","Jälkitoimitukset"
"Base Currency","Perusvaluutta"
"Base Customer Balance","Base Asiakas Balance"
"Base Discount","Base Alennus"
"Base Discount Amount","Base Alennus Määrä"
"Base Item Subtotal","Perusalkiotyyppi Yhteensä"
"Base Item Subtotal Including Tax","Perusalkiotyyppi Yhteensä veroineen"
"Base Original Price","Base Alkuperäinen hinta"
"Base Price","Base Price"
"Base Price Including Tax","Base Hinta veroineen"
"Base Shipping","Base Shipping"
"Base Shipping Discount","Base Shipping Alennus"
"Base Shipping Tax","Base Shipping Tax"
"Base Subtotal","Base Yhteensä"
"Base Subtotal Including Tax","Base Yhteensä veroineen"
"Base Tax Amount","Base Verosumma"
"Base Total Due","Base Total Due"
"Base Total Paid","Base Maksettu yhteensä"
"Base Total Refunded","Base Yhteensä Hyvitetty"
"Buy Now URL","Osta nyt URL"
"Can Be Divided into Multiple Boxes for Shipping","Voidaan jakaa Useita Laatikot Shipping"
"Canceled Qty","Peruutettu Kpl"
"Catalog","Verkkokauppa"
"Catalog Product","Tuoteluettelo"
"CatalogInventory","CatalogInventory"
"Category ID","Luokka ID"
"City","City"
"Company","Yhtiö"
"Country","Maa"
"Coupon Code","Kuponkikoodi"
"Create","Luo"
"Create Permanent Redirect for old URL","Luo Pysyvä uudelleenohjaus vanha URL "
"Created From","Luotu"
"Customer","Asiakas"
"Customer Address","Asiakkaan osoite"
"Customer Address ID","Asiakkaan osoite ID"
"Customer Balance","Asiakas Balance "
"Customer First Name","Asiakas Etunimi "
"Customer ID","Asiakastunnus"
"Customer Last Name","Asiakas Sukunimi "
"Customer Middle Name","Asiakas Toinen nimi "
"Customer Prefix","Asiakas etuliite "
"Customer Suffix","Asiakas Jälkiliite "
"Default Image","Default Image"
"Delete","Poista"
"Deny","Deny"
"Disable automatic group change based on VAT ID","Poista käytöstä automaattinen ryhmä muutos perustuu ALV-tunnus"
"Discount","Alennus"
"Discount Amount","Alennus Määrä"
"Discount Description","Alennus Kuvaus"
"Edit","Edit"
"Edit %s ACL attribute rules","Muokkaa %s ACL määrite säännöt"
"Edit Role","Muokkaa Role"
"Edit attribute rules for %s Role","Muokkaa määritteen säännöt %s Role"
"Email","Sähköposti"
"Enable Qty Increments","Ota Määrä lisäykset "
"Exclude","Pois"
"File Content","Tiedoston sisältö"
"File MIME Type","Tiedoston MIME Type"
"File Name","Tiedoston nimi"
"Final Price With Tax","Lopullinen hinta vero"
"Final Price Without Tax","Lopullinen hinta ilman arvonlisäveroa"
"First Name","Etunimi"
"Gift Message","Gift Message"
"Grand Total","Kaikki yhteensä"
"Grand Total to Be Charged","Grand Total peritään"
"Group","Ryhmä"
"Guest","Vieras"
"Has Custom Options","Onko Custom Options"
"ID","ID"
"Inventory Data","Inventory Data"
"Invoiced Qty","Laskun Kpl"
"Is Confirmed","Vahvistetaan"
"Is Default Billing Address","Onko Default Billing Address"
"Is Default Shipping Address","Onko oletustoimitusosoite"
"Item ID","Tunnus"
"Item Subtotal","Item Yhteensä "
"Item Subtotal Including Tax","Tuote Yhteensä veroineen"
"Label","Julkaisija"
"Last Logged In","Viimeksi kirjautunut"
"Last Name","Sukunimi"
"Low Stock Date","Low Stock Date"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Suurin Määrä Sallittu ostoskori"
"Minimum Qty Allowed in Shopping Cart","Pienin määrä Sallittu ostoskori "
"New Role","New Role"
"Notify for Quantity Below","Muistuta for Määrä Below"
"OAuth","OAuth"
"Order","Tilaa"
"Order Addresses","Tilaa osoitteet"
"Order Comments","Tilaa kommentit"
"Order Currency","Tilaa Valuutta"
"Order Date","Tilauksen päivämäärä"
"Order ID","Tilaus ID"
"Order ID (internal)","Order ID ( sisäinen)"
"Order Item ID","Tilaa Tunnus"
"Order Items","Tilatut tuotteet"
"Order Status","Tilauksen tila"
"Ordered Qty","Järjestetty Kpl"
"Orders","Tilaukset"
"Original Price","Alkuperäinen Hinta"
"Parent Order Item ID","Vanhempi Tilaa Tunnus"
"Payment Method","Maksutapa"
"Phone Number","Puhelinnumero"
"Placed from IP","Sijoitus IP"
"Please enter a valid number in ""max_sale_qty"" field","Anna kelvollinen numero ""max_sale_qty"" kentän"
"Please enter a valid number in ""min_qty"" field","Anna kelvollinen numero ""min_qty"" kentän"
"Please enter a valid number in ""min_sale_qty"" field","Anna kelvollinen numero ""min_sale_qty"" kentän"
"Please enter a valid number in ""notify_stock_qty"" field","Anna kelvollinen numero ""notify_stock_qty""kentän"
"Please use numbers only in ""category_id"" field.","Käytä numeroita vain ""category_id""kenttään."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Käytä numeroita vain ""qty_increments"" kenttään . Vältä välilyöntejä tai muita merkkejä , kuten pisteitä tai pilkkuja ."
"Position","Position"
"Price","Hinta"
"Price Including Tax","Hinta veroineen"
"Product","Tuote"
"Product Category","Tuoteryhmä"
"Product ID","Tuotteen tunnus"
"Product Image","Tuotekuva"
"Product Type","Tuotteen tyyppi"
"Product URL","Product URL"
"Product Website","Tuote Website"
"Product and Custom Options Name","Tuote ja Custom Options Name"
"Qty","Määrä"
"Qty Increments","Määrä lisäykset"
"Qty Uses Decimals","Määrä Käyttää Desimaalia"
"Qty for Item's Status to Become Out of Stock","Määrä alamomentin n tilanne tulla loppu varastosta"
"REST - Attributes","REST - Ominaisuudet"
"REST - Roles","REST - roolit"
"REST ACL Attributes","REST ACL ominaisuudet"
"REST Attributes","REST ominaisuudet"
"REST Role","REST Role"
"REST Roles","REST roolit"
"REST Roles Information","REST Roolit Information"
"Read","Lue"
"Refunded Qty","Hyvitetty Kpl"
"Regular Price With Tax","Normaali hinta vero"
"Regular Price Without Tax","Normaali hinta ilman arvonlisäveroa"
"Rest Roles","Rest roolit"
"Retrieve","Hae"
"Role ""%s"" no longer exists","Role""%s""ei ole enää olemassa"
"Role ""%s"" not found.","Role""%s""ei löydy ."
"Role API Resources","Role API Resources"
"Role Info","Role Info"
"Role Information","Role Information"
"Role Name","Roolin nimi"
"Role Users","Role Käyttäjät"
"Role has been deleted.","Role on poistettu."
"Roles","Roolit"
"SKU","SKU"
"Salability Status","Salability Status"
"Sales","Myynti "
"Save","Tallenna"
"Shipped Qty","Lähetetään Kpl"
"Shipping Amount","Shipping Määrä"
"Shipping Discount","Shipping Alennus"
"Shipping Including Tax","Shipping veroineen"
"Shipping Method","Shipping Method"
"Shipping Tax","Shipping Tax"
"State","Valtio"
"Stock Availability","Varastotilanteen"
"Stock ID","Stock ID"
"Stock Item","Varastotuote"
"Stock Status","Varastotilanne"
"Store Currency to Order Currency Rate","Store Valuutta Tilaa valuuttaa Rate"
"Store Name","Store Name"
"Street","Street"
"Subtotal","Yhteensä"
"Subtotal Including Tax","Yhteensä veroineen"
"System","Järjestelmä"
"Tax Amount","Verosumma"
"Tax Name","Vero Name"
"Tax Percent","Veroprosentti"
"Tax Rate","Veron määrä"
"The ""enable_qty_increments"" field must be set to 0 or 1.","""Enable_qty_increments"" kenttään on asetettava 0 tai 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","""Is_decimal_divided"" kenttään on asetettava 0 tai 1."
"The ""is_in_stock"" field must be set to 0 or 1.","""Is_in_stock"" kenttään on asetettava 0 tai 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","""Is_qty_decimal"" kenttään on asetettava 0 tai 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","""Is_qty_decimal"" kenttään on asetettava 0 , 1 tai 2".
"The ""manage_stock"" field must be set to 0 or 1.","""Manage_stock"" kenttään on asetettava 0 tai 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","""Stock_status_changed_auto"" kenttään on asetettava 0 tai 1."
