"--Please Select--","- Valitse -"
"API Login ID","API Käyttäjätunnus ID"
"Accepted Currency","Hyväksytty valuutta"
"Authorize.net Direct Post","Authorize.net Suora Post"
"Card Verification Number","Luottokortin tarkistusnumero"
"Card Verification Number Visual Reference","Luottokortin tarkistusnumero Näköyhteys"
"Close","Sulje"
"Credit Card Information","Luottokortti Information"
"Credit Card Number","Luottokortin numero"
"Credit Card Type","Luottokortin tyyppi"
"Credit Card Types","Luottokortti Tyypit"
"Credit Card Verification","Luottokorttitarkistusten"
"Debug","Debug"
"Email Customer","Lähetä Ota"
"Enabled","Käytössä"
"Expiration Date","Viimeinen voimassaolopäivä"
"Gateway URL","Gateway URL"
"Maximum Order Total","Suurin Tilaus yhteensä"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Merchant sähköpostiosoite"
"Minimum Order Total","Pienin Tilaus yhteensä "
"New Order Status","New Order Status"
"Order saving error: %s","Tilaa säästävä error : %s"
"Payment Action","Maksu Action"
"Payment authorization error.","Maksu luvan virhe."
"Payment authorization error. Transacion id is empty.","Maksu luvan virhe. Transacion id on tyhjä."
"Payment error. Order was not found.","Maksuvirhe. Tilaa ei löytynyt."
"Payment error. Paid amount doesn\'t match the order amount.","Maksuvirhe. Maksettu määrä doesnt \ 't vastaavat tilausta määrä."
"Payment from Applicable Countries","Maksu alkaen voimassa EU"
"Payment from Specific Countries","Maksu tietyistä maista"
"Please, choose payment method","Ole hyvä , valitse maksutavaksi"
"Response hash validation failed. Transaction declined.","Response hash validointi epäonnistui. Transaction laski."
"Sort Order","Järjestys"
"Test Mode","Test Mode"
"The order has been created.","On luotu."
"There was an error processing your order. Please contact us or try again later.","Olivirhe tilauksesi käsittelyä. Ota yhteyttä tai yritä myöhemmin uudelleen."
"Title","Otsikko"
"Transaction Key","Transaction Key"
"What is this?","Mitä tämä on?"
"You will be required to enter your payment details before you place an order.","Sinun on syötettävä maksutiedot ennen kuin teet tilauksen."
