"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Kortinhaltija Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure varmennustuloksen"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Kortin myöntäjä Vastuu"
"Card Verification","Kortin tarkistuskoodi"
"Enrolled","Kirjoilla"
"Enrolled but Authentication Unavailable","Kirjoilla mutta Authentication saatavilla"
"Failed","Failed"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Merchant Vastuu"
"Not Enrolled","Ei käy"
"Order cannot be placed.","Tilaa ei voi sijoittaa."
"Payment information error. Please start over.","Maksutiedot virhe. Ole hyvä ja aloittaa alusta."
"Please continue with placing order.","Ole hyvä ja jatka tilausvaiheessa."
"Please verify the card with the issuer bank before placing the order.","Varmistakortinmyöntäneessä pankissa ennen kuin laitatjärjestyksessä."
"Please verify the card with the issuer bank:","Varmistakortinmyöntäneessä pankissa :"
"Start/Reset Validation...","Start / Reset Validation ..."
"Successful","Onnistunut"
"Successful attempt","Onnistunut yritys"
"The card has failed verification with the issuer bank.","Kortti on epäonnistunut todentaminen liikkeeseenlaskijan kanssa pankkiin."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Siellä on ollut väärä maksutiedot toimitettu taimääräaika on kulunut umpeen. Ole hyvä ja yritä uudelleen."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Siellä on ollut väärä maksutiedot toimitettu tai määräaika on kulunut umpeen. Ole hyvä ja yritä uudelleen."
"This card has failed validation and cannot be used.","Tämä kortti on epäonnistunut validointi ja ei voi käyttää."
"To ensure the security of your transactions","Jottatietoturvaa liiketoimia"
"Unable to complete","Ei voi suorittaa"
"Validation failed.","Validointi epäonnistui."
"Verification Failed","Vahvistus epäonnistui"
"Verification Successful","Tarkastus Onnistunut"
"Verification cannot be processed","Tarkastus ei voida käsitellä"
"Verified by Visa","Verified by Visa"
